HBNAME,Site,Date,Date.Analysed,SW.Sample.Number,N1.Description,N1.Reported.Value,N1.Sample.1,N1.Sample.2,N1.Sample.3,Calculated.Mean,Standard.Deviation,Flow..l.day.,Ammonia..mg.l.,pH.Value,Modelled.Flow..l.day.,Million.Gene.Copies.Per.Person.per.Day,Analysis.Lab,X.Row.Count.,logMillion
Fife,Cupar,2021-10-06,07/10/2021,15441534,Positive,66647,62987.81,70307.84,NA,66647.82,5176.04,9465984,21.68,NA,5428808.4,69.49628,SEPA - Low Volume,1,4.2412732045
Fife,Cupar,2021-10-11,12/10/2021,15453737,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,25.11,NA,4988614,NA,SEPA - Low Volume,1,NA
Fife,Cupar,2021-10-19,20/10/2021,15482110,Positive,58624,56344.62,60904.11,NA,58624.36,3224.039,NA,17.71,NA,6099263.9,39.38813,SEPA - Low Volume,1,3.6734645851
Fife,Cupar,2021-10-21,22/10/2021,15489457,Positive,74425,69680.51,79170.65,NA,74425.58,6710.539,NA,24.04,NA,5115267.3,41.93729,SEPA - Low Volume,1,3.7361754343
Fife,Cupar,2021-10-27,28/10/2021,15505628,Positive,166743,168300.4,165186.6,NA,166743.5,2201.762,NA,26.28,NA,4859511.9,89.25889,SEPA - Low Volume,1,4.4915409803
Fife,Cupar,2021-10-29,01/11/2021,15509914,Positive,40606,56309.31,24903.63,NA,40606.47,22207.17,NA,13.01,NA,7284370.2,32.58345,SEPA - Low Volume,1,3.4838045315
Fife,Cupar,2021-11-03,04/11/2021,15538415,Positive,48641,36496.38,60785.89,NA,48641.13,17175.28,NA,19.19,NA,5823839.4,31.20491,SEPA - Low Volume,1,3.4405753583
Fife,Cupar,2021-11-05,08/11/2021,15543557,Positive,83312,76332.8,90291.71,NA,83312.26,9870.435,NA,23.32,NA,5205607.6,47.77384,SEPA - Low Volume,1,3.8664781936
Fife,Cupar,2021-11-10,11/11/2021,15553397,Positive,60111,38708,81514.98,NA,60111.49,30269.11,NA,24.92,NA,5010476.8,33.17771,SEPA - Low Volume,1,3.5018781746
Fife,Cupar,2021-11-12,15/11/2021,15557752,Positive,125213,114859,135568,NA,125213.5,14643.47,NA,23.66,NA,5162407.1,71.20545,SEPA - Low Volume,1,4.265569343
Fife,Cupar,2021-11-17,18/11/2021,15580268,Positive,107175,99415.74,114934.3,NA,107175,10973.28,NA,22.87,NA,5264334.9,62.15082,SEPA - Low Volume,1,4.1295640917
Fife,Cupar,2021-11-19,22/11/2021,15587258,Positive,189139,176372,201906.8,NA,189139.4,18055.82,NA,26.38,NA,4848897.7,101.0264,SEPA - Low Volume,1,4.6153816541
Fife,Cupar,2021-11-24,25/11/2021,15600509,Positive,125869,134425.5,117313.2,NA,125869.4,12100.2,NA,25.35,NA,4961367.5,68.79095,SEPA - Low Volume,1,4.2310721762
Fife,Cupar,2021-12-01,06/12/2021,15622765,Positive,131622,135838.5,127407,NA,131622.8,5961.995,NA,16.15,NA,6431811.4,93.25543,SEPA - Low Volume,1,4.535342316
Fife,Cupar,2021-12-08,09/12/2021,15656241,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,15.89,NA,6492193.3,NA,SEPA - Low Volume,1,NA
Fife,Cupar,2021-12-10,13/12/2021,15662721,Positive,32120,29204.41,35036.11,NA,32120.26,4123.631,NA,19.04,NA,5850210.8,20.69953,SEPA - Low Volume,1,3.0301108291
Fife,Cupar,2021-12-13,14/12/2021,15670372,Positive,92012,111033,72992.24,NA,92012.64,26898.91,NA,22.37,NA,5331760.9,54.04158,SEPA - Low Volume,1,3.9897536619
Fife,Cupar,2021-12-17,20/12/2021,15674483,Positive,115019,120007.2,110032.7,NA,115020,7053.067,NA,23.6,NA,5169959.4,65.50436,SEPA - Low Volume,1,4.1821167646
Fife,Cupar,2021-12-29,30/12/2021,15697587,Positive,287829,275807.2,299851.9,NA,287829.6,17002.16,NA,20.81,NA,5558341.3,176.2343,SEPA - Low Volume,1,5.1718143998
Fife,Cupar,2022-01-04,05/01/2022,15757629,Positive,210151,166996,253307.1,NA,210151.6,61031.18,NA,15.43,NA,6602929.2,152.8548,SEPA - Low Volume,1,5.0294885428
Fife,Cupar,2022-01-06,07/01/2022,15762844,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,19.22,NA,5818604.1,NA,SEPA - Low Volume,1,NA
Dumfries and Galloway,Dalbeattie,2020-08-17,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2020-08-24,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2020-09-14,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2020-09-21,(Empty),NA,Weak Positive,2270,2981.322,1914.81,1915.05,2270.394,615.6817,NA,NA,NA,NA,2.598323,SEPA,1,0.9548663633
Dumfries and Galloway,Dalbeattie,2020-09-29,(Empty),NA,Positive,20441,17095.2,22083.02,22144.23,20440.82,2897.551,NA,NA,NA,NA,23.39323,SEPA,1,3.1524466975
Dumfries and Galloway,Dalbeattie,2020-10-05,(Empty),NA,Positive (DNQ),7650.081,1178.159,8695.86,6604.465,5492.828,3880.175,NA,NA,NA,NA,6.286197,SEPA,1,1.8383562348
Dumfries and Galloway,Dalbeattie,2020-10-13,(Empty),NA,Positive,12905,11651.32,10986.9,16075.45,12904.56,2766.094,NA,NA,NA,NA,14.76845,SEPA,1,2.6924934001
Dumfries and Galloway,Dalbeattie,2020-10-20,(Empty),NA,Positive (DNQ),2498,2365.161,4076.991,1052.19,2498.114,1516.777,NA,NA,NA,NA,2.858935,SEPA,1,1.0504490741
Dumfries and Galloway,Dalbeattie,2020-10-27,(Empty),NA,Weak Positive,610.2235,750.0439,751.4262,329.2005,610.2235,243.3741,NA,NA,NA,NA,0.6983625,SEPA,1,-0.3590170188
Dumfries and Galloway,Dalbeattie,2020-11-10,(Empty),NA,Positive (DNQ),4540.933,1432.456,3307.585,8882.558,4540.867,3875.144,NA,NA,NA,NA,5.196737,SEPA,1,1.648030845
Dumfries and Galloway,Dalbeattie,2020-11-27,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2020-12-04,(Empty),NA,Weak Positive,581.8371,NA,1196.225,548.7978,872.5114,457.8001,NA,NA,NA,NA,0.9985345,SEPA,1,-0.0014665835
Dumfries and Galloway,Dalbeattie,2020-12-11,(Empty),NA,Negative,0,NA,NA,764.9736,764.9736,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2020-12-16,(Empty),NA,Negative,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-01-08,12/01/2021,14558213,Weak Positive,944.0796,NA,NA,944.1593,944.1593,NA,1969920,18.28,7.1,3033225.5,0.4400091,SEPA,1,-0.8209599692
Dumfries and Galloway,Dalbeattie,2021-01-14,18/01/2021,14571939,Positive (DNQ),1535,1401.516,1670.436,NA,1535.976,190.1553,5857920,15.03,7.1,3395095.7,2.128608,SEPA,1,0.7554681586
Dumfries and Galloway,Dalbeattie,2021-01-22,25/01/2021,14588118,Analysis Failed,NA,NA,NA,NA,NA,NA,6099840,3.84,NA,7448145.5,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-01-29,01/02/2021,14603792,Analysis Failed,NA,NA,NA,NA,NA,NA,5849280,4.37,NA,6913859.5,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-02-05,10/02/2021,14622403,Analysis Failed,NA,NA,NA,NA,NA,NA,6117120,1.21,NA,14481225,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-02-08,10/02/2021,14641441,Positive (DNQ),2918,4231.358,1605.102,NA,2918.23,1857.043,5616000,4.77,NA,6573874,3.877166,SEPA,1,1.3551043892
Dumfries and Galloway,Dalbeattie,2021-02-20,23/02/2021,14671504,Analysis Failed,NA,NA,NA,NA,NA,NA,5780160,1.35,NA,13596591.8,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-02-22,24/02/2021,14682306,Analysis Failed,NA,NA,NA,NA,NA,NA,5719680,2.7,NA,9122560.8,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-02-23,25/02/2021,NA,Weak Positive,3081,NA,3081.056,NA,3081.056,NA,NA,NA,NA,NA,3.526075,SEPA,1,1.26018528
Dumfries and Galloway,Dalbeattie,2021-03-02,04/03/2021,14716400,Positive,40128,41154.12,39102.25,NA,40128.18,1450.887,3291840,7.94,NA,4902415.9,31.25043,SEPA,1,3.4420330844
Dumfries and Galloway,Dalbeattie,2021-03-08,10/03/2021,14730879,Weak Positive,1365,1125.397,1605.967,NA,1365.682,339.8147,2073600,13.26,NA,3649058.9,0.6699499,SEPA,1,-0.4005524157
Dumfries and Galloway,Dalbeattie,2021-03-15,16/03/2021,14757660,Positive (DNQ),2931.422,2198.06,3664.784,NA,2931.422,1037.131,NA,5.5,NA,6056413,4.200119,SEPA,1,1.4351127839
Dumfries and Galloway,Dalbeattie,2021-03-23,25/03/2021,14765072,Positive,45707,37420.49,53994.78,NA,45707.64,11719.79,NA,15.01,NA,3397699.5,36.7402,SEPA,1,3.6038714451
Dumfries and Galloway,Dalbeattie,2021-03-29,30/03/2021,14786933,Weak Positive,540,1080.389,0,NA,540.1947,763.9507,NA,4.53,NA,6772194.8,0.865461,SEPA,1,-0.1444929255
Dumfries and Galloway,Dalbeattie,2021-04-06,08/04/2021,14817822,Negative,0,NA,NA,NA,NA,NA,NA,15.35,NA,3354164.8,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-04-12,14/04/2021,14840983,Negative,0,NA,NA,NA,NA,NA,NA,19.92,NA,2886836.9,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-04-26,28/04/2021,14875632,Negative,0,NA,NA,NA,NA,NA,NA,25.38,NA,2511040.3,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-05-03,06/05/2021,14890640,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,26.12,NA,2469833.2,NA,SEPA,1,NA
Dumfries and Galloway,Dalbeattie,2021-05-10,12/05/2021,14923983,Negative,0,NA,NA,NA,NA,NA,NA,11.38,NA,3984835.1,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-05-17,18/05/2021,14949937,Negative,0,NA,NA,NA,NA,NA,NA,15.84,NA,3294029.4,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-05-24,25/05/2021,14974467,Negative,0,NA,NA,NA,NA,NA,NA,6.57,NA,5467228.9,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-06-02,03/06/2021,14990256,Negative,0,NA,NA,NA,NA,NA,NA,17.13,NA,3148844.7,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-06-10,11/06/2021,15008451,Negative,0,NA,NA,NA,NA,NA,NA,17.69,NA,3091063.8,0,SEPA,1,-5
Dumfries and Galloway,Dalbeattie,2021-06-14,16/06/2021,NA,Positive (DNQ),5280.686,5280.686,NA,NA,5280.686,NA,NA,NA,NA,NA,6.043413,SEPA,1,1.798968912
Dumfries and Galloway,Dalbeattie,2021-06-30,01/07/2021,15087654,Positive (DNQ),2339.952,2361.255,2318.65,NA,2339.952,30.12603,NA,29.28,NA,2312663.3,1.280228,SEPA,1,0.2470378716
Dumfries and Galloway,Dalbeattie,2021-07-05,06/07/2021,15118151,Positive (DNQ),6696.591,6435.771,6957.411,NA,6696.591,368.855,NA,11.78,NA,3906363,6.188625,SEPA - Low Volume,1,1.8227128762
Dumfries and Galloway,Dalbeattie,2021-07-13,14/07/2021,15147806,Positive,9748,11987.03,7510.53,NA,9748.78,3165.363,NA,14.71,NA,3437423.3,7.92777,SEPA - Low Volume,1,2.070371781
Dumfries and Galloway,Dalbeattie,2021-07-21,26/07/2021,15168175,Positive,63969,60006.28,67932.33,NA,63969.31,5604.559,NA,24.91,NA,2538209.3,38.41199,SEPA - Low Volume,1,3.6483696704
Dumfries and Galloway,Dalbeattie,2021-08-03,04/08/2021,15215058,Positive,48651,60413.74,36889.86,NA,48651.8,16633.89,NA,30.68,NA,2251303.5,25.91199,SEPA - Low Volume,1,3.2547056246
Dumfries and Galloway,Dalbeattie,2021-08-10,11/08/2021,15191742,Positive,32342,17204,47480,NA,32342,21408.36,NA,18.87,NA,2978256.1,22.7875,SEPA - Low Volume,1,3.1262120969
Dumfries and Galloway,Dalbeattie,2021-08-19,20/08/2021,15262479,Positive,773950,796438.2,751463.1,NA,773950.6,31802.21,NA,24.43,NA,2566803,469.9737,SEPA - Low Volume,1,6.1526767039
Dumfries and Galloway,Dalbeattie,2021-08-24,25/08/2021,15286105,Positive,657226,710332.9,604121.1,NA,657227,75103.05,NA,19.65,NA,2909608.1,452.3948,SEPA - Low Volume,1,6.1145553083
Dumfries and Galloway,Dalbeattie,2021-09-02,03/09/2021,NA,Positive,315605,344040,287171.2,NA,315605.6,40212.32,NA,29.1,NA,2320888.5,173.2873,SEPA - Low Volume,1,5.1549509333
Dumfries and Galloway,Dalbeattie,2021-09-07,08/09/2021,15335025,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,28.87,NA,2331515.9,NA,SEPA - Low Volume,1,NA
Dumfries and Galloway,Dalbeattie,2021-09-13,14/09/2021,15355717,Positive,73584,80010.5,67157.59,NA,73584.05,9088.377,NA,27.43,NA,2401218.9,41.80066,SEPA - Low Volume,1,3.732912191
Dumfries and Galloway,Dalbeattie,2021-09-21,22/09/2021,15384708,Positive,33876,29892.12,37861.22,NA,33876.67,5635.006,NA,22.56,NA,2687224.5,21.53636,SEPA - Low Volume,1,3.0697428556
Dumfries and Galloway,Dalbeattie,2021-09-27,29/09/2021,15410777,Positive,150482,143275.8,157689.6,NA,150482.7,10192.06,NA,11.69,NA,3923649.8,139.6833,SEPA - Low Volume,1,4.9393779715
Dumfries and Galloway,Dalbeattie,2021-10-06,07/10/2021,15443567,Positive,75700,60377.28,91024.1,NA,75700.69,21670.57,NA,8.74,NA,4638817.2,83.07586,SEPA - Low Volume,1,4.4197541544
Dumfries and Galloway,Dalbeattie,2021-10-12,13/10/2021,15463690,Positive,161616,154913.4,168319.3,NA,161616.3,9479.448,NA,12.45,NA,3783912.8,144.6752,SEPA - Low Volume,1,4.9744913987
Dumfries and Galloway,Dalbeattie,2021-10-13,14/10/2021,15526524,Positive,100264,89134.67,111393.6,NA,100264.1,15739.4,NA,15.85,NA,3292832.7,78.10574,SEPA - Low Volume,1,4.3580635292
Dumfries and Galloway,Dalbeattie,2021-10-15,18/10/2021,15526569,Positive,193586,184481.1,202692.3,NA,193586.7,12877.29,NA,16.64,NA,3201900.5,146.6395,SEPA - Low Volume,1,4.9879773731
Dumfries and Galloway,Dalbeattie,2021-10-20,22/10/2021,15526604,Positive,137231,133824.9,140637.8,NA,137231.4,4817.419,NA,5.76,NA,5897478.6,191.4642,SEPA - Low Volume,1,5.2547007742
Dumfries and Galloway,Dalbeattie,2021-10-25,26/10/2021,15514340,Positive,50837,46544.13,55131.84,NA,50837.98,6072.429,NA,2.28,NA,10055237,120.934,SEPA - Low Volume,1,4.7952448159
Dumfries and Galloway,Dalbeattie,2021-11-01,02/11/2021,15538418,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,0.65,NA,20709989.4,NA,SEPA - Low Volume,1,NA
Dumfries and Galloway,Dalbeattie,2021-11-08,09/11/2021,15562290,Positive,128074,137096.5,119051.9,NA,128074.2,12759.43,NA,9.47,NA,4429447,134.2081,SEPA - Low Volume,1,4.899391843
Dumfries and Galloway,Dalbeattie,2021-11-15,16/11/2021,15584736,Positive,39954,48805.61,31103.87,NA,39954.74,12517.02,NA,7.55,NA,5046653.7,47.70233,SEPA - Low Volume,1,3.8649802501
Dumfries and Galloway,Dalbeattie,2021-11-22,23/11/2021,15608762,Positive,146533,127710.6,165355.7,NA,146533.1,26619.13,NA,14.46,NA,3471514.6,120.3435,SEPA - Low Volume,1,4.7903500288
Dumfries and Galloway,Dalbeattie,2021-11-30,06/12/2021,15630216,Positive,72653,91758.79,53548.2,NA,72653.5,27018.96,NA,12.57,NA,3763073.1,64.67954,SEPA - Low Volume,1,4.1694449387
Dumfries and Galloway,Dalbeattie,2021-12-10,13/12/2021,15656244,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,4.52,NA,6780816.8,NA,SEPA - Low Volume,1,NA
Dumfries and Galloway,Dalbeattie,2021-12-15,16/12/2021,15678711,Positive,82204,74710.58,89698.82,NA,82204.7,10598.29,NA,6.97,NA,5284326.5,102.7671,SEPA - Low Volume,1,4.6324651288
Dumfries and Galloway,Dalbeattie,2021-12-20,21/12/2021,15692439,Positive,444036,432108.2,455965.2,NA,444036.7,16869.49,NA,12.54,NA,3768253.5,395.8464,SEPA - Low Volume,1,5.9810263541
Dumfries and Galloway,Dalbeattie,2022-01-04,05/01/2022,15760369,Analysis Failed,NA,NA,NA,NA,NA,NA,NA,6.18,NA,5663285.9,NA,SEPA - Low Volume,1,NA
Greater Glasgow and Clyde,Daldowie,2021-01-07,12/01/2021,14597731,Positive,189362,199037.5,147337,221713.6,189362.7,38120.48,396532800,21.19,7.2,90465571.5,355.8478,SEPA,1,5.8745031091
Greater Glasgow and Clyde,Daldowie,2021-01-11,13/01/2021,14597734,Positive,541165,537445.5,544885.4,NA,541165.4,5260.826,403539840,16.09,7.3,106005087.7,1034.921,SEPA,1,6.942080514
Greater Glasgow and Clyde,Daldowie,2021-01-18,19/01/2021,14597751,Positive,46938,55758.38,38119.52,NA,46938.95,12472.55,402140160,7.55,7.2,163877086.9,89.45438,SEPA,1,4.493728788
Greater Glasgow and Clyde,Daldowie,2021-02-03,04/02/2021,14615285,Positive,50893,49487.26,52299.32,NA,50893.29,1988.432,285223680,9.98,NA,139556055.6,68.79184,SEPA,1,4.2310850888
Greater Glasgow and Clyde,Daldowie,2021-02-09,11/02/2021,14647580,Positive,46759,42255.27,51264.67,NA,46759.97,6370.609,164937600,11.79,NA,126787126.3,36.54978,SEPA,1,3.5986750635
Greater Glasgow and Clyde,Daldowie,2021-02-15,16/02/2021,14673889,Positive,64724,62690.11,66758.95,NA,64724.53,2877.109,338783040,14.2,NA,113912264.6,103.9157,SEPA,1,4.6435804
Greater Glasgow and Clyde,Daldowie,2021-02-26,01/03/2021,NA,Positive,24883,25425.77,24340.31,NA,24883.04,767.5301,NA,10.23,NA,137582237.5,16.22395,SEPA,1,2.7864885617
Greater Glasgow and Clyde,Daldowie,2021-03-04,05/03/2021,14710825,Positive,68140,60166.15,76115.39,NA,68140.77,11277.82,99887040,21.72,NA,89187985.8,32.25574,SEPA,1,3.4736959561
Greater Glasgow and Clyde,Daldowie,2021-03-12,15/03/2021,14727423,Positive,30529,31388.96,29669.26,NA,30529.11,1216.013,NA,10.81,NA,133282612.5,19.28317,SEPA,1,2.9592328137
Greater Glasgow and Clyde,Daldowie,2021-03-18,19/03/2021,14757663,Positive,26113,25250.73,26975.44,NA,26113.09,1219.553,NA,14.55,NA,112326518.3,13.90053,SEPA,1,2.6319267719
Greater Glasgow and Clyde,Daldowie,2021-03-24,25/03/2021,14769354,Positive,30486,30550.5,30422.17,NA,30486.34,90.74159,NA,18.57,NA,97607654.3,14.10197,SEPA,1,2.6463147719
Greater Glasgow and Clyde,Daldowie,2021-03-30,31/03/2021,14786936,Positive,15443,18821.08,12066.09,NA,15443.59,4776.504,NA,10.29,NA,137119793.9,10.0355,SEPA,1,2.3061289724
Greater Glasgow and Clyde,Daldowie,2021-04-05,07/04/2021,14817825,Positive (DNQ),9870,14101.38,5639.127,NA,9870.254,5983.717,NA,11.77,NA,126911118.5,5.93634,SEPA,1,1.7810928321
Greater Glasgow and Clyde,Daldowie,2021-04-12,14/04/2021,14843220,Positive,39118,43235.9,35000.5,NA,39118.2,5823.304,NA,19.22,NA,95693304.8,17.7399,SEPA,1,2.8758164596
Greater Glasgow and Clyde,Daldowie,2021-04-26,28/04/2021,14869759,Positive (DNQ),7386,9886.506,4886.908,NA,7386.707,3535.25,NA,23.94,NA,84328297.8,2.951991,SEPA,1,1.0824797896
Greater Glasgow and Clyde,Daldowie,2021-05-04,06/05/2021,14897488,Positive,10344,8532.23,12156.01,NA,10344.12,2562.402,NA,12.31,NA,123675436.6,6.062725,SEPA,1,1.802159322
Greater Glasgow and Clyde,Daldowie,2021-05-10,11/05/2021,14923986,Positive (DNQ),4384,4462.576,4306.268,NA,4384.422,110.5264,NA,16.52,NA,104407632.9,2.169379,SEPA,1,0.774440918
Greater Glasgow and Clyde,Daldowie,2021-05-19,20/05/2021,14941158,Positive,14780,16999.48,12562.09,NA,14780.78,3137.704,NA,19.78,NA,94124021.6,6.593086,SEPA,1,1.8860215644
Greater Glasgow and Clyde,Daldowie,2021-05-25,26/05/2021,14961202,Positive,19115,15483.99,22746.63,NA,19115.31,5135.463,NA,15.47,NA,108430643.7,9.82255,SEPA,1,2.2846807883
Greater Glasgow and Clyde,Daldowie,2021-06-04,07/06/2021,14993014,Positive (DNQ),10723.57,10132.08,11315.06,NA,10723.57,836.4921,NA,12.75,NA,121199904.2,6.159317,SEPA,1,1.8179658632
Greater Glasgow and Clyde,Daldowie,2021-06-07,09/06/2021,15022924,Positive (DNQ),10229.55,8708.05,11751.05,NA,10229.55,2151.723,NA,13,NA,119852476.7,5.810242,SEPA,1,1.7596222906
Greater Glasgow and Clyde,Daldowie,2021-06-14,16/06/2021,15038238,Positive,50757,55298.53,46217,NA,50757.77,6421.612,NA,22.86,NA,86599544.8,20.83094,SEPA,1,3.0364394424
Greater Glasgow and Clyde,Daldowie,2021-06-21,22/06/2021,15057381,Positive,41747,33820.19,49674.21,NA,41747.2,11210.49,NA,11.84,NA,126478590.8,25.02276,SEPA,1,3.2197857222
Greater Glasgow and Clyde,Daldowie,2021-06-30,01/07/2021,15083971,Positive,39220,37097.58,41343.9,NA,39220.74,3002.6,NA,12.49,NA,122646116.5,22.79609,SEPA,1,3.1265891001
Greater Glasgow and Clyde,Daldowie,2021-07-05,06/07/2021,15120902,Positive,248915,206541.1,291289.9,NA,248915.5,59926.47,NA,14.7,NA,111665182.6,131.7226,SEPA - Low Volume,1,4.8806985737
Greater Glasgow and Clyde,Daldowie,2021-07-21,26/07/2021,15164598,Positive,290884,344311.3,237456.7,NA,290884,75557.57,NA,23.43,NA,85380269.1,117.6978,SEPA - Low Volume,1,4.7681199069
Greater Glasgow and Clyde,Daldowie,2021-07-28,29/07/2021,15194102,Positive,163726,166916.9,160535.8,NA,163726.4,4512.105,NA,21.06,NA,90786658.7,70.44197,SEPA - Low Volume,1,4.2547892442
Greater Glasgow and Clyde,Daldowie,2021-08-03,04/08/2021,15205482,Positive,215042,174286.5,255797.6,NA,215042,57637.05,NA,22.82,NA,86686906.5,88.34208,SEPA - Low Volume,1,4.481216495
Greater Glasgow and Clyde,Daldowie,2021-08-11,12/08/2021,15239939,Positive,66182,53160,79204,NA,66182,18415.89,NA,10.62,NA,134650301,42.23165,SEPA - Low Volume,1,3.7431698346
Greater Glasgow and Clyde,Daldowie,2021-08-17,18/08/2021,15265238,Positive,94982,103339.9,86625.49,NA,94982.7,11818.87,NA,10.9,NA,132647903.5,59.70843,SEPA - Low Volume,1,4.0894732733
Greater Glasgow and Clyde,Daldowie,2021-08-23,24/08/2021,15288287,Positive,162266,154227.4,170306.2,NA,162266.8,11369.45,NA,9.56,NA,143053724.9,110.0068,SEPA - Low Volume,1,4.7005425955
Greater Glasgow and Clyde,Daldowie,2021-08-31,01/09/2021,15298085,Positive,196525,195078.7,197972.3,NA,196525.5,2046.078,NA,24.86,NA,82517212,76.85183,SEPA - Low Volume,1,4.3418792218
Greater Glasgow and Clyde,Daldowie,2021-09-16,17/09/2021,15355718,Positive,397203,405425,388982.9,NA,397203.9,11626.32,NA,17.77,NA,100113926,188.4512,SEPA - Low Volume,1,5.2388389126
Greater Glasgow and Clyde,Daldowie,2021-09-23,24/09/2021,15389218,Positive,157944,166903.2,148985.6,NA,157944.4,12669.67,NA,14.65,NA,111884442,83.74614,SEPA - Low Volume,1,4.4277900759
Greater Glasgow and Clyde,Daldowie,2021-09-30,01/10/2021,15400406,Positive,170721,159903.8,181540.1,NA,170722,15299.19,NA,5.99,NA,187236761.8,151.4856,SEPA - Low Volume,1,5.0204904229
Greater Glasgow and Clyde,Daldowie,2021-10-07,08/10/2021,15443570,Positive,49419,60340.53,38498.86,NA,49419.69,15444.4,NA,6.46,NA,179268406.2,41.98504,SEPA - Low Volume,1,3.7373134429
Greater Glasgow and Clyde,Daldowie,2021-10-11,12/10/2021,15526527,Positive,39942,53331.64,26552.4,NA,39942.02,18935.78,NA,7.52,NA,164253163.9,31.09099,SEPA - Low Volume,1,3.4369180655
Greater Glasgow and Clyde,Daldowie,2021-10-13,14/10/2021,15526560,Positive,50554,40318.15,60790.47,NA,50554.31,14476.12,NA,7.49,NA,164631612.5,39.4423,SEPA - Low Volume,1,3.6748388132
Greater Glasgow and Clyde,Daldowie,2021-10-14,15/10/2021,15468432,Positive,159796,148743.1,170849.9,NA,159796.5,15631.91,NA,10.02,NA,139235036.2,105.4403,SEPA - Low Volume,1,4.6581447159
Greater Glasgow and Clyde,Daldowie,2021-10-20,21/10/2021,15526610,Positive,70849,68526.45,73172.56,NA,70849.51,3285.298,NA,6.85,NA,173319202.8,58.19348,SEPA - Low Volume,1,4.0637732819
Greater Glasgow and Clyde,Daldowie,2021-10-29,01/11/2021,15527194,Positive,58342,54790.21,61894.16,NA,58342.18,5023.255,NA,9.15,NA,146709861.9,40.56325,SEPA - Low Volume,1,3.7028625742
Greater Glasgow and Clyde,Daldowie,2021-11-01,02/11/2021,15538421,Positive,44826,53132.74,36520.97,NA,44826.85,11746.29,NA,9.54,NA,143226312.7,30.42649,SEPA - Low Volume,1,3.4153136419
Greater Glasgow and Clyde,Daldowie,2021-11-02,03/11/2021,15541213,Positive,56866,64312.63,49421.23,NA,56866.93,10529.81,NA,9.91,NA,140122746.4,37.76237,SEPA - Low Volume,1,3.6313129782
Greater Glasgow and Clyde,Daldowie,2021-11-03,04/11/2021,15543560,Positive,24880,13364.33,36396.04,NA,24880.19,16285.88,NA,10.89,NA,132718018.4,15.64856,SEPA - Low Volume,1,2.7503787259
Greater Glasgow and Clyde,Daldowie,2021-11-05,08/11/2021,15529223,Positive,22632,19857.39,25406.92,NA,22632.16,3924.11,NA,10.39,NA,136358422.5,14.6251,SEPA - Low Volume,1,2.682739019
Greater Glasgow and Clyde,Daldowie,2021-11-08,09/11/2021,15553400,Positive,28467,20685.79,36248.62,NA,28467.2,11004.59,NA,8.83,NA,149747777.5,20.20207,SEPA - Low Volume,1,3.0057852935
Greater Glasgow and Clyde,Daldowie,2021-11-09,10/11/2021,15562293,Positive,10844,11382.93,10305.98,NA,10844.46,761.5175,NA,8.98,NA,148302517.9,7.621617,SEPA - Low Volume,1,2.03098857
Greater Glasgow and Clyde,Daldowie,2022-01-04,05/01/2022,15755033,Positive,208667,153159.4,264175.8,NA,208667.6,78500.42,NA,13.16,NA,119011355.9,117.6885,SEPA - Low Volume,1,4.7680416743
Greater Glasgow and Clyde,Daldowie,2022-01-05,06/01/2022,15756681,Positive,135331,135269.1,135393,NA,135331.1,87.55302,NA,11.71,NA,127285095.6,81.63301,SEPA - Low Volume,1,4.4022337023
