"X2020.05.22" "X2020.06.23" "X2020.06.24" "X2020.06.25" "X2020.06.26" "X2020.06.27" "X2020.07.27" "X2020.07.28" "X2020.07.29" "X2020.07.30" "X2020.07.31" "X2020.08.32" "X2020.08.33" "X2020.08.34" "X2020.08.35" "X2020.08.36" "X2020.09.36" "X2020.09.37" "X2020.09.38" "X2020.09.39" "X2020.09.40" "X2020.10.40" "X2020.10.41" "X2020.10.42" "X2020.10.43" "X2020.10.44" "X2020.11.45" "X2020.11.46" "X2020.11.47" "X2020.11.48" "X2020.11.49" "X2020.12.49" "X2020.12.50" "X2020.12.51" "X2020.12.52" "X2020.12.53" "X2021.01.01" "X2021.01.02" "X2021.01.03" "X2021.01.04" "X2021.02.05" "X2021.02.06" "X2021.02.07" "X2021.02.08" "X2021.03.09" "X2021.03.10" "X2021.03.11" "X2021.03.12" "X2021.03.13" "X2021.04.13" "X2021.04.14" "X2021.04.15" "X2021.04.16" "X2021.04.17" "X2021.05.18" "X2021.05.19" "X2021.05.20" "X2021.05.21" "X2021.05.22" "X2021.06.22" "X2021.06.23" "X2021.06.24" "X2021.06.25" "X2021.06.26" "X2021.07.26" "X2021.07.27" "X2021.07.28" "X2021.07.29" "X2021.07.30" "X2021.08.31" "X2021.08.32" "X2021.08.33" "X2021.08.34" "X2021.08.35" "X2021.09.35" "X2021.09.36" "X2021.09.37" "X2021.09.38" "X2021.09.39" "X2021.10.39" "X2021.10.40" "X2021.10.41" "X2021.10.42" "X2021.10.43" "X2021.11.44" "X2021.11.45" "X2021.11.46" "X2021.11.47" "X2021.11.48" "X2021.12.48" "X2021.12.49" "X2021.12.50" "X2021.12.51" "X2021.12.52" "X2022.01.01" "X2022.01.02"
"Banchory" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1.58291213697573 NA -0.278459275415813 0.142807984120862 -5 -1.42608381985682 -5 NA -1.2368284014217 -0.2419695501437 1.36003943370444 -0.634245936312543 1.56630964167876 1.83501307934919 2.63201460141409 2.52502947019989 3.40540364235486 1.92628742261278 1.74679687138922 2.98846358403943 2.18561122561885 5.03514013700164 3.57971432919923 4.52057417908001 5.76137262064778 3.8969707131773 NA NA 4.79199071639607 4.40412060210252 NA 4.14319544805563 NA 3.59629798735431 5.41549403104712 3.97154128772423 4.03443176432427 4.42439976155557 NA 3.12978700360837 4.33594016226474 NA NA 4.19596040521671 NA
"Banff" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1.71719062360108 -5 -1.5200688921444 -1.01697725091126 -2.28886502897397 -1.65183900332907 -2.06290964578924 -2.09824675247656 0.466983253015702 -0.186098522797867 -2.68609308713296 -0.353337516069034 2.86738316850241 2.82237382339796 3.04030543308872 2.94218565444155 3.11731223047621 3.18195689831532 1.68854758013595 NA NA 4.2953545194285 6.03000047728621 5.47427788808985 5.24352792827113 4.05068489385117 5.00079897919603 NA NA 4.9831977207355 4.41464500494357 3.89795698379508 4.66540871252071 NA 3.04952194942787 3.6935702268192 3.69537426724498 2.71223257206961 3.75599792892281 2.11129334546694 4.14833020668319 4.93644885038151 NA 3.58192557281649 NA
"Bathgate" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.67094160439089 NA NA 2.07396128250675 2.98964784403099 -5 3.84606828180404 4.29567562525286 4.60601057659795 3.85935630657892 3.62382702094851 3.14859616461441 2.18854467769753 2.39914781596677 1.7450642409901 NA 3.26460843381071 NA 0.346717068237882 NA 0.843423586949455 1.02218058337151 2.42747115482862 1.4556325136209 1.50927029328783 -5 3.03444450547601 1.10103651521817 -1.05737234768757 4.17043098847247 5.31940741191795 5.75757044542611 4.67983564729885 4.00757482866597 5.17006341780603 3.40011219024723 NA NA 4.55099840718518 NA 4.70168903229212 4.61221810569933 4.63773463820407 4.90408447405285 NA NA 4.55261589354938 4.77362749881433 NA 4.33487768193257 4.02422465826929 3.96155947426971 4.77582322778057 4.56916026778004 4.76705100567978 NA NA 3.32712782773722 4.19578145552767 5.22721759814971 NA 3.92234729589683 3.31729187040256
"Biggar" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.06452011226357 -5 -5 3.42666802774155 2.91216630084131 0.892397754565505 -0.108307062267717 -0.012095238653515 0.676905240066971 4.23352940388591 -0.758216926119174 -0.06090629177426 NA NA NA NA NA -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Blackburn" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.3028460829559 NA NA 3.89993243970261 3.03748305217241 2.91281945816125 0.724920412250803 2.2692189917025 2.98493278489627 3.52860462124143 3.32220841019468 1.87561614219844 1.43725491310603 1.81469765861545 2.32925822211311 2.43065520244071 1.17265856571647 1.87489381771323 1.05150274512495 2.35450206329949 1.9859117800877 0.905362848420616 -0.108816449804 1.72131764303474 1.81539286517545 2.88770997233721 2.05659580150845 2.80140492394401 2.53584947895908 2.9954322935278 4.21765139410782 3.800966904816 4.26523862025489 4.19119780575642 3.85624881425742 3.98369199027644 NA 2.80207406611244 NA NA 6.3936623224413 4.03615035830311 4.55815573261278 NA 3.36062154952415 NA 1.16801991760725 3.06928596494319 3.83183692865719 2.86694028325203 6.33972716732709 3.46977656110694 3.64902437620803 3.71173699025783 2.91212483653139 3.96135595365214 NA 4.25034311512257 3.67547055480439 4.41633532331049 NA 3.89537640518371 NA
"Blackridge" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.752176876167413 -0.160378300930498 NA 1.46436280286035 1.23615773974853 2.27746713612225 3.58739867860349 4.69578707116783 4.93884477666438 5.26647165624817 5.19952243876261 2.68111490578958 -0.502495018318127 0.999129325150812 1.75471436930851 NA 2.89490787446683 4.47328208714688 5.60108530922163 NA 1.78177358784341 2.43790032446958 3.16647527272868 2.86667744061265 3.33602866314946 NA 2.40337633086671 2.37411203789684 2.71230841581458 3.09058595206662 3.76650639153729 3.67900208870064 6.64971575353364 8.02946971946186 4.10399269238235 5.12626765701515 NA NA NA NA 4.32951381869848 4.61324720354564 5.49869499927696 6.53585372566898 NA NA NA NA NA 3.78271478209711 4.08232140846894 2.98929786152494 0.405661563127907 4.12684839439521 4.13002352139679 4.10265515259529 NA 4.76937224072151 4.7013877401066 NA NA 2.73517265086634 3.90390873015721
"Blackwood" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.47766063473163 5.93006630308029 NA 3.18023361893164 4.2946411350729 1.82668170315973 4.42032319889193 5.06638438106964 0.660807647441312 -0.168470380045802 0.355129199645045 1.77396200949101 NA 1.46145817032695 -5 NA NA -0.996823017724886 NA -5 NA 2.5181855966279 NA 3.13676933210305 3.59878111134606 3.17387418754418 2.44337059094788 2.34432096906391 NA 6.17335482344867 6.63199346922965 5.92223225074968 5.04770896372482 NA NA 4.95340325220107 NA 5.77946377847519 NA NA 4.23124290367363 NA NA NA 3.26820920429631 NA 3.65010295917943 NA 2.72759841299888 3.98182325516063 3.65948106586438 NA NA NA 2.81838647546151 5.15121133659647 NA NA 3.8064693855635 NA
"Blairgowrie" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.211881504901355 1.21518614950414 -0.296293813037605 NA 4.08481484638882 3.69836827021121 2.71884824887949 NA 1.16400619378808 NA NA -0.710047893892953 -5 0.292386809190275 -0.498588363008322 NA NA 0.953512538071322 -0.292008882066009 1.32148815654 2.0499252763832 2.41229667089944 NA 3.7053106245573 4.95385299367541 2.77216764617039 3.96014058363271 3.59276273169783 2.75304570347841 2.99235186740598 3.04601209013512 4.17556095373726 NA NA 4.17839955120506 4.91805993220318 NA NA 1.77044374068629 NA 6.58456795545698 5.70926504224026 4.9948033235571 4.14114692950237 NA 5.67682721210641 NA NA 2.93001191886775 3.38934501287598 NA NA 4.14509983107176 NA
"Boness" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.98400527603909 3.9174053067856 0.335974681011029 0.72306591084017 2.53345301976302 1.74454884600359 0.996626313595268 NA 1.84340721987881 1.04819639550248 NA -0.828726885432352 -1.48806537137155 0.377891339339084 0.179988262188878 0.17816434780934 NA 1.26295727215571 0.964956554440155 -2.33486885161256 3.16471112809365 2.63769325312948 4.6820889100634 4.11807206602801 5.29904831363924 3.65130129323343 3.6526319233168 3.94993078886437 NA NA NA 4.99272187515022 5.33030684291455 5.82697475378593 3.49432370594202 2.84712131975675 NA 3.6070746806895 2.58849425875555 NA 3.09208934409355 5.15297870047861 3.33732597773768 3.17438516364923 3.7531793346264 3.78214979398752 NA NA 4.6803716919158 4.75243854774292 NA NA 5.09732624133626 4.06950560962097
"Bonnybridge" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.38831675006487 3.94774570941193 3.88269122899537 2.04065128761291 2.73024648719036 3.08288343479596 3.50653247000433 NA 1.83673075933346 0.705027883410325 NA -0.161695271772446 0.740848236097406 2.21329941673842 0.964011401432005 2.87413196465413 NA 2.82945040509528 1.90925586478179 1.53833279970668 2.62401187960232 4.12589261808319 4.85840785295298 4.77000096159964 3.53606358184927 4.20233203466557 3.74718548369703 4.07276718302531 NA NA 4.69432913056116 4.20314302222659 4.84434064893441 5.53853527704209 5.12854770984372 NA 5.26138185525354 NA 4.87795882271235 NA 4.52081964352766 4.43446830897067 3.68943200169336 4.02468461462178 3.95509644962101 5.65047063885766 5.51274529012735 NA 4.52887871144839 4.76029514917399 NA NA NA 4.48584481333189
