,"Site","Year","Month","Week","x","LogNormalized"
"143","Seafield - Cockenzie",2022,"01","01",300.430973326901,5.7052180215219
"144","Seafield - Craigmillar",2022,"01","01","NA","NA"
"145","Seafield - Muirhouse",2022,"01","01","NA","NA"
"146","Seafield - Restalrig",2022,"01","01","NA","NA"
"147","Selkirk",2022,"01","01",40.5235992379035,3.70188450164257
"148","Shieldhall",2022,"01","01",40.7748906526512,3.70806646677819
"149","Shieldhall - Barrhead",2022,"01","01",105.819024268622,4.66173031676273
"150","Shieldhall - Gorbals",2022,"01","01",60.1505617463913,4.0968507814692
"151","Shieldhall - Pollockshields West",2022,"01","01",43.3738711840419,3.76985721335298
"152","Shotts",2022,"01","01","NA","NA"
"153","Skellyton",2022,"01","01",98.2465909731299,4.58748055267289
"154","Springfield",2022,"01","01",103.502021067693,4.63959113973886
"155","St Andrews",2022,"01","01",73.0756992613265,4.29149588004255
"156","Stevenston",2022,"01","01",104.339537969121,4.64765036945641
"157","Stevenston - Stevenston East",2022,"01","01",477.534834757916,6.16863710963249
"158","Stevesnton - Stevenston West",2022,"01","01","NA","NA"
"159","Stirling",2022,"01","01",20.0133939035014,2.99640174458331
"160","Stirling - University",2022,"01","01",349.071113032821,5.85527566371741
"161","Stonehouse",2022,"01","01",59.3029529796238,4.08265910205935
"162","Strathaven",2022,"01","01",102.659964383772,4.63142221019826
"163","Swinstie",2022,"01","01","NA","NA"
"164","Thurso",2022,"01","01",20.8023581154208,3.03506635121497
"165","Tillicoultry",2022,"01","01",24.5139320479531,3.19924161094618
"166","Troqueer",2022,"01","01",98.7807667870266,4.59290291765602
"167","Turriff",2022,"01","01",14.7862586765691,2.69369828167748
"168","Whitburn",2022,"01","01",46.191162556624,3.83278849313691
"169","Winchburgh",2022,"01","01",177.857804562477,5.18098438026817
"170","Allanfearn",2021,"01","02",46.2771466882054,3.83464824718813
"171","Allers",2021,"01","02",81.2784840944773,4.39788133324382
