,Site,Year,Month,Week,x
264,Hatton - Fintry West,2022,01,02,75.44
265,Hawick,2022,01,02,47.43
266,Inverclyde,2022,01,02,67.44
267,Inverclyde - Gourock,2022,01,02,83.07
268,Inverurie,2022,01,02,82
269,Jedburgh,2022,01,02,72.195
270,Kelso,2022,01,02,75.495
271,Kirkcaldy,2022,01,02,117.39
272,Kirkwall,2022,01,02,16.08
273,Lanark,2022,01,02,188.97
274,Largs,2022,01,02,95.61
275,Lerwick,2022,01,02,NA
276,Levenmouth,2022,01,02,99.2533333333333
277,Linlithgow,2022,01,02,49.95
278,Loch Ryan,2022,01,02,24.35
279,Lockerbie,2022,01,02,89.455
280,Lossiemouth,2022,01,02,NA
281,Meadowhead,2022,01,02,51.73
282,Meadowhead - Kilmarnock HMP,2022,01,02,4.81
283,Montrose,2022,01,02,38.54
284,Nairn,2022,01,02,14.01
285,Neilston,2022,01,02,54.09
286,Newbridge,2022,01,02,89.66
287,Newburgh,2022,01,02,30.67
288,Newtown St Boswell,2022,01,02,89.21
289,Nigg,2022,01,02,107.185
290,Oban,2022,01,02,48.14
291,Paisley,2022,01,02,56.43
292,Paisley - Blackhall,2022,01,02,47.33
293,Paisley - Brediland,2022,01,02,24.93
294,Peebles,2022,01,02,40.54
295,Penicuik,2022,01,02,93.07
296,Persley,2022,01,02,165.1
297,Perth,2022,01,02,52.23
298,Peterhead,2022,01,02,63.785
299,Philipshill,2022,01,02,87.4366666666667
300,Seafield,2022,01,02,71.55
301,Seafield - Cockenzie,2022,01,02,54.65
302,Seafield - Muirhouse,2022,01,02,NA
303,Seafield - Restalrig,2022,01,02,NA
304,Shieldhall,2022,01,02,50.125
305,Shieldhall - Barrhead,2022,01,02,90.705
306,Shieldhall - Gorbals,2022,01,02,141.02
307,Shotts,2022,01,02,70.97
308,Springfield,2022,01,02,47.23
309,St Andrews - University (2979),2022,01,02,5.88
310,Stevenston,2022,01,02,46.7333333333333
311,Stevenston - Stevenston East,2022,01,02,18.69
312,Stevenston - Stevenston West,2022,01,02,336.31
313,Stirling,2022,01,02,70.1966666666667
314,Stirling - University,2022,01,02,49.305
315,Troqueer,2022,01,02,114.895
316,Turriff,2022,01,02,19.83
317,Winchburgh,2022,01,02,92.24
318,Allanfearn,2021,01,03,26.1825
319,Allers,2021,01,03,55.64
320,Alloa,2021,01,03,45.14
321,Annan,2021,01,03,19.43
322,Armadale,2021,01,03,15.67
323,Bathgate,2021,01,03,0
324,Biggar,2021,01,03,0
325,Blackburn,2021,01,03,18.41
326,Blackridge,2021,01,03,9.75
327,Bothwellbank,2021,01,03,44.71
328,Carbarns,2021,01,03,25.09
329,Dalbeattie,2021,01,03,NA
330,Daldowie,2021,01,03,89.45
331,Dalmuir,2021,01,03,34.56
332,Dalscone,2021,01,03,NA
333,Dunfermline,2021,01,03,23.9
334,Dunnswood,2021,01,03,36.48
335,East Calder,2021,01,03,16.38
336,Falkirk,2021,01,03,21.64
337,Fauldhouse,2021,01,03,18.08
338,Fort William,2021,01,03,1.13
339,Galashiels,2021,01,03,2.01
340,Hamilton,2021,01,03,18.17
341,Harthill,2021,01,03,0.51
342,Hatton,2021,01,03,31.9866666666667
343,Hawick,2021,01,03,25.92
344,Helensburgh,2021,01,03,70.67
345,Inverclyde,2021,01,03,44.31
346,Kirkwall,2021,01,03,1.63
347,Lanark,2021,01,03,15.46
348,Lerwick,2021,01,03,3.265
349,Levenmouth,2021,01,03,15.294
350,Linlithgow,2021,01,03,21.04
351,Lockerbie,2021,01,03,4.4
352,Mauldslie,2021,01,03,75.53
353,Maybole,2021,01,03,13.74
354,Meadowhead,2021,01,03,34.8033333333333
355,Nairn,2021,01,03,2.31
356,New Cumnock,2021,01,03,33.26
357,Nigg,2021,01,03,39.22
358,Peebles,2021,01,03,4.96
359,Philipshill,2021,01,03,46.13
360,Seafield,2021,01,03,34.69
361,Shieldhall,2021,01,03,41.4466666666667
362,Shotts,2021,01,03,9.88
363,Stirling,2021,01,03,6.38
364,Stonehouse,2021,01,03,23.39
365,Stornoway,2021,01,03,0
366,Strathaven,2021,01,03,29.96
367,Troqueer,2021,01,03,29.1
368,Whitburn,2021,01,03,140.24
369,Winchburgh,2021,01,03,0.68
370,Allanfearn,2022,01,03,23.78
371,Alloa,2022,01,03,33.8
372,Alness,2022,01,03,56.42
373,Alva,2022,01,03,160.995
374,Annan,2022,01,03,92.51
375,Ardoch,2022,01,03,50.98
376,Aviemore,2022,01,03,6.64
377,Banchory,2022,01,03,38.08
378,Banff,2022,01,03,37.4066666666667
379,Bathgate,2022,01,03,56.87
380,Blackburn,2022,01,03,47.22
381,Blackridge,2022,01,03,8.03
382,Blairgowrie,2022,01,03,115.16
383,Boness,2022,01,03,38.4
384,Bonnybridge,2022,01,03,66.15
385,Bowhouse,2022,01,03,31.23
386,Buckie,2022,01,03,NA
387,Carbarns,2022,01,03,94.1966666666667
388,Coldstream,2022,01,03,11.56
389,Cupar,2022,01,03,56.84
390,Dalbeattie,2022,01,03,288.41
391,Daldowie,2022,01,03,35.705
392,Dalmarnock,2022,01,03,17.05
393,Dalmuir,2022,01,03,66.7125
394,Denny,2022,01,03,21.69
395,Dunbar,2022,01,03,44.04
396,Dunfermline,2022,01,03,59.52
397,Dunoon,2022,01,03,28.605
398,Duns,2022,01,03,27.06
399,East Calder,2022,01,03,47.5433333333333
400,Ellon,2022,01,03,28.99
401,Erskine,2022,01,03,23.08
402,Falkirk,2022,01,03,75.3933333333333
403,Fauldhouse,2022,01,03,46.44
404,Forres,2022,01,03,62.58
405,Fort William,2022,01,03,28.15
406,Fraserburgh,2022,01,03,95.48
407,Galashiels,2022,01,03,24.535
408,Guardbridge,2022,01,03,55.99
409,Hamilton,2022,01,03,34.97
410,Hatton,2022,01,03,57.9625
411,Hawick,2022,01,03,26.84
412,Helensburgh,2022,01,03,82.42
413,Inverclyde,2022,01,03,23.2033333333333
414,Inverurie,2022,01,03,23.27
415,Jedburgh,2022,01,03,7.1
416,Kelso,2022,01,03,51.195
417,Kinneil,2022,01,03,123.8
418,Kirkcaldy,2022,01,03,117.87
419,Kirkwall,2022,01,03,12.15
420,Lanark,2022,01,03,69.04
421,Langholm,2022,01,03,113.17
422,Lerwick,2022,01,03,NA
423,Levenmouth,2022,01,03,41.175
424,Linlithgow,2022,01,03,32.08
425,Loch Ryan,2022,01,03,43.7
426,Lockerbie,2022,01,03,25.565
427,Lossiemouth,2022,01,03,9.28
428,Meadowhead,2022,01,03,36.575
429,Meadowhead - Kilmarnock HMP,2022,01,03,0.79
430,Montrose,2022,01,03,26.23
431,Neilston,2022,01,03,6.37
432,New Cumnock,2022,01,03,27.29
433,Newburgh,2022,01,03,104.73
434,Newtown St Boswell,2022,01,03,4.92
435,Nigg,2022,01,03,49.3925
436,Oban,2022,01,03,13.735
437,Paisley,2022,01,03,33.3025
438,Peebles,2022,01,03,52.77
439,Perth,2022,01,03,25.5266666666667
440,Peterhead,2022,01,03,25.06
441,Philipshill,2022,01,03,53.6266666666667
442,Sanquhar,2022,01,03,47.12
443,Seafield,2022,01,03,70.4025
444,Seafield - Cockenzie,2022,01,03,48.41
445,Seafield - Craigmillar,2022,01,03,NA
446,Seafield - Restalrig,2022,01,03,NA
447,Shieldhall,2022,01,03,55.655
448,Shieldhall - Pollockshields West,2022,01,03,16.93
449,Springfield,2022,01,03,38.16
450,Stevenston,2022,01,03,25.6533333333333
451,Stirling,2022,01,03,46.0566666666667
452,Stonehouse,2022,01,03,NA
453,Troqueer,2022,01,03,37.605
454,Whitburn,2022,01,03,15.22
455,Winchburgh,2022,01,03,172.31
456,Allanfearn,2021,01,04,19.105
457,Allers,2021,01,04,25.59
458,Alloa,2021,01,04,31.185
459,Annan,2021,01,04,51.55
460,Armadale,2021,01,04,51.71
461,Bathgate,2021,01,04,46.81
462,Biggar,2021,01,04,30.77
463,Blackburn,2021,01,04,2.06
464,Blackridge,2021,01,04,36.14
465,Blackwood,2021,01,04,24.05
466,Bothwellbank,2021,01,04,35.67
467,Bowhouse,2021,01,04,23.39
468,Carbarns,2021,01,04,67.28
469,Cupar,2021,01,04,1.38
470,Dalbeattie,2021,01,04,NA
471,Dalmarnock,2021,01,04,10.38
472,Dalmuir,2021,01,04,49.03
473,Dalscone,2021,01,04,NA
474,Dunfermline,2021,01,04,3.18
475,East Calder,2021,01,04,70.55
476,Falkirk,2021,01,04,30.07
477,Fauldhouse,2021,01,04,2.64
478,Fort William,2021,01,04,0
479,Fraserburgh,2021,01,04,38.975
480,Galashiels,2021,01,04,50.01
481,Guardbridge,2021,01,04,1.22
482,Hamilton,2021,01,04,17.78
483,Hatton,2021,01,04,36.17
