,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Kirkcaldy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.83,9.81,7.37,15.725,28.675,11.6,4.535,26.3,15.045,23.63,11.455,6.26,NA,4.805,13.525,16.525,10.76,10.06,22.335,30.88,33.39,83.37,110.57,158.43,70.715,84.74,89.145,30.7,91.92,NA,NA,193.305,517.605,138.25,117.86,136.22,112.95,119.265,67.11,112.295,70.4166666666667,113.573333333333,156.406666666667,107.965,NA,98.035,131.793333333333,132.08,NA,164.585,117.39,117.87,63.3233333333333,63.84,99.525
Kirkwall,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,3.16,30.66,1.98,0,0,0,0.27,0,NA,0,0,0.91,0,0,0,0,0,0.366666666666667,0,NA,NA,0.486666666666667,0.886666666666667,1.63,1.835,0,0,0.11,0.793333333333333,0.21,0,0,0,0.163333333333333,0,0.223333333333333,0,0,0,0.45,0,0.13,0,2.675,1.97,15.505,5.195,5.975,29.67,5.94,11.5,9.15,3.42,35.925,11.46,18.56,36.46,NA,16.88,12.74,16.79,10.69,19.75,23.27,18.71,41.445,138.43,32.705,18.5,7.765,3.81,NA,NA,87.99,16.08,12.15,NA,46.795,67.45
Lanark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.41,65.27,15.46,NA,22.99,59.6,29,135.96,42.96,48.32,2.06,3.88,7.14,14.08,NA,NA,0.35,0,NA,0.75,1.78,22.65,3.51,24.02,28.51,15.63,6.61,24.1,12.69,62.99,NA,NA,80.94,NA,136.87,433.49,NA,NA,NA,13.09,NA,NA,NA,14,35.52,46.09,NA,NA,NA,NA,NA,109.75,36.26,188.97,69.04,NA,24.9,47.12
Langholm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,1.89,96.94,33.775,22.37,NA,62.775,18.61,12.775,NA,13.385,NA,940,279.85,270.48,NA,18.55,NA,46.425,146.11,69.78,12.88,5.53,31.665,NA,6.76,11.61,NA,NA,44.59,NA,113.17,20.01,47.26,101.35
Largs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.925,20.94,4.93,22.99,11.69,1.2,NA,1.35,20.7,15.6,NA,1.19,0.885,0.75,0,0,0.32,0,7.725,17.105,29.935,7.51,14.52,11.845,10.92,NA,NA,NA,NA,22.84,60.335,75.74,48.68,NA,14.485,NA,11.325,29.03,14.885,44.285,18.75,45.665,67.485,46.02,55.6,NA,NA,69.93,95.61,NA,NA,0,NA
Lerwick,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,1.78,NA,17.26,0,0,0.66,0,0,0,0,NA,NA,0.22,5.505,3.265,1.57,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1.23,0,NA,0.65,0.3,0.975,NA,1.4,1.34,4.42,11.325,8.58,0.91,1.105,0,1.72,1.62,7.55,13.1,5.875,4.13,0,1.385,0.66,0,NA,1.05,11.01,52.51,NA,NA,5.575,NA,3.41,NA,NA,NA,NA,NA,25.36
Lesmahagow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.24,NA,NA,127.35,22.48,499.44,677.86,42.19,34.01,2.84,NA,1.395,0,NA,NA,3.49,0.29,0.83,0,1,0,0,4.52,0,3.05,58.32,134.71,29.88,33.09,NA,NA,9.28,NA,305.14,52.6,97.72,NA,NA,3.47,NA,NA,NA,83.98,36.66,104.9,NA,73.52,0,43.54,NA,125.25,97.13,NA,NA,NA,NA,23.32
Levenmouth,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0.21,0.705,0,0.326666666666667,0.645,2.562,5.77333333333333,2.77333333333333,21.86,27.405,32.7325,25.83,17.26,24.3466666666667,34.085,34.4875,15.3475,21.2366666666667,NA,72.91,27.0525,37.0033333333333,15.294,52.46,25.78,15.14,6.56,12.06,6.3,5.64,7.69,9.68,6.35,7.57,2.2,NA,2.05,3.745,2.02,3.875,1.715,4.59,3.15,4.345,12.02,58.645,51.09,41.915,57.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.39,NA,NA,37.4075,51.815,79.76,59.01,30.09,78.9966666666667,111.983333333333,222.08,NA,107.085,99.2533333333333,41.175,19.3566666666667,32.555,93.305
Linlithgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.84,6.47,NA,44.02,17.45,21.04,7.51,5.255,6.75,2.42,4.625,0.38,6.07,2.085,2.57,6.30333333333333,0.865,1.02,NA,0.24,0.13,0.8,13.48,0.37,0.55,12.35,2.87,11.395,24.075,51.31,102.68,31.49,32.1,NA,52.91,13.65,NA,84.95,207.71,230.805,178.83,147.65,63.8,NA,154.26,23.86,122.515,NA,73.97,135.475,211.6,168.085,105.065,455.86,NA,118.48,49.95,32.08,NA,56.375,130.7
Loch Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,0,0.5,0.92,2.575,NA,37.625,4.27,28.16,21.26,11.39,16.06,16.35,64.58,168.6,147.6,72.345,23.44,NA,29.71,NA,NA,16.99,16.76,NA,15.795,96.74,NA,8.78,21.82,NA,NA,NA,24.35,43.7,29.07,14.4,10.68
Lockerbie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.48,0.0725,0.15,0.3075,0,2.6,1.43,3.79,7.08,122.35,1.905,34.605,0.215,1.09,4.14,NA,NA,9.895,7.37,4.4,30.14,1.935,1.955,0,0,0,1.54,0.485,0,0,0,0.09,NA,0,0,0,0,0,0,0.21,0.165,0,11.04,39.075,2.52,11.33,NA,20.76,25.95,67.865,84.42,62.295,152.67,95.035,31.525,58.055,2.06,44.7933333333333,27.375,111.64,7.43,43.225,83.31,25.205,NA,10.71,42.43,171.61,NA,NA,89.455,25.565,48.26,18.765,27.255
Lossiemouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.345,1.42,5.06,1.70333333333333,1.53,0.395,2.18,3.42666666666667,3.42666666666667,3.46666666666667,3.00333333333333,3.25333333333333,10.31,4.44,2.02666666666667,1.24666666666667,0.586666666666667,0,0.8,1.195,2.45,18.9,20.895,21.61,27.21,14.4366666666667,12.4066666666667,24.64,22.46,87.0766666666667,34.75,54.5,27.46,NA,31.83,50.13,NA,NA,27.61,NA,NA,NA,NA,NA,NA,NA,NA,64.8666666666667,NA,9.28,NA,24.99,53.16
Mauldslie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.17,239.13,75.53,10.71,77.95,10.25,55.56,10.91,16.96,8.6,5.95,10.76,9.42,9.5,NA,NA,4.1,2.43,6.64,10.34,5.8,1.09,4.82,48.96,31.67,9.97,42.1,NA,91.11,55.61,NA,NA,NA,199.32,447.1,NA,NA,NA,NA,68.95,NA,88.76,NA,75.37,122.72,59.37,NA,NA,NA,53.63,494.45,NA,28.4,NA,NA,NA,NA,NA
Maybole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.08,13.74,NA,1.8,30.83,0.7,0,0.32,0,21.17,0,1.14,0,0.25,NA,0,0,0.63,0.26,0,0,3.46,18.32,2.94,53.96,35.11,29.39,6.97,NA,NA,NA,NA,NA,249.49,233.36,354.14,78.18,NA,2.68,NA,NA,NA,NA,216.17,NA,181.57,NA,129.51,NA,245.69,NA,188.23,NA,NA,NA,142.25,314.91
Meadowhead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.55,0,0.55,3.805,21.5,26.09,20.76,36.81,5.94,18.99,51.3,NA,23.65,31.245,NA,35,NA,127.92,64.3166666666667,59.79,34.8033333333333,28.88,41.0366666666667,69.96,32.25,13.08,12.0966666666667,15.4566666666667,9.69,11.32,9.93333333333333,9.12666666666667,4.19,3.38,4.42,2.805,3.835,11.2466666666667,8.79666666666667,14.0266666666667,29.28,12.3666666666667,41.6666666666667,21.73,27.31,26.86,36.0166666666667,30.2,28.5233333333333,34.8466666666667,81.3866666666667,125.61,269.36,143.95,213.045,84.21,140.58,61.9825,60.8733333333333,39.1433333333333,72.95,47.1125,58.5775,48.9525,62.035,66.4066666666667,61.8825,77.2875,111.79,201,62.34,51.73,36.575,21.68,34.3475,34.59
Meadowhead - Kilmarnock HMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,4.096,1.485,1.73,0.995,2.61,0.28,83.88,20.73,42.89,28.405,16.88,NA,5.335,1.065,6.66,36.17,103.52,NA,NA,2445.44,NA,23.86,8.69,367.47,25.315,68.175,5.16,81.68,8.27,25.22,2.6,NA,NA,0,4.81,0.79,NA,0.68,NA
Montrose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.81,50.14,185.81,173.85,87.76,30.925,16.3,86,NA,34.315,38.54,26.23,17.65,21.89,NA
Muirkirk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.31,3.395,4.85,6.805,2.955,0,8.705,0,12.56,82.2,NA,0.265,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nairn,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.42,4.19,NA,2.79,3.7,1.23,0.15,0,0.93,0,0,0,NA,NA,7.32,14.32,2.31,NA,0.84,52.54,2.62,1.27,0.2,NA,2.29,0.46,0.38,2.82,0,NA,0,0,0.36,0.19,NA,0,4.81,0.6,24.81,24.77,84.07,28.61,4.96,NA,23.625,7.8,NA,98.09,31.44,24.68,47.71,NA,7.98,10.07,95.32,21.75,47.31,NA,40.32,16.82,NA,57.32,NA,15.3,NA,NA,NA,14.01,NA,NA,NA,40.9
Neilston,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,2.62,2.47,27.455,2.38,1.355,0,0.475,0.985,NA,0.29,0.275,0,2.475,1.485,2.48,3.52,4.63,8.395,8.95,141.46,49.03,59.84,42.69,NA,NA,NA,NA,315.85,104.22,100.49,NA,86.67,12.01,NA,65.14,61.73,76.905,21.085,67.4,46.18,NA,NA,NA,NA,NA,168.465,54.09,6.37,11.76,24.55,NA
Newbridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,64.1333333333333,42.205,90.73,41.15,68.88,128.48,NA,NA,71.04,89.66,NA,NA,61.79,31.4
Newburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,0.84,0,5.33,39.29,7.135,9.385,0.76,0.77,6.425,0.07,0,NA,0.13,0.13,0.14,0,0,2.025,0.24,1.26,21.87,30.69,21.15,59.42,NA,NA,NA,NA,12.47,52.22,118.705,84.805,101.68,39.55,220.83,80.97,NA,59.065,213.19,44.3,24.06,633.485,78.26,34.49,117.43,85.42,NA,NA,241.72,30.67,104.73,140.23,210.59,231.77
New Cumnock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.73,12.15,33.26,NA,1539.12,17.86,18.99,78.51,19.43,4.54,9.9,4.58,0,0,NA,NA,NA,4.54,20.7,56.92,5.18,1.54,16.66,20.63,8.21,129.97,169.55,114.45,75.01,47.47,NA,NA,NA,NA,80.28,323.69,286.99,NA,NA,NA,NA,53.49,13.94,116.99,NA,82.12,NA,NA,112.29,33.66,NA,NA,564.99,NA,27.29,NA,33.42,NA
Newport & Tayport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1.46,0.91,1.425,9.405,3.39,17.725,1.16,4.28,0.15,0,0,NA,0,0,0.125,1.16,0,7.64,18.34,15.56,46.755,51.095,102.38,27.32,13.03,18.1,15.91,NA,19.31,NA,285.78,1061.21,100.83,63.955,163.44,120.9,NA,25.3,168.245,54.69,5.815,35.4,98.35,245.05,7.25,125.77,NA,NA,93.81,NA,NA,NA,36.46,NA
Newtown St Boswell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0,7.925,2.695,7.345,0,0,0,0,0,NA,0,0,0.135,2.17,1.115,6.215,0.585,1.415,0.215,3.545,27.825,22,229.45,55.985,2.44,0,9.79,46.5,30.44,16.48,36.915,NA,235.19,43.62,NA,94.825,47.87,62.38,NA,307.06,131.505,NA,17.74,4.14,NA,NA,109.04,89.21,4.92,NA,20.27,9.15
Nigg,0,0,0,NA,NA,0,NA,NA,NA,0,0.33,5.64,3.5575,1.125,0.566666666666667,0.1775,0.83,1.18,3.345,3.88,4.97,2.79,7.21,5.975,NA,6.47,13.15,6.93,14.41,17.46,NA,87.71,70.52,42.95,39.22,18.35,11.8333333333333,9.1,7.17,4.29333333333333,2.89,5.31333333333333,6.86333333333333,5.87666666666667,2.94666666666667,4.29333333333333,6.3,1.22,1.14,1.68,2.25,0.615,3.05,5.14,9.105,9.965,46.075,87.08,127.28,26.94,43.62,32.915,27.475,20.07,39.81,87.985,144.605,322.02,13.77,44.82,83.155,40.34,54.665,40.27,45.4,46.14,66.7175,112.51,110.85,75.7733333333333,43.2066666666667,82.895,143.82,312.07,145.335,107.185,49.3925,52.6775,93.4825,72.305
Nigg - Aberdeen RI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nigg - Torry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6125,0.875,0.79,5.085,10.605,1.855,0,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.97,NA,NA,NA,NA,48.14,13.735,NA,49.2,12.81
Paisley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.925,26.29,22.625,80.59,19.045,19.63,5.455,2.1,5.28,NA,2.545,5.21,2.605,1.02,9.905,18.81,11.39,16.06,16.795,39.67,97.74,93.99,100.42,53.995,46.67,6.29,137.04,NA,409.795,247.51,142.525,95.92,60.64,46.87,69.055,33.345,42.69,29.4925,56.7975,106.683333333333,46.1133333333333,55.775,49.5975,134.1925,202.91,292.44,102.855,56.43,33.3025,49.08,51.6225,35.41
Paisley - Airport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.408,5.145,NA,0.54,0.2,0.57,25.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paisley - Blackhall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.54,5.7,NA,2.265,0.15,1.27,18.2,76.415,20.515,16.57,39.04,465.745,115.595,92.525,58.59,82.23,22.715,27.945,9.215,78.415,95.75,245.76,281.86,145.63,NA,NA,51.42,NA,25.18,9.065,60.685,113.61,52.435,143.44,NA,NA,80.215,NA,NA,54.04,47.33,NA,NA,NA,NA
Paisley - Brediland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.156,0.175,NA,0,0,0.385,298.875,6.665,0.515,10.83,0.21,41.695,17.125,4.965,7.34,4.15,5.05,36.01,2.67,0,12.65,13.01,4.32,25.44,0.78,NA,111.3,NA,0,1.59,0,26.635,22.665,19.135,NA,11.38,0.945,NA,NA,0,24.93,NA,NA,NA,NA
Peebles,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,1.87,4.05,1.68,0,1.86,54.79,2.1,0,2.68,4.48,6.77,3.95,6.52,4.85,NA,3.83,7.84,26.6,4.96,0,0,2.89,NA,2.43,0.36,0.29,0,0,0,NA,0,NA,3.25,0,0,0.54,0,0,0.65,NA,5.88,7.09,33.95,NA,10.88,49.67,76.87,15.06,34.54,28.14,66.22,47.35,NA,1.22,8.89,0.05,40.97,27.88,NA,36.44,23.67,94.6,NA,NA,26.47,NA,NA,NA,52.07,40.54,52.77,36.59,65.21,NA
Penicuik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.06,1.3,8.43,2.36,31.84,7.75,2.89,0,8.58,NA,0.73,22.69,5.52,105.14,52.31,16.7,52.16,23.37,49.89,129.67,212.79,289.61,NA,49.94,NA,NA,NA,254.52,310.87,NA,210.64,NA,145.85,NA,131.24,50.2,179.21,53.47,66.23,111.98,84.14,NA,NA,134.69,NA,NA,152.59,93.07,NA,NA,42.23,NA
Persley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.145,134.26,115.1,164.285,93.18,58.93,62.84,NA,NA,NA,165.1,NA,NA,249.2,73.28
Persley - Northfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,1.31,0.035,4.105,3.22,117.68,1.81,0.64,0.225,0.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6,64.025,3.08,7.225,6.935,4.035,1.91,1.77,2.745,NA,3.61,2.055,2.685,0.515,6.51,13.105,15.94,24.055,21.365,31.31,22.045,68.25,26.72,94.19,NA,NA,77.01,NA,172.93,122.44,160.76,75.2,274.1,51.15,58.72,84.725,276.44,61.6233333333333,124.773333333333,105.65,73.445,90.16,58.3833333333333,61.205,19.95,93.73,187.06,52.23,25.5266666666667,26.2566666666667,80.015,557.505
Peterhead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.955,40.9433333333333,2.34,2.80666666666667,1.72333333333333,0.245,0.726666666666667,0.71,0.32,0.493333333333333,0.143333333333333,0.275,0,0.52,5.345,0.27,0.28,0.606666666666667,0.805,0.205,0.185,1.9,4.425,5.285,3.84,1.19,5.615,2.315,16.26,25.27,7.885,37.33,23.19,68.76,10.1,57.285,26.72,38.13,19.7,70.98,47.1,10.31,28.99,20.415,43.32,31.44,35.8,NA,203.49,NA,63.785,25.06,111.86,46.505,NA
Philipshill,0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.28,4.83,0.84,6.69,4.09,9.92,53.15,20.69,47.36,72.63,34.28,13.35,117.75,14.44,66.6266666666667,13.085,34.82,NA,78.18,31.11,53.58,46.13,61.86,26.42,12.79,13.74,8.03,9.6,9.28,5.97,7.85,8.31,4.41,8.75,NA,7.76,4.14,6.4,0.69,8.35,18.85,12.39,9.21,15.77,70.36,49.58,54.24,44.58,175.36,40.43,78.46,59.28,302.01,298.63,192.27,104.99,227.4,70.46,77.97,64.515,45.73,49.18,36.4,64.4233333333333,48.725,60.02,69.21,53.1533333333333,150.43,NA,NA,49.275,87.4366666666667,53.6266666666667,56.9766666666667,63.985,93.76
Philipshill - Hairmyres Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philipshill - Stewartfield (3606),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philipshill - Stewartfield (7801),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156666666666667,NA,NA,2.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanquhar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.575,9.29,10.125,0.995,1.605,144.255,122.83,69.935,33.32,141.23,7.735,58.425,22.495,NA,NA,NA,36.93,697.76,377.085,137.38,NA,NA,56.41,NA,9.055,6.77,8.535,NA,17.41,349.75,NA,NA,12.73,NA,NA,NA,NA,47.12,NA,18.94,NA
