,2022-02,2021-14,2021-26,2021-01,2020-45,2021-36,2022-05,2021-13,2020-50,2020-29,2021-38,2020-33,2021-50,2021-25,2021-04,2021-45,2021-33,2020-38,2021-10,2022-06,2020-53,2021-22,2021-28,2020-41,2021-07,2021-40,2020-25,2020-37,2022-03,2021-15,2021-21,2020-48,2020-46,2021-37,2021-43,2020-26,2021-39,2020-32,2021-09,2021-51,2021-24,2021-03,2021-44,2021-30,2021-11,2020-52,2020-31,2020-42,2021-06,2021-47,2021-18,2020-22,2020-36,2021-49,2021-16,2021-20,2020-49,2020-47,2021-34,2021-42,2020-27,2020-35,2021-08,2021-27,2021-52,2021-02,2020-44,2021-31,2022-04,2021-12,2020-51,2020-28,2020-30,2020-43,2021-05,2021-46,2021-19,2020-23,2021-32,2020-39,2022-01,2021-48,2021-17,2021-23,2021-29,2020-40,2021-35,2021-41,2020-24,2020-34
Banff,,,17.205,,,189.34,48.16,,,,148.53,,63.325,0.703333333333333,,21.1033333333333,,,,20.91,,0.86,18.96,,,145.94,,,37.4066666666667,0.18,0.126666666666667,,,57.44,106.206666666667,,,,,139.27,0.07,,NA,24.095,,,,,,40.26,0.36,,,8.26,0,0.19,,,73.36,49.305,,,,20.8,,,,5.41,NA,,,,,,,40.185,0.1,,,,35.94,28.785,0.22,0.83,22.59,,297.56,82.65,,
Bathgate,21.53,NA,260.42,7.96,,103.31,75.13,26.17,,,,,66.405,64.745,46.81,118.61,94.73,,8.92,83.12,,10.395,55.01,,47.435,118.35,,,56.87,1.415,4.52,,,134.84,55.94,,94.88,,23.305,186.27,0.35,0,52.54,29.965,11.015,,,,100.085,117.57,2.78,,,27.86,,4.29,,,,76.315,,,37.48,107.755,,19.88,,,30.91,5.73,39.29,,,,73.38,96.46,11.33,,,,50.52,NA,2.325,3.01,175.925,,105.42,,,
Biggar,,,,21.42,,,,NA,,,,,,,30.77,,,,68.96,,,,,,0.9,,,,,,,,,,,,,,1.97,,,0,,,0.47,,,,2.44,,,,,,,,,,,,,,0.99,,,0,,,,0.94,,,,,18.4,,,,,,,,0,,,,,,,
Blackburn,,6.52,56.305,49.4066666666667,,95.4066666666667,37.86,7.3,,,28.81,,39.47,19.995,2.06,38.435,,,4.21,32.18,,12.885,66.1,,34.08,21.53,,,47.22,2.86,6.14,,,,566.64,,3.22,,6.525,82.79,12.625,18.41,32.13,53.71,6.14,,,,19.79,18.4,2.47,,,70.13,10.53,5.59,,,,17.585,,,27.72,71.185,,20.85,,,59.6,10.27,3.68,,,,9.67,40.925,0.895,,16.48,,49.17,52.53,7.285,16.465,47.29,,327.325,46.145,,
Blackridge,32.2,87.645,41.42,4.32,,244.37,111.66,18.085,,,,,110.1,21.99,36.14,1.5,,,0.605,114.29,,11.06,3070.11,,193.73,,,,8.03,270.72,28.11,,,689.42,59.28,,NA,,14.6,NA,15.065,9.75,19.87,168.385,2.715,0.85,,,139.605,62.18,11.45,,,117.85,,17.58,,,,43.94,,,181.185,772.565,,3.44,,,18.18,5.785,2.12,,,,109.48,61.985,23.725,,,,15.41,60.5,5.94,10.74,60.58,,88.36,,,
Blackwood,,0,10.43,88.03,,NA,,4.31,,,,,172.64,11.51,24.05,53.61,141.66,,0.84,218.96,,23.03,758.99,,83.12,26.26,,,,,12.41,,,68.8,,,,,1.94,,23.9,,15.3,155.67,1.43,,,,6.21,,NA,,,16.75,,NA,,,,38.48,,,158.6,479.79,,376.18,,,,5.89,,,,,73.31,38.84,0,,,,44.99,,0.37,36.55,373.24,,323.59,,,
Blairgowrie,,3.2,11.16,,,,,15.16,,,136.74,,29.65,7.77,,62.87,19.93,,,,,2.59,141.72,,1.24,5.87,,,115.16,,NA,,,65.26,301.65,,,,0.74,NA,3.75,,147.64,52.46,59.43,,,,,292.02,0,,,18.73,,0.61,,,21.03,723.84,,,3.37,40.66,,,,36.33,,40.38,,,,,,,1.34,,15.69,,63.12,,0.49,0.75,15.99,,65.08,,,
Boness,58.53,6.315,60.99,,,339.33,34.81,2.71,,,17.24,,115.87,23.685,,23.91,,,2.06,54.89,,3.535,200.15,,19.77,13.31,,,38.4,2.85,1.195,,,32.93,172.95,,36.86,,1.4,,0.095,,28.145,38.58,12.595,,,,,43.91,0.225,,,107.81,,1.195,,,,22.025,,,50.27,61.44,,,,51.93,,5.725,,,,,,42.655,1.455,,,,163.58,,0.435,2.625,38.525,,176.92,,,
Bonnybridge,88.75,6.275,95.37,,,254.305,122.18,33.335,,,,,116.78,13.79,,55.965,,,7.695,,,16.935,34.33,,80.505,131.36,,,66.15,2.025,17.71,,,168.77,84.31,,192.75,,48.555,,4.66,,40.02,42.4,15.34,,,,,284.425,2.095,,,92.65,,2.625,,,109.325,91.91,,,51.815,117.915,,,,58.72,37.87,21.82,,,,,,52.2,9.15,,,,,247.83,0.85,6.745,66.84,,96.96,,,
Bothwellbank,,3.77,12.07,38.31,,442.94,,3.98,,,166.21,,121.79,5.67,35.67,43.43,,,5.34,68.49,,4.12,267.17,,30.42,60.88,,,,3.53,3.78,,,302.2,71.1,,,,11.67,238,8.95,44.71,32.74,81.65,9.47,,,,13.97,45.29,4.94,,,15.97,,1.59,,,,54.06,,,19.28,69.99,,70.99,,,,3.77,,,,,1.86,32.43,,,,,182.94,,0.97,3.96,28.11,,451.2,,,
Bowhouse,71.585,0,18.76,,,234.46,,0.545,,,32.555,,75.68,36.935,23.39,107.86,,,3.09,96.96,,1,44.67,,0.59,105.82,,,31.23,NA,0.415,,,177.74,157.975,,77.91,,2.63,,12.475,,143.59,,0.665,,,,6.67,50.6,0,,,34.25,,0.375,,,98.52,78.35,,,0.33,12.87,,,,,48.64,0.475,,,,,7.56,68.81,NA,,,,122.78,74.56,0.11,3.65,,,261.44,,,
Buckie,NA,,20.565,,,32.92,,,,,,,17.31,15.29,,39.25,,,,90.95,,,47.3,,,43.83,,,NA,,,,,23.11,188.455,,,,,,NA,,71.835,24.475,,,,,,39.5,,,,23.28,,,,,22.09,NA,,,,59.7,,,,,NA,,,,,,,NA,,,,,30.11,NA,,2.37,25.195,,11.24,256.02,,
Carbarns,126.773333333333,11.985,68.59,49.2,63.3233333333333,1233.16,100.93,19.845,37.45,,157.595,0,164.68,19.515,67.28,82.6866666666667,39.085,6.5525,20.075,131.88,NA,5.22,135.75,64.4033333333333,18.54,109.475,0,1.395,94.1966666666667,19.95,2.385,36.3566666666667,56.42,336.42,128.685,,171.13,0,10.08,309.07,9.885,25.09,86.7666666666667,101.33,23.4,,,28.505,41.7,77.27,2.78,0,3.84333333333333,60.37,,2.86,27.41,39.0566666666667,154.495,84.2,,5.4075,26.79,64.9,360.14,57.2,76.5925,142.445,76.3766666666667,14.55,55.61,,,58.46,103.13,64.24,3.27,,84.725,20.6,90.94,99.48,4.67,10.725,100.035,19.3,252.46,76.23,,0
Coldstream,,0,97.14,,,208.07,9.7,0,,,,,453.04,1.45,,91.13,NA,,2.255,10.04,,0.44,35.32,,2.325,19.72,,,11.56,0,0.325,,,41.43,28.73,,42.215,,38.085,,1.69,,7.63,51.89,0.555,,,,10.21,65.05,0,,,15.13,,0,,,84,29.865,,,50.29,51.09,,,,91.605,,0.35,,,,,,270.48,0.435,,116.96,,,,0.2,0,50.265,,334.155,,,
Cumnock,,2.7,69.87,,,61.94,73.32,25.31,,,,,23.83,10.69,,,,,7.22,,,12.44,25.2,,119.42,,,,,1,0.62,,,230.02,142.05,,96.36,,19.91,,9.9,,573.18,67.65,11.56,,,,,,1.22,,,115.31,,0,,,,53.13,,,53.98,272.39,,,,,35.58,17.84,,,,,,142.59,0.6,,,,210.82,28.52,0.46,11.91,16.28,,119.66,,,
Cumnock - Netherwood,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.578,,,,,,,,,,,,,,,,,,,,,,,,,9.62,,,,,,,,,,,,,,,,,,,,
Cupar,,0.44,64.46,,,150.35,NA,0.645,,,16.91,,59.77,33.145,1.38,52.195,129.18,,4.28,117.675,,2.505,20.84,,0.325,69.5,,,56.84,1.61,0,,,73.15,60.92,,50.545,,4.49,,7.2,,39.485,18.5,15.03,,,,0.72,68.79,0,,,20.7,,0.07,,,,40.665,,,7.985,NA,176.23,,,,26.31,0.505,,,,,12.015,81.59,1.515,,58.96,,152.85,93.26,0,0.235,4.21,,64.145,NA,,
Dalbeattie,NA,0,1.28,0.44,,NA,72.65,0.87,0,,21.54,,102.77,,NA,134.21,469.97,0,0.67,131.91,,0,7.93,6.29,NA,83.08,,,288.41,0,0,0,5.2,41.8,120.93,,139.68,,31.25,395.85,6.04,NA,NA,,4.2,,,14.77,3.88,120.34,NA,,,NA,,0,1,,452.39,191.46,,0,3.53,6.19,,2.13,0.7,25.91,,36.74,0,,,2.86,NA,47.7,0,,22.79,2.6,NA,64.68,0,0,38.41,23.39,173.29,123.143333333333,,0
Daldowie,92.45,5.94,22.8,355.85,,,63.5075,10.04,,,83.75,,,25.02,,13.91,59.71,,19.28,225.81,,6.16,,,103.92,41.99,,,35.705,17.74,9.82,,,188.45,40.56,,151.49,,32.26,,20.83,89.45,24.6175,70.44,13.9,,,,36.55,,6.06,,,,,6.59,,,110.01,58.19,,,16.22,131.72,,1034.92,,88.34,43.17,14.1,,,,,68.79,,2.17,,42.23,,139.52,,2.95,5.81,117.7,,76.85,58.6566666666667,,
Dalmarnock,80.27,4.17,84.305,,,349.725,11.95,NA,,,126.94,,,33.455,10.38,,150.12,,11.87,6.81,,,179.01,,56.4,91.585,,,17.05,10.76,,,,131.32,83.4,,110.045,,39.04,,19.805,,,120.76,25.6,,,,NA,,3.74,,,,,,,,126.43,38.845,,,34.69,106.1,,NA,,,NA,12.59,,,,,NA,,17.95,,32.65,,,,6.52,26.8,84.79,,388.455,60.2,,
Dalmuir,92.7025,10.61,,43.62,13.95,592.6,38.0833333333333,10.06,23.89,,118.24,,135.1325,42.09,49.03,84.57,118.54,1.46,16.245,51.38,59.03,22.31,140.36,63.08,25.7466666666667,93.97,,8.67,66.7125,12.0833333333333,12.75,21.96,27.15,88.45,62.22,,95.65,,9.615,270.49,13.84,34.56,40.215,36.375,18.1466666666667,,,17.67,34.15,115.19,3.03,0.32,4.98,100.983333333333,,6.65,30.19,32.48,106.78,47.225,0,6.43,22.52,104.045,152.285,95.2733333333333,2.73,37.92,60.15,11.72,13.52,,,36.12,35.355,113.095,22.93,,40.075,11.49,113.57,96.0933333333333,3.415,21.765,47.54,22.96,242.585,77.42,0,0.93
Dalmuir - Auchinairn (6298),329.41,0.71,112.895,,,45.1,,,,,46.73,,97.62,11.585,,86.045,171.705,,,,,12.08,111.2,,,,,,,1.375,,,,66.25,157.955,,,,,,0.545,,97.11,19.95,,,,,,10.89,0.135,,,66.59,0.29,,,,155.985,148.36,,,,60.96,,,,30.035,,,,,,,,70.36,0.52,,4.685,,288.56,,0.175,17.975,8.665,,242.295,,,
Dalmuir - Auchinairn (6330),,3.0875,48.865,,,116.43,,,,,NA,,88.155,22.13,,84.85,279.995,,,,,5.9,89.57,,,136.98,,,,4.88,,,,436.92,135.84,,,,,,31.315,,17.39,37.525,,,,,,39.08,1.51,,,5.82,3.27,,,,190.26,NA,,,,60.91,,,,8.015,,,,,,,,29.305,1.07,,11.175,,54.48,,0.57,20.17,43.865,,150.15,,,
Dalmuir - Clydebank,,2.045,144.425,,,,,,,,,,,45.065,,,,,,,,42.38,32.34,,,,,,,7.825,,,,,,,,,,,3.05,,,,,,,,,,0.09,,,,,,,,,,,,,51.7,,,,,,,,,,,,,0,,11.11,,,,1.345,3.465,38.5,,,,,
Dalmuir - Minerva St,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmuir - SECC,,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,NA,,,,,,,,NA,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,,
Dalscone,,NA,,NA,,,,NA,0,,,0,,,NA,,,0.22,1.51,,,,,4.81,NA,,,0.46,,NA,,3.41,,,,,,,0.69,,,NA,,,1.74,,,2.59,NA,,,,,,,,1.55,2.74,,,,0,NA,,,44.86,1.81,,,4.93,2.97,,,,NA,,,,,0.39,,,0,,,5.07,,,,0
Denny,,121.515,31.77,,,1.565,9.8,67.395,,,87.06,,106.675,12.07,,25.28,,,10.16,17.09,,1.335,51.53,,23.65,148.895,,,21.69,17.44,4.36,,,14.96,24.79,,48.71,,13.35,,21.115,,34.355,33.81,47.88,,,,,114.785,3.065,,,139.77,,18.035,,,36.61,40.78,,,13.555,78.18,,,,NA,,41.065,,,,,,139.305,3.7,,,,112.51,66.89,7.945,0.95,45.51,,3.26,94.29,,
Dunbar,161.18,1.1,62.24,,,,,0.48,,,,,73.3,22.15,,113.78,,,12.57,30.08,,NA,268.06,,0.8,33.3,,,44.04,0,3.23,,,68.26,,,28.43,,17.99,,4.39,,41.39,17.6,3.48,,,,,123.25,0,,,140.13,,0,,,74.62,9.3,,,7.07,158.76,,,,,28.56,0.86,,,,,,NA,0,,,,,,0,16.45,52.02,,165.61,14.27,,
Dunblane,53.92,2.075,139.92,,,96.91,18.03,0.31,,,97.085,,110.665,58.055,,42.12,89.89,,,68.43,,4.58,40.54,,,157.98,,,,0.765,41.99,,,127.4,193.455,,145.32,,,,10448.3,,51.59,51.97,,,,,,205.28,2.11,,,24.5,,0.96,,,44.77,159.305,,,,125.08,,,,24.11,,,,,,,,173.495,1.03,,,,213.055,,3.02,16.445,27.84,,88.895,,,
Dunfermline,87.6066666666667,5.67,89.32,41.99,16.08,591.24,68.44,3.59,19.62,,64.18,25.37,115.516666666667,34.96,3.18,75.89,61.18,1.46,9.345,160.59,,1.48,147.02,9.21,18.86,47.025,,0.325,59.52,,4.81,,22.51,166.31,108.955,,81.145,0.81,13.09,152.38,7.85,23.9,78.84,76.995,6.115,,0,12.89,8.67,48.025,1.405,0,0.1275,111.52,,1.93,25.1,5.87,117.145,66.71,,0.535,13.505,126.67,128.79,28.46,5.38,48.785,55.67,5.57,32.83,,,5.04,19.19,161.463333333333,6.82,0,23.445,3.12,85.63,NA,5.21,5.32,72.135,3.05,139.73,62.1366666666667,0,1.19
Dunnswood,41.78,4.47,84.11,67.96,,719.15,,1.61,,,59.9,,11.96,7.74,,68.6,,,14.89,115.3,,3.48,,,,,,,,8.3,2.18,,,120.27,141.92,,,,19.71,,,36.48,54.35,81.24,14.7,,,,,36.77,,,,NA,,0.56,,,,38.21,,,2.97,211.35,,61.95,,,,3.45,,,,,71.67,77.87,,,11.42,,,,,9.21,61.9,,341.96,,,
Dunnswood - Carrickstone,,8.76,,,,,,1.288,,,,,,,,,,,,,,,,,,,,,,0.865,,,,,,,,,,,,,,,,,,,,,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunoon,,,,,,,57.275,,,,,,122.125,,,,,,,13.91,,,,,,,,,28.605,,,,,,,,,,,,,,,,,,,,,,,,,43.96,,,,,,,,,,,,,,,18.08,,,,,,,,,,,,29.56,35.1,,,,,,,,
Duns,17.43,0,19.74,,,12.155,18.27,0.18,,,19.52,,50.93,0.21,,94.07,62.81,,0.715,37.46,,0.335,13.52,,2.085,29.6,,,27.06,0,0,,,42.32,85.755,,6.48,,0.725,,4.7,,73.885,2.9,0,,,,0.49,34.84,1.39,,,161.49,,0,,,8.95,13.48,,,2.155,9.585,,,,,3.36,0,,,,,,25.205,0.19,,,,,,0,0.24,15.535,,23.51,,,
East Calder,91.7166666666667,18.83,18.485,37.64,,154.015,86.3033333333333,27.3,,,66.42,,202.245,15.72,70.55,56.7833333333333,89.675,,27.16,91.56,,4.615,42.39,,37.42,261.26,,,47.5433333333333,8.36,8.26,,,140.23,87.39,,173.555,,18.86,118.18,4.435,16.38,136.19,52.41,53,22.84,,,46.44,27.23,1.59,,,96.12,,0.965,,,,92.045,,,31.175,76.385,273.72,17.22,,22.25,53.21,20.59,102.32,,,,19.37,42.5966666666667,1.53,,18.2,,111.965,122.54,0.605,4.75,34.79,,102.845,116.885,,
Ellon,33.84,,5.135,,,216.93,,,,,53.895,,32.32,4.175,,176.935,32.22,,,,,0.075,18.91,,,121.33,,,28.99,4.1,2.14,,,,,,25.23,,,,0.27,,70.65,32.705,,,,,,151.12,0.21,,,82.09,,0,,,,44.09,,,,11.2,,,,23.91,,,,,,,,72.26,0.45,,,,,,0.71,0,10.05,,122.95,,,
Erskine,59.0333333333333,,,,,,46.97,,,,,,123.21,,,46.9733333333333,,,,21.155,,,,,,,,,23.08,,,,,,,,,,,236.25,,,25.07,,,,,,,46.5166666666667,,,,75.5933333333333,,,,,,,,,,,162.32,,,,27.1966666666667,,,,,,,56.81,,,,,108.293333333333,81.015,,,,,,,,
Eyemouth,37.85,0.12,,,,7.495,,1.785,,,,,33.26,,,55.915,,,,45.135,,0,,,,81.61,,,,0.115,0,,,28.515,131.21,,,,,,,,45.14,,,,,,,14.42,3.275,,,31.985,,0.505,,,,22.65,,,,,,,,36.21,,0.935,,,,,,109.02,7.485,,3.6,,102.13,,0.225,0,,,98.9,,,
Fairlie,,0,3.22,,,30.44,11.29,0.445,,,,,61.955,1.665,,23.805,4.055,,0.845,,,0.3,5.53,,2.7,0.02,,,,0,0.225,,,108.56,9.68,,9.15,,0.89,,0.255,,46.275,0.525,2.235,,,,,245.835,4.07,,,,,0,,,17.275,11.955,,,2.135,2.195,,,,4.72,,0,,,,,,9.12,0,,0,,,,0.23,1.365,9.79,,15.815,,,
Falkirk,141.75,8.21,114.48,31.62,,244.53,46.9866666666667,23.35,3.64,,71.44,,197.07,19.14,30.07,50.8233333333333,41.71,,30.035,79.71,,4.54,75.61,34.48,85.67,82.63,,1.86,75.3933333333333,7.295,5.33,,,153.1,146.365,,132.08,,4.92,231.15,13.87,21.64,48.17,33.39,13.93,,,26.51,243.34,73.18,0.835,,2.3,101.663333333333,,12.825,47.93,15.7,85.45,51.67,,0,46.05,119.37,,96.03,4.56,15.2,42.1733333333333,24.26,25.92,,,20.81,69.85,82.815,6.245,0,51.63,3.32,118.53,277.43,2.425,15.125,41.635,,247.93,95.6033333333333,0,0
Fauldhouse,,NA,112.345,30.39,,330.17,84.47,2.08,,,143.46,,108.29,76.53,2.64,53.35,94.23,,10.14,124.42,2.57,14.38,,,4.47,,,,46.44,0.245,0.83,,,243.79,273.66,,61.17,,23.68,,36.925,18.08,38.37,50.28,16.815,2.2,,,,174.48,5.05,,,42.87,,0,,,389.78,61.865,,,18.49,315.46,,35.28,,7.71,,2.26,33.27,,,,18.205,80.405,1.155,,,,63.29,,1.485,9.13,113.13,,548.1,,,
Forfar,104.4,2.03,17.995,,,187.97,81.01,16.68,,,40.87,,43.56,13.53,,62.55,17.48,,,,,2.57,113.105,,,30.43,,,,6.965,2.41,,,148.79,123.745,,,,,59.56,26.48,,30.61,15.81,5.77,,,,,169.87,0.53,,,48.46,,1.725,,,54.475,152.64,,,,54.53,,,,19.035,52.58,7.145,,,,,,129.74,0.82,,5.4,,177.5,53.02,0.555,31.98,56.355,,70.425,,,
Forfar - Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,1.91333333333333,,,,,,,,,,,,,,,,,,,,,,0.576666666666667,,,,,,0,,,,,,,
Forres,127.62,,107.26,,,,,,,,,,166.255,1.68,,,10.03,,,55.49,,4.895,,,,27.98,,,62.58,0.68,11.21,,,9.35,,,46.06,,,,18.535,,,,,,,,,141.94,0,,,24.5,,1.2,,,36.17,151.545,,,,52.875,,,,33.3566666666667,,,,,,,,167.905,0.39,,13.85,,,96.79,0,2.57,,,17.19,100.915,,
Fort William,123.19,0,19.33,0.2,1.41,535.77,NA,0,1.22,,39.48,0,,21.74,0,47.48,,,0.765,NA,,22.83,67.04,,0,27.295,,0,28.15,0,9.17,,,63.925,72.465,,71.095,0.51,8.075,44.56,6.68,1.13,47.84,50.71,1.29,,,9.14,2.7,6.725,0.075,,0.61,36.42,0,0,1.93,0,139.6,21.44,,0.43,,,,416.18,179.35,60.83,28.06,1.065,,,,,0.61,52.595,0.23,,63.115,31.44,33.67,13.14,0.16,20.63,46.45,109.71,92.98,73.25,,0
Fraserburgh,,0.506666666666667,34.09,,,103.055,39.975,4.15666666666667,,,57.05,,19.28,5.855,38.975,74.495,26.89,,40.1833333333333,95.5,,0.07,81.87,,24.17,26.71,,,95.48,0.715,0.11,,,56.87,301.035,,48.28,,22.1466666666667,,1.5,,237.47,73.46,9.61666666666667,,,,9.13,42.12,0,,,29.54,7.25,0,,,35.51,105.6,,,20.585,70.08,338.3,,,,14.88,4.34333333333333,,,,,19.6866666666667,33.65,0.09,,,,,60.25,1.46,0.07,54.77,,212.79,84.065,,
Galashiels,25.075,,1.94,4.84,24.67,52.34,39.825,0.39,0,,39.43,,36,33.03,50.01,24.165,145.64,0,0.59,117.92,,0,,5.18,1,16.98,,0,24.535,0.56,1.06,13.63,13.69,16.69,160.13,,19.56,,0.62,20.56,4.85,2.01,38.415,11.4,0.64,,,2.69,,253.03,0,,0,10.695,,0.14,0.64,1.36,249.25,51.92,0,0,0,18.7,157.03,21.57,1.61,11.38,NA,1.8,2.78,,,1.81,2.42,105.21,0,0,30.92,0.28,41.87,,0.14,1.36,14.22,,107.77,22.65,,0
Girvan,,4.74,32.05,,,646.78,40.78,1.48,,,48.2,,83.16,2,,37.14,0,,2.71,43.02,,1.75,,,6.25,NA,,,,3.45,0,,,260.76,72.71,,106.91,,0,69.28,6.23,,44.13,73.42,0.53,,,,,51.14,0,,,172.51,,0,,,,4.69,,,2.47,NA,234.62,,,,,0,,,,,,102.62,NA,,,,75.29,,2.53,3.16,84.86,,,NA,,
