,Site,Year,Week,x
543,Fort William,2022,04,38966.5
544,Fraserburgh,2022,04,29615
545,Galashiels,2022,04,57757
546,Hamilton,2022,04,141425
547,Hatton,2022,04,137240.666666667
548,Hatton - Fintry East,2022,04,42516
549,Hatton - Fintry North,2022,04,NA
550,Hatton - Fintry West,2022,04,64166
551,Hawick,2022,04,93351
552,Huntly,2022,04,26139
553,Inverclyde,2022,04,45206.3333333333
554,Inverurie,2022,04,107369
555,Jedburgh,2022,04,22216
556,Kelso,2022,04,71134
557,Kinneil,2022,04,153534
558,Kirkcaldy,2022,04,147506
559,Langholm,2022,04,27000
560,Largs,2022,04,NA
561,Levenmouth,2022,04,39867
562,Loch Ryan,2022,04,30605
563,Lockerbie,2022,04,115649
564,Lossiemouth,2022,04,NA
565,Meadowhead,2022,04,42428
566,Meadowhead - Kilmarnock HMP,2022,04,NA
567,Montrose,2022,04,28718
568,Neilston,2022,04,16882
569,Newburgh,2022,04,161797
570,Nigg,2022,04,147813.25
571,Paisley,2022,04,87097.5
572,Peebles,2022,04,46297
573,Perth,2022,04,62773
574,Peterhead,2022,04,253207
575,Philipshill,2022,04,135096.666666667
576,Seafield,2022,04,146491.75
577,Seafield - Restalrig,2022,04,NA
578,Shieldhall,2022,04,92032.5
579,Shieldhall - Pollockshields West,2022,04,108578
580,Springfield,2022,04,30488
581,Stevenston,2022,04,28133.6666666667
582,Stirling,2022,04,36520.5
583,Stirling - University,2022,04,16499
584,Swinstie,2022,04,57906
585,Troqueer,2022,04,127405
586,Winchburgh,2022,04,NA
587,Allanfearn,2021,05,36219.3333333333
588,Allers,2021,05,44506
589,Alloa,2021,05,55412.5
590,Annan,2021,05,5982
591,Armadale,2021,05,54461
592,Bathgate,2021,05,72119
593,Biggar,2021,05,20530
594,Blackburn,2021,05,22147
595,Blackridge,2021,05,97715
596,Blackwood,2021,05,98253
597,Bothwellbank,2021,05,2885
598,Bowhouse,2021,05,10342
599,Carbarns,2021,05,168393
600,Cupar,2021,05,5851.5
601,Dalbeattie,2021,05,NA
602,Daldowie,2021,05,50893
603,Dalmarnock,2021,05,NA
604,Dalmuir,2021,05,59552.5
605,Dalscone,2021,05,NA
606,Dunfermline,2021,05,18697
607,Dunnswood,2021,05,148789
608,East Calder,2021,05,42573
609,Falkirk,2021,05,72551
610,Fauldhouse,2021,05,23382.5
611,Fort William,2021,05,954
612,Fraserburgh,2021,05,34937.6666666667
613,Galashiels,2021,05,1381
614,Guardbridge,2021,05,0
615,Hamilton,2021,05,78899
616,Harthill,2021,05,7342
617,Hatton,2021,05,58695
618,Hawick,2021,05,5439
619,Helensburgh,2021,05,8180
620,Inverclyde,2021,05,15852
621,Ironmill Bay,2021,05,6896
622,Kincardine,2021,05,318594
623,Kirkcaldy,2021,05,12091
624,Kirkwall,2021,05,0
625,Lanark,2021,05,18103
626,Lerwick,2021,05,0
627,Lesmahagow,2021,05,60888
628,Levenmouth,2021,05,30549
629,Linlithgow,2021,05,5576.5
630,Lockerbie,2021,05,1047.5
631,Lossiemouth,2021,05,NA
632,Mauldslie,2021,05,108092
633,Maybole,2021,05,2116
634,Meadowhead,2021,05,46507.3333333333
635,Nairn,2021,05,1697
636,New Cumnock,2021,05,482346
637,Newburgh,2021,05,731
638,Newport & Tayport,2021,05,3013
639,Nigg,2021,05,23778.3333333333
640,Peebles,2021,05,0
641,Peterhead,2021,05,71968
642,Philipshill,2021,05,57775
643,Seafield,2021,05,26853
644,Shieldhall,2021,05,84951
645,Shotts,2021,05,70955
646,Skellyton,2021,05,174325
647,Springfield,2021,05,1227
648,St Andrews,2021,05,2285.5
649,Stirling,2021,05,82628
650,Stonehouse,2021,05,4513
651,Stornoway,2021,05,24618
652,Strathaven,2021,05,5736
653,Swinstie,2021,05,24775
654,Whitburn,2021,05,38975
655,Winchburgh,2021,05,3835.5
656,Allanfearn,2022,05,54960
657,Alloa,2022,05,110314.5
658,Alness,2022,05,NA
659,Alva,2022,05,752859
660,Annan,2022,05,48858
661,Ardoch,2022,05,88205.5
662,Armadale,2022,05,398368
663,Aviemore,2022,05,39662
664,Banchory,2022,05,239706
665,Banff,2022,05,123349
666,Bathgate,2022,05,139059.5
667,Blackburn,2022,05,93510
668,Blackridge,2022,05,139909.5
669,Boness,2022,05,54322
670,Bonnybridge,2022,05,165262
671,Carbarns,2022,05,237220
672,Coldstream,2022,05,17720
673,Cumnock,2022,05,64678
674,Cupar,2022,05,NA
675,Dalbeattie,2022,05,100502
676,Daldowie,2022,05,147411
677,Dalmarnock,2022,05,23392.5
678,Dalmuir,2022,05,63479.6666666667
679,Denny,2022,05,13298
680,Dunblane,2022,05,25340
681,Dunfermline,2022,05,216823
682,Dunoon,2022,05,41248.5
683,Duns,2022,05,26862
684,East Calder,2022,05,201839.666666667
685,Erskine,2022,05,86299.3333333333
686,Fairlie,2022,05,8673
687,Falkirk,2022,05,57703.3333333333
688,Fauldhouse,2022,05,118389
689,Forfar,2022,05,136733
690,Fort William,2022,05,39469
691,Fraserburgh,2022,05,86263
692,Galashiels,2022,05,95523
693,Girvan,2022,05,43745
694,Guardbridge,2022,05,62226.5
695,Hamilton,2022,05,206481.333333333
696,Hatton,2022,05,211832.5
697,Hatton - Fintry North,2022,05,128464
698,Hatton - Fintry West,2022,05,346153
699,Hawick,2022,05,27407
700,Helensburgh,2022,05,66648.5
701,Huntly,2022,05,22097
702,Inverclyde,2022,05,54320
703,Inverurie,2022,05,NA
704,Ironmill Bay,2022,05,95011
705,Jedburgh,2022,05,27377.5
706,Kelso,2022,05,50414
707,Kinneil,2022,05,181882
708,Kirkcaldy,2022,05,151105
709,Kirkwall,2022,05,42863
710,Lanark,2022,05,38984
711,Langholm,2022,05,52783
712,Largs,2022,05,0
713,Lerwick,2022,05,NA
714,Levenmouth,2022,05,58393
715,Linlithgow,2022,05,89473
716,Loch Ryan,2022,05,13984.5
717,Lockerbie,2022,05,43662.5
718,Lossiemouth,2022,05,71411
719,Maybole,2022,05,185725
720,Meadowhead,2022,05,46053
721,Meadowhead - Kilmarnock HMP,2022,05,1694
722,Montrose,2022,05,29710
723,Neilston,2022,05,27802
724,New Cumnock,2022,05,25373
725,Newbridge,2022,05,153023
726,Newburgh,2022,05,223137
727,Newport & Tayport,2022,05,55625
728,Newtown St Boswell,2022,05,37982
729,Nigg,2022,05,263102
730,Oban,2022,05,34709
731,Paisley,2022,05,74941.25
732,Peebles,2022,05,83538
733,Penicuik,2022,05,84586
734,Persley,2022,05,610173
735,Perth,2022,05,158858
736,Peterhead,2022,05,74451
737,Philipshill,2022,05,145862
738,Sanquhar,2022,05,18526
739,Seafield,2022,05,137461.75
740,Selkirk,2022,05,39468.5
741,Shieldhall,2022,05,74219.5
742,Shieldhall - Pollockshields West,2022,05,33537
743,Shotts,2022,05,162128
744,Springfield,2022,05,63841
745,St Andrews,2022,05,97213
746,Stevenston,2022,05,43693.6666666667
747,Stevenston - Stevenston East,2022,05,NA
748,Stevenston - Stevenston West,2022,05,30307
749,Stirling,2022,05,29479
750,Strathaven,2022,05,41541
751,Thurso,2022,05,39322
752,Tillicoultry,2022,05,275251.5
753,Troqueer,2022,05,124249
754,Whitburn,2022,05,136592
755,Wick,2022,05,80742
756,Winchburgh,2022,05,307893
757,Allanfearn,2021,06,58960
758,Allers,2021,06,12350
759,Alloa,2021,06,57188
760,Annan,2021,06,26815
761,Armadale,2021,06,112475
762,Bathgate,2021,06,61679.5
763,Biggar,2021,06,1277
764,Blackburn,2021,06,43062
765,Blackridge,2021,06,52270
766,Blackwood,2021,06,9784
767,Bothwellbank,2021,06,20710
768,Bowhouse,2021,06,10247.5
769,Carbarns,2021,06,72778
770,Coldstream,2021,06,23085.5
771,Cupar,2021,06,827.5
772,Dalbeattie,2021,06,2918
773,Daldowie,2021,06,46759
774,Dalmarnock,2021,06,NA
775,Dalmuir,2021,06,70175.3333333333
776,Dalscone,2021,06,NA
777,Dunfermline,2021,06,13021
778,Duns,2021,06,1426
779,East Calder,2021,06,118691
780,Falkirk,2021,06,212565
781,Fort William,2021,06,5581
782,Fraserburgh,2021,06,19307
783,Guardbridge,2021,06,0
784,Hamilton,2021,06,28703
785,Harthill,2021,06,143407
786,Hatton,2021,06,16027.3333333333
787,Hawick,2021,06,690
788,Helensburgh,2021,06,230990
789,Inverclyde,2021,06,17942
790,Ironmill Bay,2021,06,1189
791,Kincardine,2021,06,231346
792,Kirkcaldy,2021,06,16041
793,Kirkwall,2021,06,0
794,Lanark,2021,06,74165
795,Largs,2021,06,18892
796,Lerwick,2021,06,0
797,Lesmahagow,2021,06,24175
798,Levenmouth,2021,06,16305
799,Linlithgow,2021,06,8655.5
800,Lockerbie,2021,06,1521.5
801,Lossiemouth,2021,06,9993.5
802,Mauldslie,2021,06,16401
803,Maybole,2021,06,20933
804,Meadowhead,2021,06,107134.333333333
805,Muirkirk,2021,06,29818.5
806,Nairn,2021,06,115707
807,New Cumnock,2021,06,25722
808,Newburgh,2021,06,0
809,Newport & Tayport,2021,06,918
810,Newtown St Boswell,2021,06,1773
811,Nigg,2021,06,17299.6666666667
812,Peebles,2021,06,2821
813,Peterhead,2021,06,3803.66666666667
814,Philipshill,2021,06,20998
815,Seafield,2021,06,14852
816,Shieldhall,2021,06,44380.6666666667
817,Shotts,2021,06,94781
818,Skellyton,2021,06,NA
819,Springfield,2021,06,2854.5
820,St Andrews,2021,06,0
