,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,2021-09-37,2021-03-13,2020-12-50
Largs,,0,29.0310592172074,45.667049753009,,,10.9193160217061,,,,55.6038578788935,7.50945586569645,,0.753739060962435,,,,,,69.9283952685688,20.9364562363768,11.6938422095377,,,,7.72409321002918,,11.326080145233,14.8862457368722,15.5960785097429,,,,,,,,,,48.6819925610623,,,,,,,95.6058336438297,11.8467016996135,22.8407324075251,1.2044229545686,,46.0173179621391,,17.1055017084718,,0,,,44.2848253765854,20.7004880158171,,,60.3368257476565,NA,,,,0.318931141216582,4.93194741962094,,14.4845410568695,18.7529940566364,1.19213389320028,22.9917372131388,,,,,,,14.5231094901447,,0.886748381140037,,63.8661378573093,71.1028056592947,29.9372563826047,,,0,,,14.9255732701041,75.7386974383972,1.34785159526348,
Lerwick,0.658989869904242,0.304531552791609,0,52.5117762707867,0,,8.58458590972838,1.78246929089424,,1.71855749344294,5.5722972523687,1.33841267829596,,1.22848375190534,3.26351418459998,,0,0,,NA,NA,0,,,0,0.975052472181847,0,0.661949904970249,NA,0,0,,,,,,,1.38775858666198,0,5.87555254382342,5.5028675106367,,,1.18890321317743,1.10456983679619,0,NA,11.3242504354324,,0,,NA,0,NA,0,NA,0.908002291905193,0,1.04808360001189,0,,,7.54561447453759,0,0,17.2575414782387,,0.112770993067482,0,3.4064125022907,0,11.0136841269692,0,0,4.12859981166375,0.222942440578559,,0,0,1.62198015886039,4.41707805278744,0,NA,1.56861625399207,NA,NA,1.39967039482469,,,0,0,,0,13.0974667665974,0,0
Lesmahagow,,0,,,,,33.0861654646327,,,,43.5422374995007,58.3238213864036,,0.834878776617284,,,9.28380811962975,,,97.1263690295104,499.438681191301,34.0098869429274,,,,4.51741726336491,,NA,83.9840722790994,,,,,,,,,,,,37.2401080097385,,,,,,,29.8771362394345,,2.83544059055681,,0,,0,,0.996168193662954,,,36.6570437630628,0,,,52.5975744835777,NA,,,,0,677.864758680534,125.251829932512,3.46829249384015,104.899289012183,3.49081105916796,42.1853536290563,,,,,,305.136240345223,134.712595297584,127.351026476501,0.289886734731299,,,73.5210781504886,3.04947948018865,,,0,,0,22.4824952106367,97.7220089142787,2.79284542517785,
Levenmouth,24.3465636525343,3.14908758639146,,59.2566795945653,,,,21.8599484624379,0,,111.981784871679,51.088081155195,54.1979301731587,2.01990170615489,15.2944136197381,,,6.86426055319479,0,107.08316728991,6.5596140603388,5.64335401535206,72.9060052518704,0,17.2599457712707,4.34887134862079,0.32631299238478,,37.4065436408376,2.19538881354691,2.5604010658321,,27.4020134386073,,0,222.077138100869,82.7110990305625,48.3910922026141,34.0875368965874,,37.0032962283294,3.58934977477566,0,,,27.914118556503,84.1699399984206,57.148462754638,,7.6875173770765,,78.9956562494503,25.8269159225231,12.0180334719942,0,1.71205868252542,,0.208755560228218,51.8143670204498,7.57008857946601,0.644318815643683,,,9.68129381599811,21.2386695624766,32.7344217697283,0,4.58860969216339,12.0593012156556,NA,,79.7614582891794,2.05008387380252,6.30045397466735,,27.0519172707575,0,2.77357965292271,0,,41.9163348126537,25.7807357932381,3.74059969390107,52.4595547931344,30.0895010602492,NA,34.5822528216667,,,3.87405785938644,0.705563046505745,6.34661242725234,15.1422023965336,,,15.34896531047
Linlithgow,,12.3469736367893,23.8582750561867,135.47454205291,,,32.098878845813,,,,105.062385291796,51.3124378854982,,0.79936948368803,21.0366523095867,,13.6500053621699,,,118.484312229301,2.41874110364826,6.07004877746416,,,,2.86520470796069,,154.259483038255,122.514189651314,1.0187049514248,,,,,,455.859227192441,27.4641015039376,,,178.827182227601,17.44605655847,,,0.186421001523877,52.9128730673449,,43.6735494049502,31.4883121429921,73.7592067207816,2.08273158170937,6.46629362700503,168.083958834807,,11.3990452815197,,0.371248144661017,,,,0.866688245082246,,,207.705304749016,2.57117349899644,15.8422344230122,,,0.91312221344412,4.62704670347949,,63.8048057532176,73.9687956212123,0.243504356204913,0.383605807343349,,44.0204946486106,,,,96.1352873698389,102.683585790698,5.25531149685347,0.130788857733716,7.50965235917984,,211.60190970492,20.6931730474781,,147.647535681003,13.4807587834514,,1.85038867291223,6.75177169696587,230.806143807226,8.53217434969426,
Loch Ryan,,0.500075178085045,16.9869145988569,96.7419305736599,,,21.2585039039345,,,64.5780463667896,21.8186271132408,37.6277981006543,,,,,16.3518862433239,,,,,,,,,0.91964224081884,,,16.7576367848619,,,,,,,,,,,23.4410720521557,,,,,16.0602160326284,,26.9201144534173,28.1608200055181,236.520660312025,,,8.78178257398914,,2.57496468554336,,,11.3949955708769,,NA,,,,148.850326843918,,,,,0,,,29.7086355195194,15.7951898047787,0.69004358240796,,,,,,,100.676339978854,4.27116742992793,,,,,,,,,,,,,72.3479273362383,,
Lockerbie,1.90687362434469,0.209097800825283,111.636179283305,25.2040079598766,,,,2.60062705582449,,84.4227416652144,42.4303660466885,39.0744310032375,,0,4.39943867839346,,67.8671442330234,0.207526182503994,,NA,0,1.53995273872178,,,122.349856406097,0.165794386132267,4.48037985101163,27.3765702203301,7.42750249578856,0.092409974335904,0.151223750930232,,1.43474888184787,,,171.613144469897,11.0376150656064,44.7957881426901,34.6027511730552,31.5256627833833,7.37208174462452,0.406438095166032,,,25.9507415890128,0.216330705195977,152.619996080458,11.3333121099856,62.2959347059358,0.482677989429445,,10.7113033926363,7.07737068993695,0,0,0,20.7624358541223,0,43.2270427400379,0,0.073202351494186,,152.66944099482,0,4.13892959205713,3.78502671479389,,0,0,,2.05911276372635,83.3090041586909,0,0,58.0560471430064,9.89781063333373,,0,,,2.51610932554624,1.93656529356843,0,30.1400798857275,NA,,,,,0,0,,1.95414543918655,95.0374157817888,0,1.09105920471712
Lossiemouth,,0,NA,NA,3.00157036262031,,27.2123858017342,,,22.4618720684668,NA,18.8981374816998,,4.44200789993105,,,24.6399549637555,,,64.8677510415855,1.41836408200354,1.53110964260547,,,,0.799421486522403,,NA,27.6121213059266,3.46729099294506,,,,,,,,50.128362116705,,27.4644309347473,,,,0,12.4120542420601,,NA,21.6263470621731,85.7050017328942,0.395494439642891,,NA,,1.192765880647,,1.24781757603562,14.4371543860838,,NA,3.4270355854192,,,34.7514561943547,2.17951179350272,,,,0.88178538010949,5.06119986753759,,31.827849322987,NA,3.2536162938361,1.70337430170632,,,,,,89.9622399053025,20.9080386488636,NA,10.3071141816968,,,NA,2.45055027631299,,,2.02655176542325,,1.55632911213645,3.34612463742856,54.5026141731472,4.361455774525,
Mauldslie,,4.81571344180083,,,,,55.6139073951342,,,199.316207300961,53.6304680263312,42.0998952830805,,6.64486482780766,75.5303089363459,,,,,28.403483597876,55.5636179205695,8.60299780831906,,,,48.9647763244136,,88.7635319289772,75.3731954192519,,,,,,,494.450954065591,,,,,239.13215440335,,,,,,,91.1111396855469,,5.94747789387292,,,,31.6727449662061,,5.79913663436372,,,122.718785058677,9.49955621732174,,,,10.7559805426574,,,,1.08552252616844,10.911254000772,,68.9467660427574,59.3658928919037,4.0950152804715,16.9618334553772,,26.1712955831858,,,,447.097844528721,,77.9450143449981,2.4332723446928,10.7089412350511,,,9.96846507413962,,,10.3385753924136,,9.42476420199567,10.2470992511291,,,
Maybole,,3.46063299976196,,181.569801582151,,,,,,,,35.1127449866419,,0.63093443069868,13.7403514214543,,,,,188.229798144423,0.703364032377521,0,,,,18.3161517479568,,,,0.248431822067505,,,,,,245.692512144302,,,,78.1782382518033,10.0765784761945,,,,,,,6.97480762800281,,21.1739790380155,,129.509428294606,,2.94090566718979,,0,,,216.170324440707,0,,,233.358519399935,0,,,,0,0,,2.6835864805585,,0,0.318545940640777,,NA,,,,249.488697221779,29.3872386673954,1.80344254667987,0,,,,53.9592149050524,,,0.255656943430227,,,30.8291767285291,354.135973494157,1.13501667407599,
Meadowhead,,29.2804625420403,72.7206519721875,62.0346611573036,3.38489134880352,,30.2018388668121,20.7649586071201,,125.534847831102,77.285936366956,27.3087452863305,59.1091588360735,3.83568324589162,34.8020711108218,,81.3856877605885,,,62.3376703366159,32.2499243304836,15.4575419819671,127.918665340957,,51.3031154707844,12.3692019997834,0,39.1419402289688,47.1134172807661,4.19077824800418,3.7927003797327,,36.8109727551828,,0,111.193779896086,,60.8733261421419,23.6537567183501,84.2053787221701,59.7873628007051,21.5030506860638,,11.963890493254,34.8465000655347,3.37985570334455,55.3594014640468,36.0164093938053,223.090287537607,9.68944719687657,,61.8829732125977,18.9446845106067,41.6195037399766,1.55067897666861,8.79710977146244,28.5228054283056,0,58.5772964359733,9.09902056645475,0.544457296531516,,143.947204016816,11.31893015285,35.0015210620628,5.90990629019428,0,15.0638566229045,13.0795885675316,201.004902139213,61.9401602194253,48.9515623037017,4.4200017894115,12.0640813818992,175.624001897784,64.3196765495223,,26.0881977597489,,361.904029692573,26.8565304704832,41.0346538577818,2.8038882547754,28.8334287227067,79.5248171062272,59.8508003079411,21.7253152720275,,70.4887577530796,11.2436939584834,,7.59348791257603,69.9613253818511,213.043976768143,11.1038099408389,
Meadowhead - Kilmarnock HMP,,0.99882330933337,367.470405664019,81.6800260951322,,,16.8788527959918,,,6.66491357158139,2.60372805991835,20.7286322478731,,2.65515573901007,,,1.0662074920027,,,0,,,,,,2.61005701739505,,8.68978440647511,25.3164024613189,,,,,,,,5.377848908445,23.8552749202537,,NA,,,,0.650876570013797,5.33397700660871,,4.81178358626736,28.4053780002447,24.9130711289291,,,25.2197243774164,,0.283342556160907,,1.4886757563981,,,68.1761704547879,,,,103.523928808772,,,,,2.81106381691811,,,NA,5.16060573460974,,,NA,,,,,47.4302546430251,42.8872072332099,,,,,8.26728537069441,162.376685832536,,2445.44139115975,4.09668451278329,,,,,,
Meadowhead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrose,,,,173.849099772182,,,,,,,16.2973620950153,,,,,,,,,34.3133969295628,,,,,,,,,93.8090216802576,,,,,,,85.9972079469967,,,,,,,,,,,46.2179640505866,,,,,30.9233584640694,,,,,,,50.1397982906755,,,,,,,,,,,,,185.80588794782,,,,,,,,,,,,,65.9082498898906,109.606331431951,,,,,,,,,,
Muirkirk,,,,,,,,,,,,,,,,,,,,,3.39189403214796,2.95628317157818,,,,,,,,82.2005205746404,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12.5609762807422,,,,8.70666753654068,,,,,4.85300103285256,,,,0.267595993201638,6.80228956263031,,,,,,,,,0.598167389863145,,,,,,,,,,36.308509666305,,0,
Nairn,0,4.80683199653154,47.3123847358336,,,,,,,98.0911483647104,15.3036096130708,84.0701901795707,,0.361241016059894,2.31041496624524,,,9.42187536340425,,,2.61831202077189,NA,,0,0.149829348026324,0.598998544989171,0,21.7483948750077,NA,0,0,,2.78932367587933,,,,24.7672552545735,95.3196913057509,0.931349768831795,,14.3160124493662,,,,7.79627621921557,0,24.5478130555335,4.95729213622783,31.4393152518916,2.28525245792973,,NA,1.23366825608891,24.811729370454,0,NA,23.6249057770715,0,40.3228768233297,2.82080351749722,0,,24.6776096207216,0.460353971030459,0,3.70010470101971,,0,1.27496524012538,,10.0678954192182,16.8203057941863,0,0.20364743319008,7.98350143280922,7.31726525026204,,4.18687686527156,,,28.6083344695272,0.843697304298691,0,NA,57.3176804065908,,,,,0.193300636025075,0,0.383989087356737,52.5391392702989,47.7119195364084,,0
