"","Site","Year","Month","Week","x"
"222","Strathaven",2021,"01","02",56.6286978083513
"223","Swinstie",2021,"01","02",61.2152534472321
"224","Troqueer",2021,"01","02",116.816096775655
"225","Whitburn",2021,"01","02",61.5576684542326
"226","Winchburgh",2021,"01","02",9.02970600865025
"227","Allanfearn",2022,"01","02",47.6974607328869
"228","Alloa",2022,"01","02",136.470548220529
"229","Aviemore",2022,"01","02",NA
"230","Bathgate",2022,"01","02",27.5855440830279
"231","Blackridge",2022,"01","02",49.595927829918
"232","Boness",2022,"01","02",58.5280197480829
"233","Bonnybridge",2022,"01","02",88.7518979369461
"234","Bowhouse",2022,"01","02",81.7634100288539
"235","Carbarns",2022,"01","02",148.675987156352
"236","Daldowie",2022,"01","02",89.864754443613
"237","Dalmarnock",2022,"01","02",68.5310191753584
"238","Dalmuir",2022,"01","02",86.0291237979145
"239","Dalmuir - Auchinairn (6298)",2022,"01","02",329.405668994928
"240","Dunbar",2022,"01","02",161.175350154054
"241","Dunblane",2022,"01","02",49.0781867829566
"242","Dunfermline",2022,"01","02",93.1694740373926
"243","Dunnswood",2022,"01","02",41.777299889366
"244","Duns",2022,"01","02",17.4275344858175
"245","East Calder",2022,"01","02",96.6325848708981
"246","Erskine",2022,"01","02",59.9012134789981
"247","Eyemouth",2022,"01","02",37.8478783830663
"248","Falkirk",2022,"01","02",155.251729640243
"249","Forfar",2022,"01","02",101.971157385028
"250","Forres",2022,"01","02",118.600828487088
"251","Fort William",2022,"01","02",123.190392006881
"252","Galashiels",2022,"01","02",7.75170668611741
"253","Guardbridge",2022,"01","02",67.5089481263802
"254","Haddington",2022,"01","02",41.7791695086192
"255","Hamilton",2022,"01","02",71.5378197253768
"256","Hatton",2022,"01","02",121.404629737478
"257","Hatton - Fintry East",2022,"01","02",NA
"258","Hatton - Fintry North",2022,"01","02",27.4182601838622
"259","Hatton - Fintry West",2022,"01","02",16.8824226382284
"260","Hawick",2022,"01","02",47.4318336642084
"261","Inverclyde",2022,"01","02",47.0008836668746
"262","Inverclyde - Gourock",2022,"01","02",83.067148480429
"263","Jedburgh",2022,"01","02",108.816618388807
"264","Kelso",2022,"01","02",75.4952028979159
"265","Kircaldy",2022,"01","02",NA
"266","Kirkcaldy",2022,"01","02",181.766094700863
"267","Kirkwall",2022,"01","02",14.8772592153349
"268","Largs",2022,"01","02",95.6058336438297
"269","Lerwick",2022,"01","02",NA
"270","Levenmouth",2022,"01","02",84.1699399984206
"271","Linlithgow",2022,"01","02",43.6735494049502
"272","Loch Ryan",2022,"01","02",26.9201144534173
"273","Lockerbie",2022,"01","02",152.619996080458
"274","Lossiemouth",2022,"01","02",NA
"275","Meadowhead",2022,"01","02",55.3594014640468
"276","Meadowhead ",2022,"01","02",NA
"277","Meadowhead - Kilmarnock HMP",2022,"01","02",4.81178358626736
"278","Montrose",2022,"01","02",46.2179640505866
"279","Nairn",2022,"01","02",24.5478130555335
"280","Neilston",2022,"01","02",39.7590371135937
"281","Newbridge",2022,"01","02",89.6630717041986
"282","Newtown St Boswell",2022,"01","02",89.211260353098
"283","Nigg",2022,"01","02",105.825833955163
"284","Oban",2022,"01","02",48.1429284383392
"285","Paisley",2022,"01","02",63.2997375192022
"286","Paisley - Blackhall",2022,"01","02",42.9658762549507
"287","Paisley - Brediland",2022,"01","02",24.9296597357173
"288","Penicuik",2022,"01","02",79.1564169295779
"289","Persley",2022,"01","02",193.826808035572
"290","Perth",2022,"01","02",138.518649710771
"291","Peterhead",2022,"01","02",66.0825895212097
"292","Philipshill",2022,"01","02",93.1220316513106
"293","Seafield",2022,"01","02",87.1135937411629
"294","Seafield - Cockenzie",2022,"01","02",54.6456351252988
"295","Seafield - Muirhouse",2022,"01","02",NA
"296","Seafield - Restalrig",2022,"01","02",NA
"297","Shieldhall",2022,"01","02",51.940881015345
"298","Shieldhall - Barrhead",2022,"01","02",88.5075770855597
"299","Shieldhall - Gorbals",2022,"01","02",116.171292117652
"300","Shotts",2022,"01","02",70.9696373621243
"301","Springfield",2022,"01","02",47.2332935693638
"302","Stevenston",2022,"01","02",39.8316213768275
"303","Stevenston - Stevenston East",2022,"01","02",18.6899270735199
"304","Stevenston - Stevenston West",2022,"01","02",282.905292546557
"305","Stirling",2022,"01","02",74.2432559423902
"306","Stirling - University",2022,"01","02",47.4014583350417
"307","Troqueer",2022,"01","02",149.786896724774
"308","Winchburgh",2022,"01","02",137.005175789839
"309","Allanfearn",2021,"01","03",26.1830307674959
"310","Allers",2021,"01","03",55.6374698023483
"311","Alloa",2021,"01","03",45.140730896547
"312","Annan",2021,"01","03",19.43403256282
"313","Armadale",2021,"01","03",15.6653027984353
"314","Bathgate",2021,"01","03",0
"315","Biggar",2021,"01","03",0
"316","Blackburn",2021,"01","03",18.408627823428
"317","Blackridge",2021,"01","03",9.75194874306957
"318","Bothwellbank",2021,"01","03",44.7137475860578
"319","Carbarns",2021,"01","03",25.0932866726129
"320","Dalbeattie",2021,"01","03",NA
"321","Daldowie",2021,"01","03",89.4543811954613
"322","Dalmuir",2021,"01","03",34.5637846841477
"323","Dalscone",2021,"01","03",NA
"324","Dunfermline",2021,"01","03",23.8976298504001
"325","Dunnswood",2021,"01","03",36.4790267094492
"326","East Calder",2021,"01","03",16.3799617282135
"327","Falkirk",2021,"01","03",21.6442378814483
"328","Fauldhouse",2021,"01","03",18.0752896645394
"329","Fort William",2021,"01","03",1.13352197974843
"330","Galashiels",2021,"01","03",2.00964621970135
"331","Hamilton",2021,"01","03",18.1743194711545
"332","Harthill",2021,"01","03",0.507372627147595
"333","Hatton",2021,"01","03",31.9858768783796
"334","Hawick",2021,"01","03",25.9210596535254
"335","Helensburgh",2021,"01","03",70.672148009723
"336","Inverclyde",2021,"01","03",44.3140661106677
"337","Kirkwall",2021,"01","03",1.63257132365005
"338","Lanark",2021,"01","03",15.4624356758553
"339","Lerwick",2021,"01","03",3.26351418459998
"340","Levenmouth",2021,"01","03",15.2944136197381
"341","Linlithgow",2021,"01","03",21.0366523095867
"342","Lockerbie",2021,"01","03",4.39943867839346
"343","Mauldslie",2021,"01","03",75.5303089363459
"344","Maybole",2021,"01","03",13.7403514214543
"345","Meadowhead",2021,"01","03",34.8020711108218
"346","Nairn",2021,"01","03",2.31041496624524
"347","New Cumnock",2021,"01","03",33.2609227375008
"348","Nigg",2021,"01","03",39.2200198315867
"349","Peebles",2021,"01","03",4.95639006951745
"350","Philipshill",2021,"01","03",46.1318353014055
"351","Seafield",2021,"01","03",34.6919376922033
"352","Shieldhall",2021,"01","03",41.4450858046339
"353","Shotts",2021,"01","03",9.88047684257831
"354","Stirling",2021,"01","03",6.38365921014244
"355","Stonehouse",2021,"01","03",23.3921634736821
"356","Stornoway",2021,"01","03",0
"357","Strathaven",2021,"01","03",29.9556206781213
"358","Troqueer",2021,"01","03",29.1003858572484
"359","Whitburn",2021,"01","03",140.24268925545
"360","Winchburgh",2021,"01","03",0.675094965055834
"361","Allanfearn",2021,"01","04",19.1159938060422
"362","Allers",2021,"01","04",25.592075124154
"363","Alloa",2021,"01","04",31.1848701914891
"364","Annan",2021,"01","04",51.551074996722
"365","Armadale",2021,"01","04",51.7089857071624
"366","Bathgate",2021,"01","04",46.8086624932019
"367","Biggar",2021,"01","04",30.7739338392445
"368","Blackburn",2021,"01","04",2.06456677920459
"369","Blackridge",2021,"01","04",36.139941938947
"370","Blackwood",2021,"01","04",24.0523719851994
"371","Bothwellbank",2021,"01","04",35.6676228819786
"372","Bowhouse",2021,"01","04",23.3917927897945
"373","Carbarns",2021,"01","04",67.2845896461531
"374","Cupar",2021,"01","04",1.38450760629237
"375","Dalbeattie",2021,"01","04",NA
"376","Dalmarnock",2021,"01","04",10.3813789951937
