,X2020.05.Read1,X2020.06.Read1,X2020.06.Read2,X2020.06.Read3,X2020.06.Read4,X2020.06.Read5,X2020.06.Read6,X2020.06.Read7,X2020.06.Read8,X2020.06.Read9,X2020.06.Read10,X2020.06.Read11,X2020.06.Read12,X2020.07.Read1,X2020.07.Read2,X2020.07.Read3,X2020.07.Read4,X2020.07.Read5,X2020.07.Read6,X2020.07.Read7,X2020.07.Read8,X2020.07.Read9,X2020.07.Read10,X2020.07.Read11,X2020.08.Read1,X2020.08.Read2,X2020.08.Read3,X2020.08.Read4,X2020.08.Read5,X2020.08.Read6,X2020.08.Read7,X2020.08.Read8,X2020.08.Read9,X2020.08.Read10,X2020.08.Read11,X2020.08.Read12,X2020.08.Read13,X2020.08.Read14,X2020.09.Read1,X2020.09.Read2,X2020.09.Read3,X2020.09.Read4,X2020.09.Read5,X2020.09.Read6,X2020.09.Read7,X2020.09.Read8,X2020.09.Read9,X2020.09.Read10,X2020.09.Read11,X2020.09.Read12,X2020.09.Read13,X2020.09.Read14,X2020.09.Read15,X2020.09.Read16,X2020.09.Read17,X2020.09.Read18,X2020.10.Read1,X2020.10.Read2,X2020.10.Read3,X2020.10.Read4,X2020.10.Read5,X2020.10.Read6,X2020.10.Read7,X2020.10.Read8,X2020.10.Read9,X2020.10.Read10,X2020.10.Read11,X2020.10.Read12,X2020.10.Read13,X2020.10.Read14,X2020.10.Read15,X2020.10.Read16,X2020.11.Read1,X2020.11.Read2,X2020.11.Read3,X2020.11.Read4,X2020.11.Read5,X2020.11.Read6,X2020.11.Read7,X2020.11.Read8,X2020.11.Read9,X2020.11.Read10,X2020.11.Read11,X2020.11.Read12,X2020.11.Read13,X2020.11.Read14,X2020.11.Read15,X2020.11.Read16,X2020.12.Read1,X2020.12.Read2,X2020.12.Read3,X2020.12.Read4,X2020.12.Read5,X2020.12.Read6,X2020.12.Read7,X2020.12.Read8,X2020.12.Read9,X2020.12.Read10,X2020.12.Read11,X2020.12.Read12,X2020.12.Read13,X2020.12.Read14,X2021.01.Read1,X2021.01.Read2,X2021.01.Read3,X2021.01.Read4,X2021.01.Read5,X2021.01.Read6,X2021.01.Read7,X2021.01.Read8,X2021.01.Read9,X2021.01.Read10,X2021.01.Read11,X2021.01.Read12,X2021.01.Read13,X2021.01.Read14,X2021.02.Read1,X2021.02.Read2,X2021.02.Read3,X2021.02.Read4,X2021.02.Read5,X2021.02.Read6,X2021.02.Read7,X2021.02.Read8,X2021.02.Read9,X2021.02.Read10,X2021.02.Read11,X2021.02.Read12,X2021.02.Read13,X2021.03.Read1,X2021.03.Read2,X2021.03.Read3,X2021.03.Read4,X2021.03.Read5,X2021.03.Read6,X2021.03.Read7,X2021.03.Read8,X2021.03.Read9,X2021.03.Read10,X2021.03.Read11,X2021.03.Read12,X2021.03.Read13,X2021.03.Read14,X2021.03.Read15,X2021.03.Read16,X2021.03.Read17,X2021.04.Read1,X2021.04.Read2,X2021.04.Read3,X2021.04.Read4,X2021.04.Read5,X2021.04.Read6,X2021.04.Read7,X2021.04.Read8,X2021.04.Read9,X2021.04.Read10,X2021.04.Read11,X2021.04.Read12,X2021.04.Read13,X2021.05.Read1,X2021.05.Read2,X2021.05.Read3,X2021.05.Read4,X2021.05.Read5,X2021.05.Read6,X2021.05.Read7,X2021.05.Read8,X2021.05.Read9,X2021.05.Read10,X2021.05.Read11,X2021.05.Read12,X2021.05.Read13,X2021.05.Read14,X2021.06.Read1,X2021.06.Read2,X2021.06.Read3,X2021.06.Read4,X2021.06.Read5,X2021.06.Read6,X2021.06.Read7,X2021.06.Read8,X2021.06.Read9,X2021.06.Read10,X2021.06.Read11,X2021.06.Read12,X2021.06.Read13,X2021.06.Read14,X2021.06.Read15,X2021.06.Read16,X2021.07.Read1,X2021.07.Read2,X2021.07.Read3,X2021.07.Read4,X2021.07.Read5,X2021.07.Read6,X2021.07.Read7,X2021.07.Read8,X2021.07.Read9,X2021.07.Read10,X2021.07.Read11,X2021.07.Read12,X2021.07.Read13,X2021.07.Read14,X2021.07.Read15,X2021.07.Read16,X2021.08.Read1,X2021.08.Read2,X2021.08.Read3,X2021.08.Read4,X2021.08.Read5,X2021.08.Read6,X2021.08.Read7,X2021.08.Read8,X2021.08.Read9,X2021.08.Read10,X2021.08.Read11,X2021.08.Read12,X2021.08.Read13,X2021.08.Read14,X2021.08.Read15,X2021.08.Read16,X2021.09.Read1,X2021.09.Read2,X2021.09.Read3,X2021.09.Read4,X2021.09.Read5,X2021.09.Read6,X2021.09.Read7,X2021.09.Read8,X2021.09.Read9,X2021.09.Read10,X2021.09.Read11,X2021.09.Read12,X2021.09.Read13,X2021.09.Read14,X2021.09.Read15,X2021.09.Read16,X2021.10.Read1,X2021.10.Read2,X2021.10.Read3,X2021.10.Read4,X2021.10.Read5,X2021.10.Read6,X2021.10.Read7,X2021.10.Read8,X2021.10.Read9,X2021.10.Read10,X2021.10.Read11,X2021.10.Read12,X2021.10.Read13,X2021.10.Read14,X2021.10.Read15,X2021.10.Read16,X2021.11.Read1,X2021.11.Read2,X2021.11.Read3,X2021.11.Read4,X2021.11.Read5,X2021.11.Read6,X2021.11.Read7,X2021.11.Read8,X2021.11.Read9,X2021.11.Read10,X2021.11.Read11,X2021.11.Read12,X2021.11.Read13,X2021.11.Read14,X2021.11.Read15,X2021.11.Read16,X2021.11.Read17,X2021.11.Read18,X2021.12.Read1,X2021.12.Read2,X2021.12.Read3,X2021.12.Read4,X2021.12.Read5,X2021.12.Read6,X2021.12.Read7,X2021.12.Read8,X2021.12.Read9,X2021.12.Read10,X2021.12.Read11,X2021.12.Read12,X2022.01.Read1,X2022.01.Read2,X2022.01.Read3,X2022.01.Read4,X2022.01.Read5,X2022.01.Read6,X2022.01.Read7,X2022.01.Read8
Kirkcaldy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12091,16041,41515,21391,50616,55791,NA,NA,NA,NA,NA,NA,NA,18226,11415,6659,67888,43821,27986,38506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38636,71595,36378,16870,15209,14655,8400,NA,NA,NA,NA,NA,NA,28927,21471,14790,45828,23599,15591,10273,NA,NA,NA,NA,NA,NA,NA,4411,92777,72559,64633,22247,131147,182206,160713,228325,NA,NA,NA,NA,NA,NA,NA,258867,287425,NA,121387,189797,228266,180499,136756,185980,NA,NA,NA,NA,NA,NA,NA,70003,157089,211211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701213,1789912,552020,347556,275281,344445,184319,317908,NA,NA,NA,NA,NA,NA,NA,NA,90879,226509,228072,283322,100587,99869,176988,105940,NA,NA,NA,NA,NA,NA,NA,NA,84007,128901,151488,241046,195731,284014,406614,210931,388796,197797,303966,NA,NA,NA,NA,NA,NA,NA,243509,124017,274228,324202,259436,291605,NA,NA,NA,NA,NA,NA,214741,NA,358838,336905,NA,NA,NA,NA
Kirkwall,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6066,36871,4418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,516.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,986.032283468405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,373.815327140136,318.047601238895,0,0,NA,NA,NA,NA,NA,NA,NA,497.052123354262,452,1062.14513510018,1982.18928018422,558.832207280251,0,2895,1264,516,0,3570,NA,NA,NA,0,0,0,0,0,380,0,0,3480,0,NA,NA,NA,0,0,758,0,0,0,0,0,0,0,0,712,0,0,NA,NA,NA,0,0,0,0,0,968,0,0,NA,0,NA,NA,NA,0,0,0,700,0,0,0,317,0,NA,NA,NA,NA,NA,0,6436.72833440337,0,3469.96155840319,2247.01266664055,6072.98117298862,33033,13224,NA,NA,NA,NA,NA,NA,NA,NA,4932.90822945823,9605,13430,58392,11457,18027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12762,25372,5910.37603743552,80590,53285,20943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22317,73920,20735,19378,16365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17800,12850,19860,18938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8765.28096807697,25876,36319,40174,97096,136805,46061,32602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15416,7234.65733896065,8845.367696558,4583.90670690548,NA,NA,NA,NA,NA,NA,NA,NA,77521,116370,23036,12747,NA,NA,NA,NA
Lanark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63779,55489,16013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18103,74165,38818,184799,NA,NA,NA,NA,NA,NA,NA,NA,NA,64385,58277,3126.35460613673,5706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10910,22343,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1195,2822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40004,6425.21915182262,41809,51084,27687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11460,42849,23777,108909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136108,234979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,791669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19334,48636,68979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167773,NA,NA,NA,NA,NA,NA,NA,NA,51584,NA,NA,NA,NA,NA,NA,NA
Langholm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,6310.78998987433,125287,NA,NA,NA,NA,NA,NA,NA,225862,42788,13506,38535,NA,NA,172819,56261,NA,NA,NA,NA,NA,NA,NA,NA,59976,4317.5,12184,22243,NA,11215,39693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636393,NA,464692,412849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4845.74207187044,NA,14774,57341,NA,27518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37790,35743,13730,NA,9725,0,48057,28178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570.79307492979,9890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44742,NA,NA,NA,NA,NA,NA,NA
Largs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13317,24467,20329,30948,5934,6138,NA,NA,NA,NA,NA,NA,NA,33858,35075,29929,17572,992.145795818991,NA,NA,NA,NA,1809,NA,NA,NA,NA,NA,NA,NA,18123,39396,22213,1832,1830,NA,NA,NA,NA,NA,NA,NA,NA,576,1648,1297,515,0,0,0,0,NA,NA,NA,NA,NA,NA,692,0,0,0,17615,5678.20602730343,5915.33703263059,35465,25401,42228,NA,NA,NA,NA,NA,NA,13538,3172.1164563818,10009,23635,21927,9125.76275156721,18216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45449,27529,122063,83440,105307,124552,80725,NA,NA,NA,NA,NA,NA,NA,NA,NA,13448,14262,12333,12947,30782,25034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17379,10725,36994,56604,19402,36837,58730,67718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72619,39608,NA,55971,NA,NA,NA,NA,NA,NA,NA,NA,NA,80784,66583,NA,NA,NA,NA,NA
Lerwick,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5219.24959835789,28534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,486,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642.233385041453,NA,NA,20514,0,NA,1839,5325,NA,3303,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1962,4735,NA,0,NA,NA,4110,NA,NA,NA,NA,NA,201.185851805508,543.290771709101,6344.36814489156,618.766438921541,NA,NA,5271.18458449706,3796.79308035828,NA,NA,NA,NA,NA,NA,NA,NA,4384.59166525401,7880.16125751137,29466,10938,15315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280.30324248796,4131.39382389538,3391,2275,0,0,3065.94314539876,2893.64712498977,NA,NA,NA,NA,NA,NA,NA,NA,20830,6092.52132768232,58085,25749,15097,5866.69970107432,10147,4583.14046028408,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4252.9567218555,698.624988361916,1183.46206542547,1178.40337286721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240.01171871971,NA,15342,NA,86054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6590.5688361373,10196,6697.37183121586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesmahagow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60888,24175,501371,622995,NA,NA,NA,NA,NA,NA,NA,NA,NA,50697,10079,29348,3485.01566269282,NA,2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,1315,0,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6998.40368856976,0,6812.9593761034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85544,197298,47302,51969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19242,508016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127113,154126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5670.18622156359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104721,43179,188771,126510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76005,187619,NA,NA,NA,NA,NA,NA,NA,NA,NA,144060,NA,NA,NA,NA,NA,NA,NA
Levenmouth,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1505,3233,0,0,NA,NA,NA,NA,0,0,0,0,0,2278,1818,543.384976975204,0,3095,15378,4502.5,1339.44916942494,2858,8153,19955,17007,NA,3976.78287350608,1863.00644436559,2997.86364220389,1982.99171516395,19959,61059,44897,49150,43261,18415,60103,38552,15031,16281,127570,NA,48571,39414,23820,21175,26796,32472,13816,18462,57337,11732,39871,43479,72294,115157,NA,NA,69431,25636,60716,5983.15290837887,36778,10012.7567233375,21583,18738,16308,27712,99853,NA,NA,NA,41413,47753,54524,83009,80231,73453,17525,30332,25233,2733,1727,17085,55695,NA,30549,16305,8027,24858,4993,NA,NA,NA,NA,NA,NA,NA,NA,11451,18743,4128,4739.85373448111,26449,24999,18293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9821,20009,30573,6670,5711,870,8962,NA,NA,NA,NA,NA,NA,4879,6263,457,6034,2891,15798,738,3433,NA,NA,NA,NA,NA,NA,7284,13421,3189.2137360665,13210,14284,7097.86170530269,25130,29483,80114,NA,NA,NA,NA,NA,NA,NA,229368,108549,NA,101504,102742,83904,191685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154458,65802,90397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45386,47429,73666,59080,125098,67756,105511,138513,203451,166615,143014,178551,142885,100279,NA,NA,NA,NA,50840,200528,95105,NA,76777,184927,273169,233136,364916,NA,NA,NA,166832,111738,NA,NA,249416,25314,NA,NA
Linlithgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12650,13809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64024,27134,21614,6939,8544,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,9883,15174,2137,1564,3852,1713,906,NA,NA,NA,NA,NA,634,664,7237.82694780288,8203,3375.55297626791,4345.32387019679,4182,13631,18453,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274,2201,3907,619,481,388,NA,NA,NA,NA,NA,NA,0,531,2115,1290,7943,37723,1478,0,429,NA,NA,NA,NA,NA,2101,21279,36127,7177.5884361628,5862.13267943729,28681,17194,35775,NA,NA,NA,NA,NA,NA,NA,NA,80632,139404,117424,288059,94085,68277,52014,NA,NA,NA,NA,NA,NA,NA,NA,NA,81914,37191,182539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139321,412222,454071,415630,323506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238065,168375,115496,356472,52524,21195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165780,227682,79016,157565,194010,272219,387211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185592,303559,166939,155938,715235,NA,NA,NA,NA,NA,NA,NA,143493,74105,NA,NA,NA,NA,NA,NA
Loch Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1102.8733105083,1072.44490345453,490.194297283923,2508.38716477564,2497.95621652283,NA,NA,NA,NA,NA,NA,NA,NA,NA,35095,41841,4752.57717430349,36739,12153,43393,5628.74371048249,NA,NA,NA,NA,NA,NA,NA,NA,NA,13265,3882.18184739067,26738,3080.05165054175,33368,32169,120420,130772,NA,NA,NA,NA,NA,NA,NA,NA,306961,145548,131273,94822,62498,25195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31416,12837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8998.59269941513,NA,13579,9097,67804,116065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2506.5,2644.69682544237,10703,19300,NA,NA,NA,NA,NA,NA,NA,NA,15961,30130,NA,NA,NA,NA,NA,NA
Lockerbie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9209,0,0,0,0,605,1014.5,0,0,0,0,1085.88202467637,NA,NA,NA,NA,NA,0,1741.79412516888,0,0,4844,3145.01475910124,6296.00858483808,6593.84714910965,3248.7731395186,3595.2319137649,NA,NA,NA,NA,NA,NA,2979.10812367738,11803,207612,2237.98278742735,1434.86647819716,31715,9022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,444.775276545448,1350.23813763437,2173.03218839107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15945,19756,8694.94925859578,6241,0,6255,6488,29497,NA,NA,NA,NA,NA,NA,0,2095,1413,1630,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,2189,0,1028.38372037529,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,379,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,532.457646716328,NA,677.904568194991,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35228,150459,45736,6773.46323848522,10002,59426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11581,128092,60015,50005,178935,202616,61367,414502,NA,NA,NA,NA,NA,NA,NA,NA,224498,181569,NA,494480,433831,119921,69017,99205,147935,53943,NA,NA,NA,NA,NA,NA,2356.71176153981,1667.97593949125,98894,62774,54010,41774,13409,113863,NA,NA,NA,NA,NA,NA,NA,NA,NA,3927.10606823093,89255,9253.97176418843,154719,78694,72362,14722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6310.51732719405,18642,19527,98279,267439,NA,NA,NA,NA,NA,NA,NA,134231,NA,NA,NA,NA,NA,NA
Lossiemouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17978,NA,2009,5176,3080,NA,NA,NA,NA,15532,NA,10973,1936,1932,5001,0,3402,418.990473818543,NA,2149,4351,1476,14567,20490,3775,NA,NA,NA,4776,1876,21323,6618,8051,9485,16041,9209,5151,16397,13905,3979,10075,37648,8874,14453,14334,13727,4679,10620,2284,6535,5590,3580,862,0,NA,5031,0,0,0,NA,3021.22685228504,3132.1994727218,689.189315506324,4453.89368651783,NA,3306.9694414914,6191.82389983219,NA,NA,NA,NA,64576,39971,93299,37498,103265,69143,70235,127224,52826,NA,NA,NA,NA,NA,NA,NA,37348,82538,35202,35159,28810,47761,154932,59783,36339,83177,68700,87522,256676,NA,NA,NA,110748,521331,135212,177441,217101,69181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108357,107941,NA,136566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58161,271549,133598,NA,NA,NA,NA,NA
