,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
,"May2020","June2020",,,,,"July2020",,,,,"Aug2020",,,,,"Sep2020",,,,,"Oct2020",,,,,"Nov2020",,,,,"Dec2020",,,,,"Jan2021",,,,"Feb2021",,,,"Mar2021",,,,,"Apr2021",,,,,"May2021",,,,,"Jun2021",,,,,"July2021",,,,,"Aug2021",,,,,"Sep2021",,,,,"Oct2021",,,,,"Nov2021",,,,,"Dec2021",,,,,"Jan2022",
,"X2020.05.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.32","X2020.08.33","X2020.08.34","X2020.08.35","X2020.08.36","X2020.09.36","X2020.09.37","X2020.09.38","X2020.09.39","X2020.09.40","X2020.10.40","X2020.10.41","X2020.10.42","X2020.10.43","X2020.10.44","X2020.11.45","X2020.11.46","X2020.11.47","X2020.11.48","X2020.11.49","X2020.12.49","X2020.12.50","X2020.12.51","X2020.12.52","X2020.12.53","X2021.01.01","X2021.01.02","X2021.01.03","X2021.01.04","X2021.02.05","X2021.02.06","X2021.02.07","X2021.02.08","X2021.03.09","X2021.03.10","X2021.03.11","X2021.03.12","X2021.03.13","X2021.04.13","X2021.04.14","X2021.04.15","X2021.04.16","X2021.04.17","X2021.05.18","X2021.05.19","X2021.05.20","X2021.05.21","X2021.05.22","X2021.06.22","X2021.06.23","X2021.06.24","X2021.06.25","X2021.06.26","X2021.07.26","X2021.07.27","X2021.07.28","X2021.07.29","X2021.07.30","X2021.08.31","X2021.08.32","X2021.08.33","X2021.08.34","X2021.08.35","X2021.09.35","X2021.09.36","X2021.09.37","X2021.09.38","X2021.09.39","X2021.10.39","X2021.10.40","X2021.10.41","X2021.10.42","X2021.10.43","X2021.11.44","X2021.11.45","X2021.11.46","X2021.11.47","X2021.11.48","X2021.12.48","X2021.12.49","X2021.12.50","X2021.12.51","X2021.12.52","X2022.01.01","X2022.01.02"
"Armadale","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.55745946743707,27.1274511312883,"NA",6.35377709521636,13.4292482677025,15.6653027984353,51.7089857071624,16.6279857856103,34.8969704755303,56.5517337323549,13.7489984171793,2.34003003832258,23.8355793740233,9.62458645366894,6.88430818149162,"NA",1.51200816210694,5.17501980042471,0.765175237653161,"NA",2.37191576558049,7.84170320586828,6.54187268382316,0.612923247140486,24.0521585046119,10.6774732661074,7.65439327592417,4.81720598469408,30.8180190239666,45.2171081581932,118.706340523949,142.465885922323,149.794243283012,"NA",93.909370060304,212.133845153324,"NA","NA","NA","NA",222.603164980537,376.317493876987,459.919400762875,251.541728659623,"NA","NA",173.534558557362,49.6551584675751,"NA",62.2422091284075,148.389976171694,70.9989404867082,77.8936152185739,92.2606890059313,104.356677478256,52.4237724976607,"NA",126.512356819723,"NA","NA","NA",969.038970160788,"NA"
"Aviemore","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.512063324183814,4.9173197183302,11.1437992700621,"NA","NA",289.60977097876,391.880831904805,119.681466193584,110.007396202262,95.7107753296974,"NA",32.4912519532399,57.2420074554733,"NA",138.197935924184,88.5183570863281,"NA","NA","NA","NA",31.1262231359672,229.109409582915,81.4566676097587,158.764640471339,"NA",2083.6440357625,135.499558371581,107.878938478025,"NA",269.047876467659,115.031095835105,225.032075633315,"NA","NA","NA","NA"
"Banchory","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.20537614304834,"NA",0.756949093559304,1.15350828849156,0,0.24024793656766,0,"NA",0.29030348551654,0.785080082763577,3.89634694615969,0.530335244127731,4.78894262964791,6.26521608984881,13.9017481916816,12.4912633782112,30.126453582707,6.86397982280137,5.73619943324208,19.8551532703947,8.89608440663255,153.72113312118,35.8632942875636,91.8883431984679,317.784226879494,49.2530213614634,"NA","NA",120.541093102801,81.7871877282874,"NA",63.0038255809846,"NA",36.4629977952991,224.863607845921,53.0662582131531,56.5107996607272,83.4626946657902,"NA",22.8691079861664,76.3967504785573,"NA","NA",66.4174886586659,"NA"
"Banff","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.179569919431853,0,0.218696819940323,0.361686577241175,0.101381461602342,0.191697052750457,0.127083662980225,0.122671313000578,1.59517468882784,0.830191798133853,0.068146663028807,0.702340102298015,17.5909254298973,16.816723259326,20.9116293633222,18.957235030004,22.5855931208215,24.0938566765603,5.41161505719663,"NA","NA",73.3582167486681,415.715227797086,238.478196792771,189.336892496078,57.4367816759112,148.531785512823,"NA","NA",145.940312661903,82.6524944705579,49.3016221320854,106.208985294397,"NA",21.1052526324439,40.1880716640745,40.2606380066171,15.0628669393017,42.7768868102709,8.25891601166927,63.3281670128138,139.27478474712,"NA",35.942684511365,"NA"
"Bathgate","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",39.2888830334154,"NA","NA",7.95627784042478,19.8786808626825,0,46.8086624932019,73.3817762816803,100.084074383699,47.4348080657645,37.4807332500867,23.3033275717859,8.92221895741245,11.0137866072102,5.72626932481669,"NA",26.1698617512859,"NA",1.41441648540421,"NA",2.32431085104594,2.7792485443402,11.3301935156586,4.28719431698748,4.52342881335481,0,20.789426278887,3.00728150208949,0.347367372851414,64.7433497325977,204.262802419035,316.578249687367,107.752361724322,55.0132919947394,175.925993970864,29.9674619157704,"NA","NA",94.72693717263,"NA",110.133033695457,100.707281474908,103.310047661327,134.839404505668,"NA","NA",94.8802806839159,118.347770644808,"NA",76.3156235392519,55.9369217342152,52.5391956194044,118.607915772481,96.4630726027442,117.57201102855,"NA","NA",27.8582130997888,66.4056043331037,186.273793260423,"NA",50.5188884921301,27.5855440830279
"Biggar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",21.4241783194373,0,0,30.7739338392445,18.396608019254,2.44097550018353,0.897352011178191,0.987977614723383,1.96777849721409,68.9601915387677,0.468501054681119,0.940911406783467,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Blackburn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.67975466543045,"NA","NA",49.3991115741206,20.8526919906599,18.408627823428,2.06456677920459,9.67184407304505,19.7851723292655,34.0763849608195,27.7215034591692,6.52483811016599,4.2091255282156,6.13921975662142,10.2703204102311,11.3663268859252,3.23056991426963,6.52012676160306,2.86194866760171,10.5328828467806,7.28568730252896,2.47282902239732,0.896895027648777,5.59189172932146,6.14348926639309,17.9521515693206,7.81930598195718,16.4677664860142,12.6271527939699,19.9940012992664,67.8738879351811,44.7444271862834,71.1819033909513,66.1019208211175,47.2876335541932,53.7149837865558,"NA",16.4787894505438,"NA","NA",598.042799488949,56.6080022827592,95.4073607906788,"NA",28.8070903492617,"NA",3.21561913974414,21.5265264915225,46.1472295928973,17.5831363934359,566.641691922546,32.1295626487474,38.4371475543905,40.9248308573505,18.3958452324119,52.5285038978955,"NA",70.1294707009947,39.4672239802934,82.7923216429596,"NA",49.1745594386534,"NA"
"Blackridge","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.12161348314607,0.851821483146067,"NA",4.32478662047476,3.44236157341336,9.75194874306957,36.139941938947,109.484947184024,139.608876934744,193.731204839543,181.185693946629,14.6013633689519,0.605019240899021,2.71591611886937,5.78179604767758,"NA",18.0818355657819,87.6439064139136,270.720063024645,"NA",5.94038287188376,11.4489763524344,23.7237171820029,17.578515402781,28.1072812825556,"NA",11.0604571720326,10.741470931004,15.0640094068643,21.9899592635616,43.2287762995604,39.6068502218579,772.56469553736,3070.1132202512,60.5816894048855,168.387463963472,"NA","NA","NA","NA",75.9073728512068,100.810972466318,244.372817383558,689.422110506091,"NA","NA","NA","NA","NA",43.935154350486,59.2829301334943,19.8717248894428,1.50029471147744,61.9822711149759,62.179385463558,60.500713151492,"NA",117.845240292465,110.099856471307,"NA","NA",15.4124041711662,49.595927829918
"Blackwood","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",88.0285007966198,376.179454854494,"NA",24.0523719851994,73.3059028066778,6.213235055148,83.1231463261792,158.599852798475,1.93635559567739,0.84495629061491,1.42636492821959,5.8941598779528,"NA",4.31224293078062,0,"NA","NA",0.369050046146454,"NA",0,"NA",12.4060666213538,"NA",23.0293463780441,36.5536524467252,23.8998979139186,11.5117769152903,10.4261906173603,"NA",479.793030016693,758.99369412822,373.243958747706,155.665420517029,"NA","NA",141.656236409492,"NA",323.585630307978,"NA","NA",68.8026941736719,"NA","NA","NA",26.2642632742036,"NA",38.4786275730116,"NA",15.2961079395085,53.614698442665,38.8411816255923,"NA","NA","NA",16.7498026391025,172.640489450052,"NA","NA",44.9913111496468,"NA"
"Blairgowrie","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.23600141629101,3.3709215012872,0.743568925677611,"NA",59.4309328806407,40.3813591057165,15.1628483565155,"NA",3.20273839976837,"NA","NA",0.491620651270265,0,1.33962109518536,0.607387465435516,"NA","NA",2.59480803277257,0.746761903155384,3.74899632143135,7.7673206823271,11.1595615762525,"NA",40.662676181147,141.719959422471,15.9932642011311,52.4647011089445,36.334319365683,15.6903473291925,19.9325060198444,21.0313060123949,65.0763342370731,"NA","NA",65.2613221835964,136.737076491428,"NA","NA",5.87345907597035,"NA",723.838249734762,301.649287308521,147.643904449789,62.8748931806506,"NA",292.021436459548,"NA","NA",18.7278537101543,29.6465278156882,"NA","NA",63.1239233161197,"NA"
