"","Long","Lat","Health.Area","Site.Name"
"30",-3.41014513246599,56.0202955979275,"Fife","Dunfermline"
"31",-2.8900051823534,56.3672927606303,"Fife","Guardbridge"
"32",-3.509410874862,56.0422698314311,"Fife","Ironmill Bay"
"33",-3.71964396957788,56.064780706967,"Fife","Kincardine"
"34",-3.14788609805312,56.1170716358498,"Fife","Kirkcaldy"
"35",-3.01013038636152,56.1924949082976,"Fife","Levenmouth"
"36",-3.2258408494857,56.3550377840742,"Fife","Newburgh"
"37",-2.9153238719715,56.4501861057684,"Fife","Newport & Tayport"
"38",-3.05408233288403,56.2926726539988,"Fife","Springfield"
"39",-2.75704928705797,56.3295995077312,"Fife","St Andrews"
"40",-3.79172441125497,56.1061119673765,"Forth Valley","Alloa"
"41",-3.81485017736689,56.1488188404649,"Forth Valley","Alva"
"42",-3.74542311705907,56.1489709119989,"Forth Valley","Tillicoultry"
"43",-3.57027980177721,56.01450696083,"Forth Valley","Boness"
"44",-3.86871922340951,56.0081751722771,"Forth Valley","Bonnybridge"
"45",-3.89544690360913,56.024938625581,"Forth Valley","Denny"
"46",-3.76129703443663,56.0201275396243,"Forth Valley","Falkirk"
"47",-3.66794034934915,56.0116423848277,"Forth Valley","Kinneil"
"48",-3.96441892624449,56.1828075989143,"Forth Valley","Dunblane"
"49",-3.91954797054321,56.1192863807364,"Forth Valley","Stirling"
"50",-2.06148567537157,57.1321800833327,"Grampian","Nigg"
"51",-2.15680345894478,57.1787308615722,"Grampian","Persley"
"52",-2.47835189581178,57.0534720125036,"Grampian","Banchory"
"53",-2.4767415672225,57.6724518394431,"Grampian","Banff"
"54",-2.05750514056289,57.3648308658724,"Grampian","Ellon"
"55",-2.04626863190726,57.6916456338435,"Grampian","Fraserburgh"
"56",-2.77616404509057,57.4508140601178,"Grampian","Huntly"
"57",-2.36445060793797,57.2730583187437,"Grampian","Inverurie"
"58",-1.79030502329802,57.4875322469158,"Grampian","Peterhead"
"59",-2.47646593060706,57.541917454448,"Grampian","Turriff"
"60",-2.94377998251036,57.6770343807126,"Grampian","Buckie"
"61",-3.61105534336082,57.6157055009232,"Grampian","Forres"
"62",-3.25833865562436,57.7016943068663,"Grampian","Lossiemouth"
"63",-4.42763907362904,55.7897940278819,"Greater Glasgow and Clyde","Neilston"
"64",-4.50196487477196,55.7644938517079,"Greater Glasgow and Clyde","Uplawmoor"
"65",-4.12657320490419,55.8325433151428,"Greater Glasgow and Clyde","Daldowie"
"66",-4.21934344578944,55.8373762013829,"Greater Glasgow and Clyde","Dalmarnock"
"67",-4.34491168360078,55.8637148184202,"Greater Glasgow and Clyde","Shieldhall"
"68",-4.87853552735278,55.9366219224013,"Greater Glasgow and Clyde","Inverclyde"
"69",-4.41038730362664,55.8913792504006,"Greater Glasgow and Clyde","Erskine"
"70",-4.42142030240103,55.8590966579125,"Greater Glasgow and Clyde","Paisley"
"71",-4.60584731735819,55.9473408149899,"Greater Glasgow and Clyde","Ardoch"
"72",-4.43868090515167,55.9083136749758,"Greater Glasgow and Clyde","Dalmuir"
"73",-4.69345867325065,55.9823163725406,"Highland","Helensburgh"
"74",-4.15211114427569,57.4989010637052,"Highland","Allanfearn"
"75",-4.22477034888461,57.6913714940501,"Highland","Alness"
"76",-3.8170882100813,57.2096639839582,"Highland","Aviemore"
"77",-5.10112693719903,56.828460689844,"Highland","Fort William"
"78",-3.61336588978372,57.3224865188183,"Highland","Grantown on Spey"
"79",-3.84801261188444,57.5927640050881,"Highland","Nairn"
"80",-3.49659793241723,58.6048773791166,"Highland","Thurso"
"81",-3.06013285655809,58.4425401244221,"Highland","Wick"
"82",-3.95649973476045,55.7629414846252,"Lanarkshire","Carbarns"
"83",-3.95370449979536,55.9714073583438,"Lanarkshire","Dunnswood"
"84",-3.74707888123895,55.8637263322699,"Lanarkshire","Harthill"
"85",-3.81122405591491,55.8148629730862,"Lanarkshire","Shotts"
"86",-3.9057350372813,55.7970397639352,"Lanarkshire","Swinstie"
"87",-4.13503078112867,55.7798920694044,"Lanarkshire","Allers"
"88",-3.51200515026948,55.6165331135886,"Lanarkshire","Biggar"
"89",-3.90104927445479,55.6670357239981,"Lanarkshire","Blackwood"
"90",-4.07920740982194,55.797311573478,"Lanarkshire","Bothwellbank"
"91",-4.05613222475841,55.7940127637112,"Lanarkshire","Hamilton"
"92",-3.7947853256949,55.673531082359,"Lanarkshire","Lanark"
"93",-3.88335293885114,55.6461237515284,"Lanarkshire","Lesmahagow"
"94",-3.89835942271324,55.7304125178971,"Lanarkshire","Mauldslie"
"95",-4.22917340212711,55.7774390811626,"Lanarkshire","Philipshill"
"96",-3.95936920791938,55.7451404115579,"Lanarkshire","Skellyton"
"97",-3.96889526779904,55.7016309363525,"Lanarkshire","Stonehouse"
"98",-4.05862601936173,55.6750794860395,"Lanarkshire","Strathaven"
"99",-3.40096208908946,55.943115544099,"Lothian","Newbridge"
"100",-3.14543306383502,55.9712021918324,"Lothian","Seafield"
"101",-2.57256720300213,55.9917175585512,"Lothian","Dunbar"
"102",-2.75145958249074,55.9605510460223,"Lothian","Haddington"
"103",-3.20444102005621,55.8354080061792,"Lothian","Penicuik"
"104",-3.70088084310073,55.9065840013622,"Lothian","Armadale"
"105",-3.66326011601052,55.9145399675497,"Lothian","Bathgate"
"106",-3.59337690544305,55.8714923946422,"Lothian","Blackburn"
"107",-3.74391972184647,55.8906233929929,"Lothian","Blackridge"
"108",-3.47530037021377,55.8968656132722,"Lothian","East Calder"
"109",-3.69336189271524,55.8240294839505,"Lothian","Fauldhouse"
"110",-3.62531876842913,55.9829403066899,"Lothian","Linlithgow"
"111",-3.68176348307214,55.8707039858612,"Lothian","Whitburn"
"112",-3.45552278262022,55.9551843618815,"Lothian","Winchburgh"
"113",-2.91522968615766,59.0075645912078,"Orkney","Kirkwall"
"114",-1.15675365103016,60.1845545241091,"Shetland","Lerwick"
"115",-2.91071419028815,56.6413634706668,"Tayside","Forfar"
"116",-2.64644688655778,56.5263264985016,"Tayside","Hatton"
"117",-2.4530787451344,56.7334753482173,"Tayside","Montrose"
"118",-3.31431140876479,56.5857913564765,"Tayside","Blairgowrie"
"119",-3.38359679652948,56.3833560221297,"Tayside","Perth"
"120",-6.34939015751881,58.1914654524505,"Western Isles","Stornoway"
