,Localities_names
496,Oldmeldrum
497,Ormiston
498,Overtown
499,Paisley
500,Pathhead
501,Patna
502,Peebles
503,Pencaitland
504,Penicuik
505,Perth
506,Peterculter
507,Peterhead
508,Pitlochry
509,Pitmedden
510,Pittenweem
511,Plains
512,Plean
513,Polbeth
514,Polmont
515,Port Bannatyne
516,Port Ellen
517,Port Glasgow
518,Portgordon
519,Portknockie
520,Portlethen
521,Portpatrick
522,Portree
523,Portsoy
524,Potterton
525,Prestonpans
526,Prestwick
527,Quarrier's Village
528,Quarter
529,Queenzieburn
530,Ratho
531,Redding
532,Reddingmuirhead
533,Renfrew
534,Renton
535,Rhu
536,Rigside
537,Rosehearty
538,Rosemarkie
539,Rosewell
540,Roslin
541,Rosneath
542,Rosyth
543,Rothes
544,Rothesay
545,Rothienorman
546,Rumford
547,Rutherglen
548,Saline
549,Salsburgh
550,Saltcoats
551,Sandbank
552,Sandhaven
553,Sanndabhaig (Sandwick)
554,Sanquhar
555,Sauchie
556,Scalloway
557,Scone
558,Seafield
559,Selkirk
560,Shieldhill
561,Shotts
562,Skelmorlie
563,Slamannan
564,Smithton
565,South Queensferry
566,Spean Bridge
567,Springfield
568,Springside
569,St Andrews
570,St Boswells
571,St Combs
572,St Cyrus
573,St Fergus
574,St Madoes and Glencarse
575,St Monans
576,Stamperland
577,Stanley
578,Stenhousemuir
579,Steornabhagh (Stornoway)
580,Stepps
581,Stevenston
582,Stewarton
583,Stirling
584,Stonehaven
585,Stonehouse
586,Stoneyburn
587,Stow
588,Stranraer
589,Strathaven
590,Strathblane
591,Strathkinness
592,Strathmiglo
593,Strathpeffer
594,Strichen
595,Stromness
596,Stuartfield
597,Symington (South Ayrshire)
598,Symington (South Lanarkshire)
599,Tain
600,Tarbert
601,Tarbolton
602,Tarland
603,Tarves
604,Tayport
605,Thankerton
606,Thornhill (Dumfries and Galloway)
607,Thornhill (Stirling)
608,Thornliebank
609,Thornton
610,Thorntonhall
611,Thurso
612,Tighnabruaich
613,Tillicoultry
614,Tobermory
615,Torphichen
616,Torphins
617,Torrance
618,Torryburn and Newmills
619,Townhill
620,Tranent
621,Troon
622,Tullibody
623,Turriff
624,Twechar
625,Tweedbank
626,Uddingston
627,Ullapool
628,Uplawmoor
629,Viewpark
630,Walkerburn
631,Wallacestone
632,Wallyford
633,Waterfoot
634,Wattston
635,Wellbank
636,Wemyss Bay
637,West Barns
638,West Calder
639,West Kilbride
640,West Linton
641,Westhill (Aberdeenshire)
642,Westhill (Highland)
643,Westquarter
644,Whitburn
645,Whitecraig
646,Whitecross
647,Whitehills
648,Whithorn
649,Whiting Bay
650,Wick
651,Wigtown
652,Winchburgh
653,Windygates
654,Wishaw
655,Yetholm
