,2020-11-47,2021-06-23,2021-10-43,2021-11-47,2022-01-05,2021-04-16,2020-07-27,2021-07-30,2020-10-42,2020-06-27,2021-08-34,2021-12-50,2021-07-27,2020-11-49,2021-05-19,2021-01-03,2020-07-29,2021-08-33,2020-09-40,2020-08-36,2022-01-01,2021-02-07,2021-03-10,2020-12-53,2020-06-23,2020-11-46,2021-06-24,2020-09-37,2021-10-42,2021-11-44,2021-04-15,2020-09-39,2020-07-31,2020-10-43,2020-06-26,2020-08-32,2021-12-51,2021-07-26,2021-10-41,2020-11-48,2021-09-38,2021-01-02,2020-10-40,2020-06-25,2021-05-22,2021-08-32,2020-12-49,2022-01-02,2021-07-29,2021-09-35,2021-03-11,2020-12-52,2021-12-49,2020-11-45,2021-06-25,2020-09-36,2021-05-21,2021-08-31,2020-08-34,2021-11-45,2021-04-14,2022-02-06,2020-09-38,2020-07-30,2021-09-36,2021-03-12,2020-12-51,2020-10-44,2020-08-33,2021-06-22,2021-02-08,2021-12-52,2021-10-40,2022-02-05,2022-01-04,2021-11-46,2021-04-17,2021-03-09,2021-09-39,2021-01-01,2020-05-22,2020-10-41,2020-06-24,2021-08-35,2022-01-03,2021-07-28,2021-02-05,2021-05-18,2021-01-04,2021-12-48,2021-11-48,2021-06-26,2020-07-28,2021-10-39,2021-05-20,2020-08-35,2021-04-13,2021-02-06,1899-12-52,2021-09-37,2021-03-13,2020-12-50
Meadowhead,,78546.3333333333,87744,121259.75,49175,7998,,79885,28078,,255974,103313.25,74668.5,77370,7326.5,38837.6666666667,,206032.333333333,,,101948,41711,21285,136934,,77373,25732.3333333333,0,58836,69127.25,9636,5899.5,,67947,,0,181318,,116331.666666667,24106,232561,75375,24566,,30418,59366,3775,61160,100342,617828,15477.6666666667,,71640.75,25733.5,67107.3333333333,3172,17788.3333333333,65825,0,80975.25,16278,43287.6666666667,888,,409239.5,24833.3333333333,36411,9637,0,38597,18664,374463,92510.5,45012.3333333333,42428,71686,10707.5,20661.3333333333,273874,111004,,32713,,981122,65357.75,79188.5,46507.3333333333,5178,43537,82569,116328,54177,,74660,22005.3333333333,,15917,107134.333333333,,604668.5,14482.5,
Meadowhead - Kilmarnock HMP,,1926,450393,146353,,,,48499.5,,,14879,7535,49762,,6228.5,,,2291.5,,,0,,,,,,7275,,13966,52050.5,,,,,,,,14353,67180,,NA,,,,1422,5118,,10812,75862.5,54490,,,11707.5,,687,,3429.5,,,124275,,,,,297567,,,,,8352,,,NA,1694,NA,9003.5,,,NA,,,,,135908,1757,122035,,,,,22774,465317,,5151107,11396.4,,,,,,,
Montrose,,,,249927,NA,,,,,,,22190.5,,,,,,,,,44742,,,,,,,,,107960.5,,,,,,,124611,,,,,,,,,,,58214,,,,,31676,,,,,,,71590,,,,,,,,,,,,,,29710,28718,264169,,,,,,,,,37538,,,,,58070,143166,,,,,,,,,,,
Muirkirk,,,,,,,,,,,,,,,,,,,,,,2423.5,3071,,,,,,,,92630,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13998,,,,,8693,,,,,2898.5,,,,,,316.5,7551,,,,,,,,,,488,,,,,,,,,,29818.5,,,0,
Nairn,0,9999,98417,,,,,,,,204045,31833,205558,,685,5079,,,33918,,,5226,NA,,0,835,1608,0,45240,NA,0,0,,4410,,,,87833,197413,907,,32871,,,,18659,0,51063,10311,83704,4870,,NA,2390,51612,0,NA,56094.5,0,75567,6607,85085,0,,51333,1176,0,6535,,0,2871,,20942,,,36775,0,437,16606,14404,,8924,,,,59509,1697,0,NA,119229,,,,,402,0,798,115707,,119155,,0
Neilston,,6264,53943,63996.5,42362,,,84256,,,,,268356,,0,,,,,,182374.5,2555,42831,,,,6812.5,,65947,90299.5,1758.5,,,,,,,,,,,,,,,,,50332,114729,314772,2441.5,,NA,,15809.5,,2654,,,22692,755,,,,209332,2229,,,,4585,1835,,11312,13242,16882,85538.5,565,3412,123312,,,,,892676,6972,96823,,416,,,,16814.5,,,4497.5,,,,,191262,0,
Newbridge,,,,218339,,,,,,,,261806.5,,,,,,,,,73943,,,,,,,,,98289.3333333333,,,,,,,NA,,,,,,,,,,,157063,,,,,118374.666666667,,,,,,,130133.333333333,,45555,,,,,,,,,,,,153023,,87145,,,,,,,,,,,,,,,99098,,,,,,,,,,,
Newburgh,,220,199214,85846,,,,,,,66043,78647.5,22083,,115,,,14581,,,147125,1992.5,6923.5,,,,1443.5,,41769,30649,0,,,,,,,,,,49166,,,,1440,,,26856,,124866,768,,90933,,28362.5,,0,,,22506,75.5,227820,,,105282,754.5,,,,1750,17600,,74020,223137,161797,669079.5,162,4584,302367,,,,,189284,107589,76814.5,731,114.5,3500,31475,,38383,,,0,,3797,0,,122725,7463,
New Cumnock,,18370,7031,,,,,55360,,,,19273,151587,,19173,17094,,,,,403745,10246,6608,,,,22739,,37705,74673,,,,,,,,,,,,9265,,,,,,,85509,,5450,,62919,,9565,,4061,,,,0,,,,347746,4210,,,,1624,33908,,,25373,,53581,,28861,NA,205163,,,,85136,23666,132253,482346,3577,,,,145337,,,56283,,,25722,,296846,0,
Newport & Tayport,,25749,203415,137656,,,,28150,,,,161006.5,155651,,139.5,,,29280,,,87847,3059.5,24067,,,,22865.5,,26659,52832,0,,,,,,,,,,92798.5,,,,11864,,,,21799,514188,1619,,16563,,68473,,0,23651,,6931.5,0,,,,1681048,6246,,,,7654,12365.5,,157049,55625,,46423,0,3857,242750,,,,,353522,,40532.5,3013,0,2522,237783,,77043.5,,,1449.5,,,918,,166184,196,
Newtown St Boswell,,1263,46918,257333.5,,,,106555,,,75880,4724.5,34885.5,,218,,,19250,,,101567,0,11448,,,,2591,,162724,86121,0,,,,,,,,,,,,,,,0,,113631,427615,,0,,14934.5,,402,,1274,4726,,NA,0,10325,,,29672,0,,,,10669,6561,,61759,37982,,408359,0,3492,431808,,,,,58960,7836,36108.5,,0,,,,6954.5,,NA,3690,,0,1773,,69919.5,0,
Nigg,11976,24950,109236.25,269472,222798,3573,,105001.5,11391.3333333333,0,271819.5,174896,390433,16258,5483,79810.5,,121439.5,9041.66666666667,2628,306389.5,11800.5,10076.3333333333,171256,0,,26676.5,419,85264,82840.5,17717.5,3648.5,0,6842,,759,354486,269398,121471,33705,134959.5,88603,10102,,15632,54649,,258210.25,142493,323955,15169.3333333333,,77817.3333333333,10626,121654.5,1156,6133.33333333333,87917.5,8938,152470.25,10844.3333333333,172920,2528.25,,1032472,14763.6666666667,28570,13326,14608.5,11498,11118.5,755786,77740,276536.666666667,147813.25,278749,2961.5,6402,232247,126058,0,6627,0,576531,129973,85230,23778.3333333333,4053,36578.5,85015,189957.5,,,,1632.5,2389.75,9935,17299.6666666667,,44003.5,2041,34455
Nigg - Aberdeen RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigg - Torry,,,,,,4700.5,,,,,,,,,0,,,,,,,,,,,,,,,,25056,,,,,,,,,,,,,,,,,,,,35124.75,,,,,,0,,,,11887.5,,,,,2132,,,,,,,,,,,0,,,,,,,,,,,1011,,,,,,,0,,2039,,,,NA,
Oban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30152,,,,,22122.5,,,,,,,,,9001,,,,,,,,,,,,34709,,,,,,,,,,,11642,,,,,,,,,,,,,,,,,
Paisley,,23996.5,37588,84970.6666666667,133034,,,111073,,,,189719.5,177563,,4107,,,282408,,,106937.25,40383.5,59585.5,,,,26198,,38185,39033.75,10464,,,,,,352615,,112137.5,,179108,,,,52745,6887,,63848.25,215196,782909,25817,,61776,,34501,,20738,98567,,81587,3679,33669.5,,,517483,36387,,,,22987,24964,469200,60053.5,55577,87097.5,158333.333333333,5112.5,40102,57305,,,,,916470,53225.75,194404,,9755,,69835,105577,82772,,,2213.5,,,,,238883,3652,
Paisley - Airport,,,,,,,,,,,,,,,908,,,,,,,,,,,,,,,,9390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20787.4,,,,,,,,,,,,,,,,1176,,,,,,,,,,,316,,,,,,,51539,,,,,,,
Paisley - Blackhall,,38513,5457,296669,,,,37391.5,,,223024,131195.5,106280.5,,2249.5,,,142054.5,,,56340,,,,,,80287,,24877,101499.5,10300,,,,,,,339584,,,NA,,,,,13224.5,,59652.5,196506,628750,,,,,1069635,,163942,66035,,155404,25259.25,,,,333293,,,,,45619.5,,,89740,,,81543,5055.5,,,,,,,NA,,131070,,305.5,,,,218742,,,39020.5,,,,,339762,,
Paisley - Brediland,,12637.5,729.5,14856.5,,,,4745.5,,,9458,1138.5,8370,,596.5,,,0,,,0,,,,,,243.5,,0,0,258.5,,,,,,,38290,,,830,,,,,1381.5,,23455,4994,11238,,,12024,,54166,,7612.5,40506.5,,27382.5,1886.8,,,,2380,,,,,451,,,107762,,,19024.5,0,,,,,,,NA,,10008,,0,,,,0,,,277766,,,,,15914,,
Peebles,5049,622,,,,,,67972,1967,0,32348,,46968,,0,4058,,48722,2820,,42658,NA,322,3456,,3550,,0,34595,30275,0,7537,,69418,,,,,53516.5,6007,1234,20568,,,,15065,5026,44923,14299,72992,0,,22306,0,7420,0,0,98077,0,25382,,,3201,,28456,0,2234,2374,0,0,2184,,10,83538,46297,102401,3279,464,1787,9128,,0,,,67412,,0,0,0,,,8945,,,637,0,,2821,,,0,4847
Penicuik,,102458,227946,161565,,,,105297,,,541256,243452,367658,,8965,,,,,,230185,185357,5891,,,,50799,,78643,61952,18341,,,,,,,,224338,,NA,,,,,,,142384,,684361,44102,,,,112360,,90792,,,104546,0,,,,NA,14165,,,,30379,1973,,,84586,,193434,1202,20328,268702,,,,,,,469573,,27256,,,,263935,,,196734,,,,,423665,4615,
Persley,,,,344301,,,,,,,,119445,,,,,,,,,,,,,,,,,,363878,,,,,,,,,,,,,,,,,,364291,,,,,87794,,,,,,,284457.5,,144655,,,,,,,,,,,,610173,,265738,,,,,,,,,,,,,,,191887,,,,,,,,,,,
Persley - Northfield,,,,,,372083,,,,,,,,,721,,,,,,,,,,,,,,,,10957.5,,,,,,,,,,,,,,,,,,,,41492.3333333333,,,,,,0,,,,11251.5,,,,,3247.5,,,,,,,,,,,5137,,,,,,,,,,,1637,,,,,,,1250.5,,0,,,,197,
Perth,,40225.5,199957.5,165739.5,58078,,,58019.5,,,,121053.5,39541.5,,5524,,,170479,,,328296,23845.5,12604.5,,,,52920.5,,128447.5,69675.6666666667,6836.5,,,,,,40483,,104946,,166185.5,,,,,,,92126.3333333333,63810.5,179722,14274.5,,97332.6666666667,,46431.5,,11609.5,,,222481.666666667,4455.5,172317.5,,,281156,8498,,,,32989,27747.5,146215,101485,352379,62773,204169,9254,6915.5,519797,,,,,591290,57533,131329,,3920,,151952,184422,65651,,,1281.5,,5255,,,347741.5,2509,
Perth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peterhead,,483,106390,34969,80572,0,,12859.5,,,19149,69042,8271,,664,,,55751,,,,3937.66666666667,993.333333333333,,,,419.5,,23101,48649.5,372,,,,,,,10232,58082.5,,27397,,,,0,36189,,96145.5,2742,95609,1298.66666666667,,41341,,4409.5,,1098,5426.5,,16367,326.666666666667,,,,68603,518.333333333333,,,,3514,3013.33333333333,345195,36424,68330,253207,49665.5,1018,489,152820,,,,,,51374,9080,71968,10367.5,6188,,53696,8047,,56782,639.5,,1181,3803.66666666667,,155660,913.5,
Philipshill,153337,39946,87861,138115,NA,,,338275,53886,,892467,278825,147096,177194,11815,56755,,145814,,,121420.5,21906,24356,119652,405,34310,24692,1612,91182,69310.6666666667,25106,12601,,98972,,,,186421,173022,21438.5,598237,105054,29868,,46633,160684,142278,195950.333333333,118874,,14528,,95878,42714,48232,7845,20816,115310,0,123248.666666667,11646,180872,19346,,553786,20563,47530,119819,,,11823,NA,147280,145862,135096.666666667,96962.5,25070,23927,,81968,0,98134,,877169,124628,149783,57775,11385,147037,,175074,,,91985,1595,670,18068,20998,,260924,,21854.5
Philipshill - Hairmyres Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Philipshill - Stewartfield (3606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Philipshill - Stewartfield (7801),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.333333333333,,,,,,,,,,,,,,,,4444,,,,,,,,,,,,,,,,,,,,,,,,,
Sanquhar,,182288,5958,368635,,,,34823,,,43425,11759,181028.5,,8243,,,,,,,,,,,,149634,,9979.5,4672.5,,,,,,,,,,,,,,,,,,,80178.5,NA,,,,,91303,,1025,,,,,,,,546176,,,,,1843.5,,,60681,18526,,15973.5,0,,,,,,,994160,47116,10849.5,,12041.5,,,,44717,,,11322.5,,,,,182248,,
Seafield,11841,68605.6666666667,132837.666666667,204448.666666667,228986,5793,,73713.5,51873,,213909.666666667,384442.5,145666.666666667,,8360.66666666667,58557,,161808.666666667,32581,3866,227308.5,151288,23148.3333333333,,,26283,77748.6666666667,9357,59975.3333333333,87309.25,8884.5,25637,,25333,,,530500,593905,99128,,175045.666666667,102807,,,29298,65969.3333333333,57888,173123.75,109238.5,295955.5,16923.3333333333,,125654.75,40763,80383,1691,21736.6666666667,81990.3333333333,0,74420.75,7960.33333333333,275491.333333333,,,402868.333333333,23737,23828,43502,,54547.5,28603,335513,41514.6666666667,106953.666666667,146491.75,121271.75,3216,27966.3333333333,209692.5,164158,,,,NA,171114.75,129971.5,26853,4411.33333333333,62618,97887,199784,222126,,123845,12643,1594,11869,14852,,356775,13062,27505
Seafield - Cockenzie,,9878.5,NA,NA,,,,24813,,,NA,28044.5,55788,,,,,137849,,,536188,,,,,,15877,,40115,95407,,,,,,,,480810,,,,,,,0,94424,,99976,106149,NA,,,24577,,292763,,,62549,,8330,,,,,NA,,,,,660.25,,,,,,1150761,,,44920,,,,,121966,94457,512881,,,,,,1889679,,,,,,,,,,
Seafield - Craigmillar,,,,62235,,,,,,,,70171.5,,,,,,,,,150989.5,,,,,,,,,27701,,,,,,,,,,,,,,,,,,,,,,,41904,,,,,,,248429,,NA,,,,,,,,,,,,,,29108,,,,,,,,,104701,,,,,,,,,,,,,,,,,
Seafield - Muirhouse,,,,473818,,,,,,,,52657,,,,,,,,,300188,,,,,,,,,5443,,,,,,,,,,,,,,,,,,70162,,,,,81047,,,,,,,265478,,104078,,,,,,,,,,,,,,182575,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafield - Restalrig,,,,188498,,,,,,,,458335,,,,,,,,,243617,,,,,,,,,209135,,,,,,,,,,,,,,,,,,83183,,,,,NA,,,,,,,188034,,1448156,,,,,,,,,,,,,NA,100241,,,,,,,,,274750,,,,,,,,,,,,,,,,,
Seafield - Tranent,,,,,,1111,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,
Seafield - Western General,,,89872,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,
Selkirk,,,56824.5,68583,,,,0,,,,,15905,,2568,,,,,,60977,,,,,,,,95269.5,5693,0,,,,,,,70591,,,,,,,,,,,20722,89895,,,8305,,,,0,,,97776.5,1172.5,,,,123687,0,,,,0,,,12065,39468.5,,64969,0,,38785,,,,,59180,,,,0,,,,26994,,,452,,0,,,13500,1767,
Shieldhall,18249.75,NA,51034,122435.666666667,,,0,91846.5,54728.6666666667,0,340234,136395.5,110446,67494,44601.5,53587.6666666667,207,316145.5,46897.3333333333,6013,48666.6666666667,40931.3333333333,27772.5,89685,845.5,70790,27952,12183.25,100758.5,72123.5,16119,31926,,70466.75,237.8,0,379046,148356,124687.333333333,21237.6666666667,288141.5,92058,57776,538,88512,82182.5,56144,77277.5,106523.5,658446,36695.25,30184,64978.25,23210.5,72382.5,9095,50553.5,73017,1547.25,85502.5,18428.75,48995,10151.75,0,500617.5,30688,16515.3333333333,47161.25,1463.25,74302,29926.3333333333,620629,81291,74219.5,92032.5,97104.75,19573,57308.3333333333,141559,121552.75,1462,19613,1162,404384,96144.75,152704,84951,12155,53915.3333333333,113596,170482,130375,0,,78424.5,1745.25,20378.5,44380.6666666667,,283209,8268,48916.4
Shieldhall - Barrhead,,29829,143518,332755.5,,,,65296,,,420980.5,355247,45383,,6014.5,,,121498.5,,,147461,,,,,,2735,,NA,209947,7614,,,,,,,336462,,,85436,,,,,519126,,126901,239743,713180,,,246063,,136352.5,,32991,47439,,982444,3323,,,,227920,,,,,22543.5,,,NA,,,163093,,,151368,,,,,306759,,219429,,17027,,,,127431,,,4310,,17590.5,,,564946,3494,
Shieldhall - Gorbals,,103029.5,15533.5,32358,,,,31982.5,,,301957.5,87993,144230,,62787.5,,,89048.5,,,45915,,,,,,15978,,19733,94976.5,22393.5,,,,,,,297804,,,102466,,,,,31256,,146546,66791,74444,,,17048,,78032.5,,151453.5,45923.5,,57156,13550.5,,,,117740,,,,,18303,,,,,,560835,,,88457,,,,,59565,,81175,,7229,,,,73467,,,195909,,2291.5,,,144149,7161.33333333333,
Shieldhall - Govanhill,,,,,,,,,,,,,,,1080061,,,,,,,,,,,,,,,,32677.5,,,,,,,,,,,,,,,,,,,,,,,,,,177504.5,,,,99494,,,,,,,,,,,,,,,,,,,,,,,,,,,206768,,,,,,,1468930.5,,33949.5,,,,56031.6666666667,
Shieldhall - IMAX,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,1356.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20124.2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shieldhall - Pollockshields West,,248052.4,4051.5,105233.5,,,,22145.5,,,851488.5,30017.5,31229,,,,,37600.5,,,24480.5,,,,,,38181,,NA,175950,,,,,,,,62360,,,83750,,,,,,,,60707,2174801,,,18194,,100255.5,,,7404.5,,139052.5,,51670.5,,,165526,,,,,,,,39411,33537,108578,117817,,,38599,,,,,47213,21460,10730,,,,,,258431,,,,,,,,244475,,
Shieldhall - Science Centre,,,4156,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,37686.8,,,,,,,,,,,,,0,,,2781.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotts,,30217,82867,NA,,,,283855,,,,291463,296213,,51933,7086,,191062,,,NA,62161,51129,,,,12032,,NA,34417,22946,,,,,,,98613,,,,71297,,,,,,83818,305886,,28489,,77617,,17693,,2002,,,NA,9949,258635,,,,48062,,,,0,46156,,,162128,,137049,12753,17567,,62115,,,,160885,,,70955,25921,,,182448,,,NA,6929,,5493,94781,,567675,,
Skellyton,,34342,,,,,,372332,,,518244,509829,,,4033,,,,,,120166,44522,6772,,,,39901,,335446,114596,,,,,,,,220162,,,,152127,,,,,,,1006023,,7773,,138156,,163450,,29114,,,198797,6071,3495,,,,,,,,24463,5816,,138771,,,110356,57653,195654,149447,,,,,906709,,,174325,2776,396220,,,,,,,,2221,NA,,227120,,
Springfield,,2749.5,189298.5,81900,,,,503563,,,,723177.5,,,217,,,70517,,,119363,230.5,3231,,,,11342.5,,34405,54897.5,1810,,,,,,,,,,52502,,,,854,,,58834,68345,585907,21346,,76783,,16915.5,,0,,,57629,14529.5,128596.5,,,1223607,8266,,,,,1755.5,,48847,63841,30488,66848,374,1528.5,163970,,,,,436800,51982,76328,1227,3166,8790,,,5300,,,285.5,,42516,2854.5,,228867,5588,
St Andrews,,19768,414770,595227,,,,81720.5,,,,103447,116010,,3238,,,,,,77373,0,1747,,,,18153,,147331,71946,3576,,,,,,,,139994,,196542,,,,31017,,,,83431,143927,20207,,41433,,63126,,3781.5,56843,,107982,32022.5,,,,461618.5,20706,,,,14080,26913,79869,144603.5,97213,,465735.5,4973,3501.5,197549.5,,,,,148749,,151441.5,2285.5,1376.5,19254,,,,,,16690,,35392,0,,127761,48007,
St Andrews - University (2979),,,696,8064,,,,5263.25,,,40901.5,22831.5,,,,,,209640,,,,,,,,,,,,14567,,,,,,,,,4970.5,,9339,,,,,1200,,8487,,20887,,,48.5,,,,,0,,9393,,,,,21423.5,,,,,,,,413291.5,,,1720.5,,,18475,,,,,0,,,,,,,,,,,,,,,,0,,
St Andrews - University (4964),,,22979.5,108717,,,,569,,,7835,72420,,,,,,2969,,,,,,,,,,,,22713.5,,,,,,,,,18494.5,,41949.5,,,,,,,,,14784,,,9183,,,,,0,,13087.5,,,,,17199.5,,,,,,,,55671,,,130374,,,53587,,,,,23478,,,,,,,,,,,,,,,,139976.5,,
Stevenston,,19006.5,30647.5,130221,60118,3868,,42089,,,153449.5,52467.5,42188.5,,4775.5,,,214805,,,80614,40319,4701.5,,,,18057,,16273,30285.5,1578,,,,,,135197,,25617,,73050,,,,,47717,,45474.6666666667,23932,167332,6814.5,,65813,,36668.5,,6577.5,36819.5,,15397.5,6761.5,0,,,93265,13435.5,,,,16957,26262.5,,34514,35481.5,28133.6666666667,29637,2711,13821,21949,,,,,64980,34080.3333333333,56480.5,,3620.5,,42683,50335,50685,,7675,19600,,10121,18621.5,14667,83959.5,10633,
