,2021-02-15,2021-12-14,2021-11-02,2022-01-17,2021-08-26,2021-01-07,2021-03-30,2020-12-06,2020-08-12,2021-06-23,2021-03-02,2020-10-14,2021-08-18,1899-12-31,2021-09-17,2021-02-09,2020-09-30,2020-06-04,2021-03-25,2020-07-06,2021-12-01,2021-06-08,2020-08-03,2022-01-05,2022-02-04,2021-03-08,2021-06-29,2021-06-10,2021-01-15,2021-09-24,2021-04-16,2021-08-12,2021-02-03,2020-07-27,2021-01-21,2022-01-31,2021-04-08,2021-07-09,2021-07-30,2020-06-10,2020-09-24,2021-05-31,2021-09-08,2021-12-13,2022-01-10,2021-11-05,2020-09-09,2021-02-12,2020-12-01,2021-10-21,2021-04-06,2021-05-12,2021-07-07,2021-09-30,2021-08-02,2020-11-23,2022-01-27,2021-11-18,2020-12-14,2021-05-24,2021-06-03,2021-04-30,2020-08-31,2020-08-08,2021-11-21,2021-07-27,2021-09-14,2021-03-01,2020-11-03,2021-06-19,2021-11-16,2020-10-21,2020-07-03,2021-03-20,2021-12-04,2021-02-22,2021-10-07,2021-09-01,2022-01-19,2020-11-30,2020-12-08,2021-05-19,2020-09-21,2020-10-05,2020-08-26,2020-11-11,2020-09-18,2021-08-09,2020-12-29,2020-06-15,2022-01-13,2021-02-11,2021-12-10,2020-12-02,2021-02-28,2021-07-20,2021-09-13,2021-10-19,2020-11-04,2021-03-06,2021-03-29,2021-06-04,2022-01-20,2020-10-28,2021-05-23,2021-06-14,2021-09-20,2021-10-13,2021-04-12,2021-01-11,2021-05-06,2021-08-16,2021-12-28,2021-03-23,2021-07-12,2021-12-07,2021-11-15,2020-10-22,2020-08-05,2021-11-09,2021-06-30,2020-08-19,2021-04-21,2021-02-27,2021-04-02,2021-10-25,2021-03-10,2020-11-27,2021-08-06,2020-06-23,2020-07-15,2020-09-17,2021-03-31,2021-12-15,2021-11-03,2021-08-27,2020-12-07,2021-01-06,2021-10-08,2020-08-13,2021-07-23,2021-03-05,2021-09-29,2021-01-18,2022-02-09,2021-06-24,2020-06-03,2021-09-10,2020-10-13,2021-06-09,2021-03-24,2021-11-12,2020-07-07,2021-10-14,2022-02-07,2021-09-27,2021-08-11,2022-01-06,2021-04-15,2020-11-09,2020-12-31,2021-07-08,2021-04-09,2020-06-28,2021-01-20,2020-09-25,2020-10-01,2020-08-22,2021-10-01,2021-02-24,2021-09-07,2021-04-22,2020-09-06,2021-04-07,2021-07-06,2021-10-20,2021-03-15,2021-05-13,2021-08-03,2020-06-26,2020-07-10,2021-11-22,2020-12-17,2021-05-27,2021-12-09,2022-01-24,2021-06-21,2021-07-26,2021-09-15,2021-06-18,2020-11-02,2020-10-16,2020-06-06,2021-11-11,2020-10-26,2021-07-16,2021-02-23,2022-01-18,2021-01-08,2021-10-06,2020-09-01,2020-12-09,2021-01-27,2020-09-22,2020-08-25,2020-10-06,2021-10-29,2020-11-12,2020-06-16,2021-08-23,2021-02-10,2022-01-12,2020-12-03,2020-08-17,2021-11-07,2021-05-10,2021-07-05,2021-03-16,2020-11-18,2020-09-28,2020-07-13,2020-09-11,2021-07-19,2020-10-29,2022-01-21,2021-07-29,2021-09-23,2021-05-05,2021-02-04,2021-06-17,2020-06-09,2022-02-03,2021-01-12,2020-10-19,2020-07-20,2021-05-28,2021-12-06,2021-03-22,2021-07-13,2020-10-23,2020-07-01,2020-12-18,2021-04-26,2021-09-03,2021-02-19,2021-10-05,2020-05-28,2020-09-02,2021-02-20,2021-03-11,2021-05-17,2020-08-28,2020-09-16,2021-07-02,2020-06-22,2020-07-14,2020-11-26,2021-12-16,2021-04-28,2021-02-17,2021-08-24,2020-12-04,2021-01-05,2020-08-10,2021-12-20,2021-03-04,2021-09-28,2021-06-25,2021-01-19,2022-02-08,2021-07-22,2020-10-12,2020-11-06,2020-06-02,2021-08-31,2021-05-21,2021-11-24,2020-12-11,2020-07-08,2021-04-14,2020-12-30,2021-02-01,2021-08-10,2021-10-15,2022-01-07,2021-01-17,2021-03-18,2020-10-02,2020-08-21,2020-11-16,2021-01-23,2021-02-25,2021-09-06,2020-09-07,2021-04-23,2021-01-29,2021-03-12,2021-07-01,2021-10-27,2021-05-14,2021-08-04,2020-11-25,2020-07-17,2020-09-15,2020-10-31,2021-05-26,2021-11-23,2021-12-08,2021-06-01,2020-12-16,2022-01-25,2021-09-16,2021-02-08,2021-03-03,2021-08-19,2021-06-22,2020-10-15,2021-11-29,2021-11-10,2021-03-26,2020-10-27,2021-06-28,2021-05-03,2021-06-11,2022-01-04,2021-03-09,2021-02-02,2021-08-13,2021-01-14,2021-10-28,2021-01-26,2020-09-23,2020-08-24,2020-10-07,2020-11-13,2020-06-17,2021-11-04,2021-09-09,2020-09-08,2021-08-20,2022-01-11,2020-08-14,2021-03-17,2021-05-11,2020-12-21,2021-04-05,2020-09-29,2020-11-19,2021-10-22,2020-06-24,2020-09-10,2020-11-20,2021-06-02,2020-12-15,2021-05-25,2021-11-19,2022-01-26,2020-08-09,2021-06-16,2021-01-13,2021-02-05,2021-05-04,2022-02-02,2021-10-11,2022-01-03,2021-09-22,2021-07-28,2020-06-08,2021-04-10,2021-11-17,2022-01-28,2020-06-30,2020-08-07,2020-10-20,2021-07-10,2021-02-18,2021-04-27,2021-10-04,2021-09-02,2020-05-29,2021-02-21,2021-12-19,2020-09-03,2021-01-25,2020-11-10,2021-05-18,2020-09-20,2021-12-17,2021-01-04,2021-11-01,2021-04-29,2022-01-14,2021-08-25,2021-02-16,2020-08-11,2021-10-18,2021-07-21,2021-04-19,2020-07-28,2021-03-07,2020-06-01,2021-11-25,2021-06-07,2021-08-30,2021-05-20,2020-12-10,2021-09-21,2021-04-13,2022-02-01,2021-12-29,2021-06-15,2021-05-07,2021-10-12,2021-08-17,2021-02-06,2021-11-30,2021-01-22,2021-03-19,2020-11-17,2020-08-20,2021-11-08,2021-02-26,2020-08-18,2020-09-04,2021-04-20,2021-10-26,2021-04-01,2020-11-24,2021-08-05,2020-10-30,2020-09-14,2020-10-09,2020-06-19
Banchory,,,,74842,,,,,,583,,,,,,,,,,,,1225,,,,,,1675,,,587,,,,,NA,,18342,7295,,,,,,,,,,,,,,,,13843,,,,,,556,369,,,,,87542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15506,,,22461,,92211,,,,9979,,,,,,,,,,,,,118184,44657,,,,,,,,,,,,,114549,,,,,,,,,6874,,,,,,,,,,,,191309,,1118946,,,,,75863,,,,,,86454,,0,39193,,1462,19651,,5795,,,,,,30711,,,,,,,,,,,,,,247314,,,,,,NA,35086,,,,,,67907,,,,,2203,,,,239706,,,,,20734,,,,,,,,,,,,,,,,,12901,,,,,2392,,,,,,NA,,,,,,,,,,77486,,87808,,,289,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,426,,,,,,,,,63127,122832,,,,,,155533,,,49422,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,9716,,,,,,,,,,,,,,,,,,,121617,202202,,,,,,,993,,,,NA,,,,,,123604,,,,,,,,,0,,,,,,,1308,,,,,,,,,640384,,,,,,,,8330,,,,
Banff,,,,171043,,,,,,1175,,,,,271561,,,,,,86204,,,,123349,,,,,,,,,,,,,143045,35817,,,430,629511,,,NA,,,,,,0,20337,,,,,,,,,0,,,,,,,,,,,,,,,,725114,139920,,,0,,,,,,,,,,,7006,,,,,,,,,6326,,,,150,445335,NA,465,,,,,,NA,,146879,,,,,,,,,201780,,,,,,,,78066,NA,375741,,,145079,,193025,,,,,,,677737,,767,,46116,,,55136,,,,,,,,,,,,,,,,,,,,,98550,,,,,,115065,,,,,0,97349,,337,,,,,,77679,,,,,,,,,,,685265,,,,,,,,,1133,50219,,,,,,18419,,112082,,,924,,,,,,,,0,NA,,,,,,0,1657434,,,,,,,949,,,82690,,,,,1792,,,,,,190860,,,8076,,,,,,,,936,95417,,,NA,,,,142876,,,,,,,,,1279859,,0,,,,79960,0,,,,,,901,,14904,,,,,,,,,,39005,41354,,,35081,444,9360,,,,,,,,,,,,,,,,,,,,,,,,,40190,,,,,,0,81824,,,211,,,,,177742,116272,,,,,,NA,,,,,,,640685,,,,,,,,,,103886,,NA,,,,,,,,0,,,,,402,871845,,,,,,,,1649,,,,,,,,,89417,,,,,,,,21459,,,,
Bathgate,40004,113418,30381,,,,,,,197241,54297,,161264,,,,,,3682,,,,,42000,218791,,,,,,,,,,0,,,,,,,0,205206,,,,,,,,NA,,,,,,47297,NA,38394,,,,,,,54632,233655,,,,120845,,,,,,,,,,,,,,,,,,,,26622,,,,,114721,,85045,,,,,88486,,,599,,,1785,,,,,,,41578,,,,48230,,,,,24433,,,,,,,,,,,,,,,,513757,,,,,,,,,NA,11927,,,,,,,,,,,265670,,,,,,,89090,,,,,NA,66978,97351,,,,,,,,5542,NA,,22554,,,,,,,275018,,,18848,,12293,,,,,,,,,,,,12926,,,,,NA,,,,,,,,,,51751,,5835,,,,,,,,,,,93447,,,,3651,194213,46940,168380,,,,7454,,,,,,,,69085,,,,,,,282818,,,,,80217,,,,,203006,NA,,,,,,72119,,,,,13436,,,,,59636,,,,,9954,558525,,,,,,,,NA,NA,,,,,,110433,33989,,,,,,,,362803,,,,,,,,41717,,,,,,,90602,,,,,,13965,18425,,,,,,,,,33808,,,,,,NA,13479,,3445,,,,,,,,,,,,,,,4468,,,,,,,61048,,,,,,,,,,,,,,,,,,191942,5091,,6906,,,2950,59328,,,,,,,NA,,,,,,,,,,NA,51697,,,,,,
Biggar,,,,,,,,,,,,,,,,,,,,,,,,,,64461,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,,,,,,,,,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,20530,,,,,,,,,,,,,,20087,,,,,,,,,,,,,,,,,1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,641,,,,,,,,,,,
Blackburn,56749,,,,,,,,,,,,,,,,,,,,,,,,93510,16111,,,,122511,,,,,,,,296220,,,,55582,252766,88529,,75945,,,,,,,,,,,,,,8909,,30175,,,,,,11786,,,,,,,,49144,,,147076,,,,,,,,,,,,,,21315,,,,,,,,23351,27283,,,,55844,65610,,9532,21683,,,,,180053,,128547,,,,,,,,8877,NA,,,,,,,,,,,,23016,,,,15539,,14462,,,,133705,,,,77323,,,57506,,,,,,,,12176,,,,,,4363,,,,,,,,11392,,,,,53918,4447,,,,26107,108830,,21155,,,,,,169580,,,,,,,,,,,344623,,,,,,,,,3255,142083,,,,,,98734,,76795,,,,,,,,,,,25475,235966,5434,,,,,24216,230443,,,,,,,29388,,,172561,,,,,,,,,42841,,236362,,,46866,,,,,,,,3188,,,,,,22147,,195192,,,,,,,,,667298,,35621,,3924,,,1498,,,,,,,,,,,,,43062,,,,,115515,,47815,,139077,12251,52663,,,,42617,,,,,,,,,,,,,,,,,,23828,,,45915,,,,,,,60535,,,,,,,,76257,71588,,,,,,187180,,,,,,,38787,,,,,,2450,,,,NA,54829,NA,,,,,,30045,,,,,,,68005,1239318,,,,,,,,3143,,,,,,13685,,,107865,,,,,,,,,,,,
Blackridge,49866,223012,9406,,,,,,,53228,16631,,,,,,,,5157,,,,,14070,84540,,,,,,,,,,6648,,,,,,,,,,,,,,,,157271,,,,,,25290,96790,,,,,,,,409003,1165431,,,,49798,,,,,,,,,,,,,,,,,,,,43349,,,,,103366,,,,,,,9495,,,2462,,,405827,,,,,,,89667,,,,1749,,,,,19474,,,,,,,,,,,,,,,,,,,,,,,,,27227,9940,,,,,,,,,,,2126044,,,,,,,NA,,,,,94463,274474,37892,,,,,,,,3357,,,21593,,,,,,,NA,,,137177,,2365,,,,43456,,,,,,,,33872,,,,,39428,,,,,,,,,,156533,,7316,,,,,,,,,,,5007354,,,2065,10367,174238,93822,,,,,840,,,,,,,,24430,,,,,,,NA,,,,,68581,,,,,134875,27670,,,,,,97715,,,,,3908,,,,,86958,439697,,,,385,66281,,,,,,,,52673,57562,,12490,,,NA,70668,2711,,,,,,,,74899,,,,,,,,62614,,,,,,,33931,,,,25306,,2404,27365,999,,,,,,,,21356,,,,,,43639,3979,,17639,,,,,,,,,,,,,,,8272,,,,,,,,,,,,,,,,,,,NA,,,,,,117296,8670,,22111,,,,195279,,,,,,,87358,,,,,,,,,,33320,29152,,,,,,
Blackwood,55129,227841,,,,,,,,18537,,,232701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22253,,,,,0,,710422,,,,,,,,,,,,,269243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858,,13138,,,,,17746,,,,6116,,,,,,,,,,,,,,,,,,,,,,,,,,,64848,,,,,,,,,,,,,,,,,,,,,,,,49997,,,,,,,,,,,,,93197,,,,,,,,93444,,120248,,,,25518,,,,,,,,9784,,,,,0,,,,,,,,,,,,,,,,,,,,17432,,,1222774,,,,,,,30680,,,,633,,,,,,,,,,,,,,,,,,,,219183,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,36023,,,,,4736,,,,,,,,,,59357,40460,,98253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51225,,,,406621,,NA,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,644470,,,,,,,557769,NA,,,,,,38819,,,,,,,1988,,,,,,,,,,,,,,,
Blairgowrie,,41212,181488,227332,,,,,,,,,,,,,,,,,,4231,,,,,,,,,,,,,,,16660,,,,,,,,,,,,,,,5717,85490,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,57652,,,,,,,,,149057,1130147,,,,,,,,,277884,,,,,,,,,31615,,,,117032,,,,,,,,,,,,,30109,,,,,,,,,,,,,,,,,,82158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17855,121448,,,,,,,,,8067,,,,,,,,,,452409,,,102601,,,,,,,,,,,,,38453,,,,,0,,,,,,,,,,,275281,,,,1133,,3130,,,,,,2470,,,,,,,,,,,,,,NA,,,,,,,,,,155956,,,,,,,,,,,,127712,,,,,,,,,,,,,,,,,,,,613077,,13043,,,,,,,,,,,,,26308,,,106647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31463,,,,,,,,,,,,,,,,,,,,,,2614,,,,,,,,,,,19224,,,111647,,,,,,,,,,,,,,,81673,,,,
Boness,,,,,,,2546,,,,3327,,,,,,,,,,,6646,,215601,,4384,,2254,,29819,,,,,,,,NA,70719,,,,,116390,,,,,,,,1312,91907,,,,,,,,11915,,,,,,,2034,,,86006,,,,,25461,,,51399,,,,,,,,,,,,,,198415,,,,,,,,4370,,,,,310,,,4525,,397,,,8187,,91986,,,,,22167,,,,,,,,,,,,,223524,26147,,,,,,42165,,,,,55544,,,,,,,,,100631,,,,,,,,,,,,,,35057,,1000681,,,14794,,16752,1929,2436,,,,85246,,,,,20065,,42662,,,,,,,336147,170938,,,,,,,,,,,,,,,,,,,,,31599,,,,,,,,,,,,,,,,,,,,8128,,,,,1469,,18497,20156,,,,,,,,170294,,,,,,,,,,,,,,,,,,,,,273959,,35143,,,,,,,,,,,,,,,,,,,,,,266724,,90181,,,,,0,,,0,,,,,,,,,,31314,,,,,,,1299,,,,,,,,,,,,244206,,,67022,,,,,5066,,,42134,,,,,,2819,23725,,,0,,,322,54322,,,,,,,,,,,,,48793,0,,372499,,,,,,,1157,,,,35568,,,,,,,84470,,,,,,,,2810,,,4861,,,,,,,,,,,,,31028,,,,,,,,,,,,
Bonnybridge,,211546,NA,,,,,,,17589,19936,,,,,,,,,,,,,,,11405,,,,,,,,,,,1450,,,,,,287601,,,48195,,,,108100,,,146492,293844,,,51952,73771,,,13320,750,,,,,,122460,,,54771,,,,,39955,,,,,,,,,,,,,,,,,,,,,,85899,,,73785,,,,,,,,5485,,547,,,29800,46302,108920,,,,72641,113882,,,,,,,,,,,,8837,,,148862,,,,,,,,,,,,,,2997,,,,,,,,,,,,,,,,,,,,,,,,,,,11166,15895,,,,,,,,,30656,76161,287630,7366,,,,68111,,,53914,80559,,110571,,,,,,,121156,,,218560,,111253,,,,NA,240127,25104,,,,,113820,,,,,,,,,,,,,23711,,35084,,,,,2287,231872,44559,,,,,,,,,241480,,,,77978,,,,,,,,,,,,,,,,,110970,,,,,,,,,,,,,,,,,,679911,,,,,,57133,,,,,,,,407266,,40522,,,,,,,,,,,,,,,,,12785,,,,,,,,,,,,,,,,,,,,16234,,,,,,,,,30121,,,,9692,,,6321,,,,,,,,,,,,,,84615,,272790,,,,,,,,4118,,,,,,,,,,,,,,,,472239,23140,,3910,,,1209,165262,,,,,,,378204,,,,,,,,,,,,,119024,,,,
Bothwellbank,,,,,,,,,,,,,,,,,,,,,,,,,,10933,,,,,,,,,,,,,,,,11258,,,,,,,,,,,158116,,,,,,,,,,,,,,658297,,,,,,,,,25492,,,,,,3117,,,,,,,,,,,,,,,,,,,7377,,,,,17020,311387,,8236,67947,,,,,,,68928,,,,,,,,,,,,,,,,,259310,70341,,,,,,,,,31869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15112,,,,,,,,,,14392,196492,,,,,,94872,,,,,50564,,,,,,,,,,,,,,,,,,,,,,,,66028,,,,,,,,,,,,,,44827,8447,479350,,,,2303,,,129797,,,,,,,,,,,,,,,,,,,750128,24338,,,,112338,,,,,,,,,,,,2885,,,,,,,,,,,1298700,,,,,,161250,,,,,,,,,,,,,,20710,,,,,,,,,25530,,,380537,,,,,,52351,,,,,,,,,,,,,,,8169,,,119477,,,,,,7115,,,,,,,4731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46224,,,,,,,,101074,10441,904681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowhouse,,,,,,,608,,,,4400,,,,,,,,,,91000,,,,,,,1951,,,,,,,,,0,20671,,,,1548,,,,317055,,4175,,78510,,,,,,,81463,,,,923,0,,,,,,1048,,,,,,,,,,111089,,,,1101,,,,,,,,,,16320,13936,,,,314952,115134,,,,,,,,29098,61145,,,,0,,,869,,,,,,,39580,,,,,,2314,,,,,,,,38250,219176,,,,,,,,,,34818,,,,,,116259,,,144843,133036,,,,,,,0,,,,,,,,409775,,,,,,,,,,,,,389,,,,,,,,,,,,89756,1064,,,,,,,,,,216359,,,,,103001,,,,NA,20178,,,,,,,,53063,,,,10342,10378,,,,,,,,342,56598,,,,,,,,,,,,,,,,,,,,338,461,,,,,,,,,,,,,,,,0,76947,,,NA,,,,,,,322,,,,,0,,,,32051,,,164499,,,,,,,,,65007,,,,,,,,84589,,,190655,,,23866,,,134210,5492,,,,,,,,,,,,,,,,,1327,,,,,,,,,,,,475,NA,,,,,,0,,,,48357,,,,74342,,,,,,,,190533,,,,,,,,,,106796,,,,118805,,1304,,,,,,,,,8975,826366,,,,,,,,,,,,,,,,,,,,,,,753,,,,,,
Buckie,,28464,105372,,,,,,,,,,,,113008,,,,,,,15799,,,,,,,,,,,,,,,,83831,55454,,,,,,,141912,,,,,,,,,,,,,,,,,,,,45579,61420,,,,,,,,,,,,,,,,,,,,,,,,,,40958,,,149386,,,,,,,,,,,,,,,,,,,,36154,,,,106330,11383,,,,,,,,,,,,,,,77262,,,,,18573,,,,,,,99632,,,,82655,,,,,,,,,,,,,,,,,,,NA,,,,324439,NA,,,,,,,,,,,,,,NA,,,,,,161953,,,,,,,,,,,714639,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,149260,,,,,NA,,86226,,,,,,,,117335,,,,,,,,,,,,,,74902,,224849,,,,,25202,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,124322,,,,,,,,,1011,,,,,,,,405,50414,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,NA,,312356,,,NA,,,,,,,,,,261192,,,,,,,
Carbarns,23692,,68779,,,,,,0,23012,,123713,,,585505,,75439,,,,210989,23786,,155126,270165,51730,,,,,,,,,,173182,,,,,,13315,,186146,338844,,2754,,26955,,36724,6156,151368,,,39938,,,,,11479,,,,,,886406,21873,,,83257,112348,,,,,,275439,,137712,45852,,87009,128115,9785,79639,53798,253173,NA,0,,,59764,23853,,,,,21233,,57107,,115100,87038,,,340933,119166,54393,106825,8324,,,,336637,,175108,,,234267,,0,,,,,,,,,,,,406078,201012,514650,72567,,,,,,NA,,,,,,43318,,31356,,,,,389370,,NA,45424,46252,,146856,,,34941,27573,,,,,3353197,,,,,130370,,5376,650623,,,217768,,2311,,133248,,176516,,,65402,66513,,,203646,,48323,232250,,237130,12854,34999,,71228,6811,59558,,,0,259367,72778,175407,,0,,,,,29840,51618,,2505,236968,43032,223888,357881,311653,,,19642,,,,47709,,7739,240777,33907,,135226,,,,,,263237,0,11620,,,,4107,1218,,,,,,,,,,98845,0,723058,,,65976,,218277,293703,32978,153409,,,7269,151143,200869,,,,168393,146485,,,,45899,55566,0,67226,,,NA,,,,,174552,346503,,169370,6972,,10541,,,177230,30654,,,234217,,,,49488,,,,53469,,175764,,,,NA,28097,,,,,,70168,0,60027,198753,,,,,,,0,46749,,,20599,31216,,,,,,,57628,,,,,27862,,,,268313,207104,,,,,,,169391,,0,,,,,,,,,,,101195,68405,,,370787,,222725,12130,171723,,,0,221238,,,,,,,30787,1018394,5205,,,,,776790,,4490,,129402,,,,,59625,,193289,,0,3205,,174943,19625,65585,,,1988,,0
Coldstream,3928,,,18310,,,,,,5071,45257,,NA,,76026,,,,836,,,,,,,4034,127303,,,,,,,,,17720,0,,13618,,,,,547424,,,,40602,,,NA,,,,43090,,,,,484,,335,,,,,,61339,,,,,,,,,,,,,,,,,,,,160692,,,,5569,,,,132603,,,,,,,,,,128,,,0,,,NA,,,57193,,407491,,,133659,,,,,,,,,288140,,,,0,,,191987,,,,,,,,,,,,269381,,,,,,,22183,10415,,,,,,,,,,,,,93153,,,,,,59841,,443,,,,,96537,,,,,0,173925,,,,,,,,,,,,,,,,,,,15652,,,108297,,,,,,0,19602,1352,,,,,,,,,,,,,,,,,,481,8435,,40625,,,,392,674858,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,59636,,,,,,,59669,1460,,,,,,,,,0,,,,,,,,,,,317,,174892,,0,,2884,,NA,,,,,,,,,,,,,,,,,,,,,18765,,,,1598,,,,,,,,,0,,,,,,,,,,,,,,,,28456,,,,,,,,,,,,4999,,,,7441,,63471,35044,,,,,,0,603839,,,,,,,4815,,,,,,,,,,,16550,,,,,0,,,,,,
Cumnock,,30909,,,,,9513,,,,,,,,,,,,,,,,,,,12468,145126,,,,,,,,,,,,,,,,,,,781473,,,,,7508,,,,,,,199297,,,,,,,,,,42624,,,,,,,,,,,,,,0,,,,,,,,,,,,,,75879,,,,,,,,,,,,,2989,,,,,,,117505,,,,,,,,,,,,,,,,,,,,,,,,,,,94953,,,,,,,24304,,,,,,,,,,,,,,,,,,,,,,,,,440415,,13535,,,,,,,,,66512,,161820,446588,,,,,,,,75691,,,,,,,,,,,,,,,,,,,1580,,,,,,,,,,,,,,,,64678,,,,,,30013,107927,,,,,,85619,,,,,,,,,,,,,,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143341,,,,,,200253,,,,,,,1377,,,,,,,,,,22342,,,,,,,,,226703,,,,,,,,,,,,,,,,,,,,,,,,,,,,43794,,,,,,17045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71331,,,,,,,,254938,,,,,,,,842,,,,42678,,,,,,,,,,,,,,,,,
Cumnock - Netherwood,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9652,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13792,,,,,,,,,,,,,,,,,,,,21076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5178,,,,,,,,,,,,,,,
Cupar,,,,,,,1393,,,,15681,,,,,,,,,,131622,,,,,,,583,,,,82022,,,,,870,NA,,,,3830,,92012,,83312,,1214,,74425,,,,,,,47978,,,,0,0,,,,,,341,,,,,,,,,,96862,,,,329,,,,,,,,,,441,32120,,,,,58624,,,,,,,,23563,,,,,0,,,1345,,,,,,,,,,,,,941,,,,,,,,48641,,,,,,,,86126,,166828,15041,,,,,,125213,,,161535,104550,,NA,,,,,1308,,,,,,,,285446,,,,,,,,,,,,,0,,,,34196,130009,,,,,,,75836,20524,97391,,66647,,,,,,,40606,,,,,,,,,7124,,,,,,,12456,,,,,,3918,4786,,,,,,,,920,39699,,,,,,,,,,,,,,,,,,,,0,626,,,,,,,,,,,,,,,,0,125869,,,3962,,,,,,,27712,,,,,351,,,,1645,,,166743,0,,,,,,,,NA,,,,,,,229309,103427,,,60111,,,118531,,,210151,14727,,,,,,,,,,,,,,,,,34726,,,,,,,,,,,,0,189139,,,,,7785,0,NA,NA,,31081,,,,107175,,,,,,,,NA,,,,,,,,,,115019,,,,,,0,,,,,,,,,542,144724,,,,,,287829,,,,,,,,,,,,,,,,,1031,,,,,,
Dalbeattie,,,,,,,,,,,40128,,,,,,,,,,,,,,100502,1365,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,NA,,,,,,,2270,7650,,,,,,,,,NA,,,,73584,,,,540,,,,,5281,,100264,0,,,,,45707,,,39954,,,,2340,,,,,50837,,0,,,,,,82204,,,,,,,,,,,,,,,12905,,,,,,115261,150482,,,,,,,,,,,,,,,NA,,,,,137231,2931,,48651,,,146533,,,,,,,,,,,,,,,3081,,944,75700,,,,,,,,,,,,,,0,,0,6697,,,,,,,,342847,,,,,,,,,,,,,,9748,,,,0,,,,,,NA,,0,,,,,,,,,,657226,582,,,444036,,,,,,,,,,,,,0,,,,,32342,193586,,,,,,,,,,,,NA,,,,,,,,,,,,,,0,,,2918,,773950,,,,,,610,,NA,,NA,,,,1535,,,,0,,,,,,,,,,,,,,20441,,,,,,0,,,,,,,,NA,,,,,,,,,,,,,2498,,,,,315605,,,,,,4541,,,,,NA,,NA,,,,,63969,,,,,,,,,,33876,,,,,,161616,,,72653,NA,,,,128074,,,,,,,,,,0,,
