,Site,Year,Month,Week,x
3871,Lanark,2021,08,33,136108
3872,Langholm,2021,08,33,NA
3873,Lerwick,2021,08,33,0
3874,Lesmahagow,2021,08,33,19242
3875,Linlithgow,2021,08,33,37191
3876,Loch Ryan,2021,08,33,18224
3877,Lockerbie,2021,08,33,190775.5
3878,Lossiemouth,2021,08,33,83684.6666666667
3879,Meadowhead,2021,08,33,206032.333333333
3880,Meadowhead - Kilmarnock HMP,2021,08,33,2291.5
3881,Newburgh,2021,08,33,14581
3882,Newport & Tayport,2021,08,33,29280
3883,Newtown St Boswell,2021,08,33,19250
3884,Nigg,2021,08,33,121439.5
3885,Paisley,2021,08,33,282408
3886,Paisley - Blackhall,2021,08,33,142054.5
3887,Paisley - Brediland,2021,08,33,0
3888,Peebles,2021,08,33,48722
3889,Perth,2021,08,33,170479
3890,Peterhead,2021,08,33,55751
3891,Philipshill,2021,08,33,145814
3892,Seafield,2021,08,33,161808.666666667
3893,Seafield - Cockenzie,2021,08,33,137849
3894,Shieldhall,2021,08,33,316145.5
3895,Shieldhall - Barrhead,2021,08,33,121498.5
3896,Shieldhall - Gorbals,2021,08,33,89048.5
3897,Shieldhall - Pollockshields West,2021,08,33,37600.5
3898,Shotts,2021,08,33,191062
3899,Springfield,2021,08,33,70517
3900,St Andrews - University (2979),2021,08,33,209640
3901,St Andrews - University (4964),2021,08,33,2969
3902,Stevenston,2021,08,33,214805
3903,Stevenston - Stevenston East,2021,08,33,151433
3904,Stevenston - Stevenston West,2021,08,33,158489
3905,Stirling,2021,08,33,NA
3906,Stirling - University,2021,08,33,4182.5
3907,Troqueer,2021,08,33,350389
3908,Turriff,2021,08,33,36166
3909,Allanfearn,2020,08,34,698
3910,Annan,2020,08,34,0
3911,Carbarns,2020,08,34,0
3912,Dalbeattie,2020,08,34,0
3913,Dalmuir,2020,08,34,1738
3914,Dalscone,2020,08,34,0
3915,Dunfermline,2020,08,34,2718
3916,Falkirk,2020,08,34,0
3917,Fort William,2020,08,34,0
3918,Galashiels,2020,08,34,0
3919,Hamilton,2020,08,34,954
3920,Hatton,2020,08,34,10714
3921,Hawick,2020,08,34,0
3922,Helensburgh,2020,08,34,0
3923,Kirkwall,2020,08,34,36871
3924,Lerwick,2020,08,34,0
3925,Levenmouth,2020,08,34,376.25
3926,Lockerbie,2020,08,34,0
3927,Meadowhead,2020,08,34,0
3928,Nairn,2020,08,34,0
3929,Nigg,2020,08,34,8938
3930,Peebles,2020,08,34,0
3931,Philipshill,2020,08,34,0
3932,Seafield,2020,08,34,0
3933,Shieldhall,2020,08,34,1547.25
3934,Stirling,2020,08,34,0
3935,Stornoway,2020,08,34,0
3936,Troqueer,2020,08,34,0
3937,Allanfearn,2021,08,34,290007.75
3938,Alloa,2021,08,34,340498.5
3939,Annan,2021,08,34,517191
3940,Aviemore,2021,08,34,144177
3941,Banchory,2021,08,34,247314
3942,Banff,2021,08,34,375741
3943,Blairgowrie,2021,08,34,102601
3944,Bonnybridge,2021,08,34,183711
3945,Bowhouse,2021,08,34,219176
3946,Buckie,2021,08,34,77262
3947,Carbarns,2021,08,34,387008.5
3948,Coldstream,2021,08,34,150142
3949,Dalbeattie,2021,08,34,657226
3950,Daldowie,2021,08,34,162266
3951,Dalmarnock,2021,08,34,264205
3952,Dalmuir,2021,08,34,227325.5
3953,Dalmuir - Auchinairn (6298),2021,08,34,265238.5
3954,Dalmuir - Auchinairn (6330),2021,08,34,347715
3955,Denny,2021,08,34,66581
3956,Dunbar,2021,08,34,162048
3957,Dunblane,2021,08,34,59956
3958,Dunfermline,2021,08,34,383694
3959,Duns,2021,08,34,11605
3960,Fairlie,2021,08,34,12133
3961,Falkirk,2021,08,34,108530
3962,Fauldhouse,2021,08,34,540477
3963,Forfar,2021,08,34,84464
3964,Forres,2021,08,34,59636
3965,Fort William,2021,08,34,195740.5
3966,Fraserburgh,2021,08,34,118549
3967,Galashiels,2021,08,34,425367
3968,Guardbridge,2021,08,34,75487
3969,Hamilton,2021,08,34,454507.5
3970,Hatton,2021,08,34,188996.333333333
3971,Hatton - Fintry East,2021,08,34,13075
3972,Hatton - Fintry North,2021,08,34,322374.5
3973,Hatton - Fintry West,2021,08,34,89672
3974,Hawick,2021,08,34,155165
3975,Helensburgh,2021,08,34,3923
3976,Huntly,2021,08,34,292395.5
3977,Inverclyde,2021,08,34,106049
3978,Inverclyde - Gourock,2021,08,34,255345.5
3979,Kirkwall,2021,08,34,20943
3980,Langholm,2021,08,34,25454
3981,Lerwick,2021,08,34,3066
3982,Loch Ryan,2021,08,34,76294.5
3983,Lockerbie,2021,08,34,237934.5
3984,Lossiemouth,2021,08,34,79799.6666666667
3985,Mauldslie,2021,08,34,324400
3986,Meadowhead,2021,08,34,255974
3987,Meadowhead - Kilmarnock HMP,2021,08,34,14879
3988,Nairn,2021,08,34,204045
3989,Newburgh,2021,08,34,66043
3990,Newtown St Boswell,2021,08,34,75880
3991,Nigg,2021,08,34,271819.5
3992,Paisley - Blackhall,2021,08,34,223024
3993,Paisley - Brediland,2021,08,34,9458
3994,Peebles,2021,08,34,32348
3995,Penicuik,2021,08,34,541256
3996,Peterhead,2021,08,34,19149
3997,Philipshill,2021,08,34,892467
3998,Sanquhar,2021,08,34,43425
3999,Seafield,2021,08,34,213909.666666667
4000,Seafield - Cockenzie,2021,08,34,NA
4001,Shieldhall,2021,08,34,340234
4002,Shieldhall - Barrhead,2021,08,34,420980.5
4003,Shieldhall - Gorbals,2021,08,34,301957.5
4004,Shieldhall - Pollockshields West,2021,08,34,851488.5
4005,Skellyton,2021,08,34,518244
4006,St Andrews - University (2979),2021,08,34,40901.5
4007,St Andrews - University (4964),2021,08,34,7835
4008,Stevenston,2021,08,34,153449.5
4009,Stevenston - Stevenston East,2021,08,34,180893
4010,Stevenston - Stevenston West,2021,08,34,785548
4011,Stirling,2021,08,34,106778
4012,Stirling - University,2021,08,34,8189
4013,Stornoway,2021,08,34,84717
4014,Troqueer,2021,08,34,148130.5
4015,Turriff,2021,08,34,24464
4016,Winchburgh,2021,08,34,135415
4017,Allanfearn,2020,08,35,353.5
4018,Annan,2020,08,35,0
4019,Carbarns,2020,08,35,5175.75
4020,Dalbeattie,2020,08,35,0
4021,Dalmuir,2020,08,35,10913
4022,Dalscone,2020,08,35,0
4023,Dunfermline,2020,08,35,1155.5
4024,Falkirk,2020,08,35,0
4025,Fort William,2020,08,35,689
4026,Galashiels,2020,08,35,0
4027,Hamilton,2020,08,35,698
4028,Hatton,2020,08,35,8360
4029,Hawick,2020,08,35,3893
4030,Helensburgh,2020,08,35,0
4031,Kirkwall,2020,08,35,4418
4032,Lerwick,2020,08,35,0
4033,Levenmouth,2020,08,35,1616.5
4034,Lockerbie,2020,08,35,0
4035,Nairn,2020,08,35,0
4036,Nigg,2020,08,35,2389.75
4037,Peebles,2020,08,35,0
4038,Philipshill,2020,08,35,670
4039,Seafield,2020,08,35,1594
4040,Shieldhall,2020,08,35,1745.25
4041,Stirling,2020,08,35,439
4042,Stornoway,2020,08,35,0
4043,Troqueer,2020,08,35,0
4044,Allanfearn,2021,08,35,318495
4045,Allers,2021,08,35,960625
4046,Alloa,2021,08,35,508699
4047,Alva,2021,08,35,259762
4048,Ardoch,2021,08,35,17081
4049,Armadale,2021,08,35,550148
4050,Banchory,2021,08,35,77486
4051,Banff,2021,08,35,871845
4052,Bathgate,2021,08,35,203006
4053,Blackburn,2021,08,35,1239318
4054,Blackridge,2021,08,35,134875
4055,Blackwood,2021,08,35,557769
4056,Blairgowrie,2021,08,35,155956
4057,Boness,2021,08,35,273959
4058,Bonnybridge,2021,08,35,110970
4059,Bothwellbank,2021,08,35,904681
4060,Bowhouse,2021,08,35,826366
4061,Buckie,2021,08,35,25202
4062,Carbarns,2021,08,35,1018394
4063,Coldstream,2021,08,35,603839
4064,Cumnock,2021,08,35,254938
