,Health_Board,Site,Date_collected,Date_analysed,SW_sample_number,N1_description,N1_Reported_value-gc_per_L,N1_Repl_1-gc_per_L,N1_Repl_2-gc_per_L,N1_Repl_3-gc_per_L,Calculated_mean,Standard_Deviation,Flow-L_per_day,Ammonia-mg_per_L,pH_value,Modelled_flow-L_per_day,Million_gene_copies_per_person_per_day,Analysis_lab
3273,Forth Valley,Denny,2021-05-04,2021-05-05,14890646,Positive (DNQ),    3905,    5187.91,    2622.87,NA,    3905.39,   1813.75,NA, 22.41,NA,  6463582,    2.24,SEPA
3274,Forth Valley,Denny,2021-05-06,2021-05-07,14897497,Positive (DNQ),    5983,    6703.34,    5263.99,NA,    5983.67,   1017.77,NA, 18.01,NA,  7330383,    3.89,SEPA
3275,Forth Valley,Denny,2021-05-10,2021-05-11,14908986,Positive (DNQ),    3746,    2815.90,    4676.26,NA,    3746.08,   1315.47,NA, 17.53,NA,  7445280,    2.47,SEPA
3276,Forth Valley,Denny,2021-05-13,2021-05-14,14921231,Positive (DNQ),    6776,    4482.51,    9069.77,NA,    6776.14,   3243.69,NA, 14.77,NA,  8217061,    4.93,SEPA
3277,Forth Valley,Denny,2021-05-18,2021-05-19,14936605,Positive (DNQ),    9499,    8911.98,   10086.31,NA,    9499.15,    830.38,NA, 20.79,NA,  6748930,    5.68,SEPA
3278,Forth Valley,Denny,2021-05-20,2021-05-21,14949943,Positive,   51304,   52058.72,   50550.91,NA,   51304.82,   1066.19,NA, 21.14,NA,  6684372,   30.39,SEPA
3279,Forth Valley,Denny,2021-05-25,2021-05-26,14961208,Positive,   12836,   13048.65,   12624.33,NA,   12836.49,    300.04,NA, 17.35,NA,  7489654,    8.52,SEPA
3280,Forth Valley,Denny,2021-05-28,2021-05-31,14972245,Weak Positive,     323,       0.00,     647.13,NA,     323.56,    457.59,NA, 19.57,NA,  6988047,    0.20,SEPA
3281,Forth Valley,Denny,2021-06-01,2021-06-02,14986477,Positive (DNQ),    3397,    3939.71,    2855.21,NA,    3397.46,    766.85,NA, 19.43,NA,  7016992,    2.11,SEPA
3282,Forth Valley,Denny,2021-06-03,2021-06-04,14995294,Weak Positive,     918,    1836.62,       0.00,NA,     918.31,   1298.68,NA, 20.30,NA,  6842246,    0.56,SEPA
3283,Forth Valley,Denny,2021-06-07,2021-06-08,15008454,Weak Positive,     838,       0.00,    1675.12,NA,     837.56,   1184.49,NA, 19.33,NA,  7037869,    0.52,SEPA
3284,Forth Valley,Denny,2021-06-09,2021-06-10,15020372,Positive (DNQ),    2324,    2085.81,    2561.25,NA,    2323.53,    336.19,NA, 21.17,NA,  6678916,    1.38,SEPA
3285,Forth Valley,Denny,2021-06-16,2021-06-17,15032216,Positive (DNQ),    6080,    6091.73,    6068.01,NA,    6079.87,     16.78,NA, 18.80,NA,  7151425,    3.85,SEPA
3286,Forth Valley,Denny,2021-06-18,2021-06-21,15044965,Positive,   65869,   66652.22,   65085.80,NA,   65869.01,   1107.62,NA, 21.76,NA,  6574048,   38.38,SEPA
3287,Forth Valley,Denny,2021-06-22,2021-06-23,15065503,Positive,   28292,   26187.30,   30397.18,NA,   28292.24,   2976.83,NA, 20.88,NA,  6732167,   16.88,SEPA
3288,Forth Valley,Denny,2021-06-24,2021-06-25,15061224,Positive,   12071,   12180.51,   11962.54,NA,   12071.52,    154.12,NA, 20.61,NA,  6782803,    7.26,SEPA
3289,Forth Valley,Denny,2021-06-30,2021-07-01,15083974,Positive,   33061,   33039.35,   33084.57,NA,   33061.96,     31.98,NA, 20.81,NA,  6745195,   19.77,SEPA
3290,Forth Valley,Denny,2021-07-02,2021-07-05,15087657,Positive,   78875,   86392.11,   71358.34,NA,   78875.22,  10630.49,NA, 23.68,NA,  6261672,   43.77,SEPA - Low Volume
3291,Forth Valley,Denny,2021-07-05,2021-07-06,15106316,Positive,   57080,   51775.29,   62385.28,NA,   57080.29,   7502.40,NA, 14.96,NA,  8156814,   41.27,SEPA - Low Volume
3292,Forth Valley,Denny,2021-07-07,2021-07-08,15123031,Positive,  183184,  198418.44,  167950.09,NA,  183184.27,  21544.38,NA, 19.09,NA,  7088675,  115.09,SEPA - Low Volume
3293,Forth Valley,Denny,2021-07-13,2021-07-14,15147812,Positive,   82213,  100758.47,   63668.52,NA,   82213.50,  26226.56,NA, 19.17,NA,  7071628,   51.53,SEPA - Low Volume
3294,Forth Valley,Denny,2021-07-19,2021-07-20,15161132,Positive,   77096,   77894.68,   76298.94,NA,   77096.81,   1128.36,NA, 21.27,NA,  6660820,   45.51,SEPA - Low Volume
3295,Forth Valley,Denny,2021-07-26,2021-07-28,15191745,Positive,   58686,   53544.18,   63828.28,NA,   58686.23,   7271.96,NA, 22.19,NA,  6500399,   33.81,SEPA - Low Volume
3296,Forth Valley,Denny,2021-08-05,2021-08-06,15220176,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 22.80,NA,  6399695,NA,SEPA - Low Volume
3297,Forth Valley,Denny,2021-08-27,2021-08-30,15290209,Positive,   66581,   53577.61,   79586.07,NA,   66581.84,  18390.76,NA, 24.06,NA,  6204542,   36.61,SEPA - Low Volume
3298,Forth Valley,Denny,2021-08-31,2021-09-01,15298091,Positive (DNQ),    9067,    5649.60,   12485.35,NA,    9067.47,   4833.60,NA, 24.23,NA,  6179442,    4.97,SEPA - Low Volume
3299,Forth Valley,Denny,2021-09-03,2021-09-06,15302256,Weak Positive,    2926,    2043.49,    3808.52,NA,    2926.00,   1248.07,NA, 25.55,NA,  5993572,    1.55,SEPA - Low Volume
3300,Forth Valley,Denny,2021-09-06,2021-09-07,15326365,Negative,       0,NA,NA,NA,NA,NA,NA, 25.83,NA,  5956080,    0.00,SEPA - Low Volume
3301,Forth Valley,Denny,2021-09-08,2021-09-09,15339930,Weak Positive,    5963,    5378.49,    6547.89,NA,    5963.19,    826.89,NA, 26.05,NA,  5927068,    3.13,SEPA - Low Volume
3302,Forth Valley,Denny,2021-09-15,2021-09-16,15347880,Positive,   27235,   26770.32,   27701.23,NA,   27235.78,    658.25,NA, 24.11,NA,  6197130,   14.96,SEPA - Low Volume
3303,Forth Valley,Denny,2021-09-21,2021-09-22,15380832,Positive,  134990,  119006.68,  150974.12,NA,  134990.40,  22604.40,NA, 18.24,NA,  7277023,   87.06,SEPA - Low Volume
3304,Forth Valley,Denny,2021-09-28,2021-09-29,15400412,Positive,   41241,   32202.34,   50281.09,NA,   41241.72,  12783.60,NA, 11.29,NA,  9591730,   35.06,SEPA - Low Volume
3305,Forth Valley,Denny,2021-09-30,2021-10-01,15412954,Positive,   88393,   88600.83,   88186.23,NA,   88393.53,    293.17,NA, 15.61,NA,  7959504,   62.36,SEPA - Low Volume
3306,Forth Valley,Denny,2021-10-04,2021-10-05,15428505,Positive,  249793,  250739.89,  248847.35,NA,  249793.62,   1338.23,NA, 13.73,NA,  8569846,  189.73,SEPA - Low Volume
3307,Forth Valley,Denny,2021-10-06,2021-10-07,15443576,Positive,  132228,  124317.13,  140139.41,NA,  132228.27,  11188.04,NA, 12.09,NA,  9221021,  108.06,SEPA - Low Volume
3308,Forth Valley,Denny,2021-10-13,2021-10-14,15453743,Positive,  113493,   94011.54,  132975.90,NA,  113493.72,  27551.96,NA, 11.75,NA,  9373709,   94.29,SEPA - Low Volume
3309,Forth Valley,Denny,2021-10-19,2021-10-20,15477030,Positive,   65804,   65666.31,   65942.45,NA,   65804.38,    195.27,NA, 11.25,NA,  9611350,   56.06,SEPA - Low Volume
3310,Forth Valley,Denny,2021-10-21,2021-10-22,15489466,Positive,   28102,   34279.92,   21925.77,NA,   28102.85,   8735.71,NA, 10.08,NA, 10238641,   25.50,SEPA - Low Volume
3311,Forth Valley,Denny,2021-10-27,2021-10-28,15509917,Positive,   29713,   27348.38,   32077.72,NA,   29713.05,   3344.15,NA,  8.17,NA, 11555040,   30.43,SEPA - Low Volume
3312,Forth Valley,Denny,2021-10-29,2021-11-01,15516567,Positive,   14766,   19139.06,   10394.12,NA,   14766.59,   6183.61,NA,  5.42,NA, 14634585,   19.15,SEPA - Low Volume
3313,Forth Valley,Denny,2021-11-02,2021-11-03,15529229,Positive,   65695,   62003.87,   69386.72,NA,   65695.30,   5220.46,NA, 10.80,NA,  9839918,   57.29,SEPA - Low Volume
3314,Forth Valley,Denny,2021-11-05,2021-11-08,15533771,Positive,   11181,   15337.20,    7025.95,NA,   11181.58,   5876.94,NA,  8.21,NA, 11522594,   11.42,SEPA - Low Volume
3315,Forth Valley,Denny,2021-11-09,2021-11-10,15553406,Positive (DNQ),    7289,    7955.23,    6622.10,NA,    7288.66,    942.67,NA,  8.75,NA, 11107661,    7.18,SEPA - Low Volume
3316,Forth Valley,Denny,2021-11-11,2021-11-12,15562299,Positive,   48108,   43930.83,   52286.48,NA,   48108.65,   5908.34,NA, 10.19,NA, 10174862,   43.38,SEPA - Low Volume
3317,Forth Valley,Denny,2021-11-16,2021-11-17,15580271,Positive,  253911,  209761.00,  298062.00,NA,  253911.50,  62438.24,NA, 11.38,NA,  9547983,  214.87,SEPA - Low Volume
3318,Forth Valley,Denny,2021-11-18,2021-11-19,15589642,Positive,   63287,   57467.92,   69107.26,NA,   63287.59,   8230.26,NA,  8.41,NA, 11364025,   63.74,SEPA - Low Volume
3319,Forth Valley,Denny,2021-11-23,2021-11-24,15600518,Positive,   61109,   58030.03,   64188.73,NA,   61109.38,   4354.86,NA, 11.21,NA,  9631081,   52.16,SEPA - Low Volume
3320,Forth Valley,Denny,2021-11-25,2021-11-26,15611588,Positive,  227948,  229502.97,  226393.65,NA,  227948.31,   2198.62,NA, 13.16,NA,  8781627,  177.41,SEPA - Low Volume
3321,Forth Valley,Denny,2021-11-30,2021-12-06,NA,Positive,  110523,  113061.49,  107984.85,NA,  110523.17,   3589.72,NA,NA,NA,NA,   66.89,SEPA - Low Volume
3322,Forth Valley,Denny,2021-12-07,2021-12-08,15645531,Positive,  164660,  147455.84,  181865.51,NA,  164660.68,  24331.31,NA, 11.32,NA,  9577087,  139.77,SEPA - Low Volume
3323,Forth Valley,Denny,2021-12-14,2021-12-15,15674492,Positive,  185239,  161527.40,  208951.70,NA,  185239.55,  33534.04,NA, 12.53,NA,  9033185,  148.30,SEPA - Low Volume
3324,Forth Valley,Denny,2021-12-16,2021-12-17,15681575,Positive,   72219,   61682.99,   82756.22,NA,   72219.61,  14901.02,NA, 10.21,NA, 10163382,   65.05,SEPA - Low Volume
3325,Forth Valley,Denny,2022-01-06,2022-01-07,15760378,Positive,  124906,  118916.09,  130897.43,NA,  124906.76,   8472.08,NA, 10.21,NA, 10163382,  112.51,SEPA - Low Volume
3326,Forth Valley,Denny,2022-01-18,2022-01-19,15776919,Positive,   27836,   29911.76,   25760.47,NA,   27836.12,   2935.40,NA, 13.13,NA,  8793173,   21.69,SEPA - Low Volume
3327,Forth Valley,Denny,2022-02-03,2022-02-04,15816263,Positive,   13298,   13336.57,   13261.21,NA,   13298.89,     53.29,NA, 14.46,NA,  8318026,    9.80,SEPA - Low Volume
3328,Forth Valley,Denny,2022-02-08,2022-02-09,NA,Positive,   28237,   35010.88,   21465.07,NA,   28237.97,   9578.33,NA,NA,NA,NA,   17.09,SEPA - Low Volume
3329,Forth Valley,Dunblane,2021-03-29,2021-03-30,14849194,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 15.04,NA,  6156159,NA,SEPA
3330,Forth Valley,Dunblane,2021-03-29,2021-03-31,14849194,Weak Positive,     829,       0.00,    1658.19,NA,     829.10,   1172.52,NA, 15.04,NA,  6156159,    0.62,SEPA
3331,Forth Valley,Dunblane,2021-03-30,2021-03-31,14849197,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 10.62,NA,  7521712,NA,SEPA
3332,Forth Valley,Dunblane,2021-03-30,2021-04-01,14849197,Negative,       0,NA,NA,NA,NA,NA,NA, 10.62,NA,  7521712,    0.00,SEPA
3333,Forth Valley,Dunblane,2021-04-05,2021-04-07,14849200,Positive (DNQ),    4396,    2489.59,    6303.66,NA,    4396.62,   2696.95,NA, 18.71,NA,  5428943,    2.89,SEPA
3334,Forth Valley,Dunblane,2021-04-09,2021-04-12,14849203,Positive (DNQ),    1986,    1452.62,    2521.09,NA,    1986.85,    755.52,NA, 20.07,NA,  5213995,    1.26,SEPA
3335,Forth Valley,Dunblane,2021-04-14,2021-04-15,14849206,Positive (DNQ),    2114,    1177.71,    3050.50,NA,    2114.10,   1324.26,NA, 30.59,NA,  4090654,    1.05,SEPA
3336,Forth Valley,Dunblane,2021-04-15,2021-04-16,14849209,Weak Positive,     852,       0.00,    1705.44,NA,     852.72,   1205.93,NA, 24.55,NA,  4642923,    0.48,SEPA
3337,Forth Valley,Dunblane,2021-04-26,2021-04-27,14875635,Positive (DNQ),    5433,    8042.24,    2823.77,NA,    5433.00,   3690.01,NA, 25.13,NA,  4580922,    3.02,SEPA
3338,Forth Valley,Dunblane,2021-04-29,2021-04-30,14880377,Analysis Failed,NA,NA,NA,NA,NA,NA,NA, 19.77,NA,  5259401,NA,SEPA
3339,Forth Valley,Dunblane,2021-05-04,2021-05-05,14890649,Positive (DNQ),    5233,    5431.40,    5035.71,NA,    5233.55,    279.79,NA, 19.09,NA,  5366460,    3.40,SEPA
3340,Forth Valley,Dunblane,2021-05-06,2021-05-07,14897503,Weak Positive,     996,     754.19,    1239.42,NA,     996.81,    343.10,NA, 12.70,NA,  6785692,    0.82,SEPA
3341,Forth Valley,Dunblane,2021-05-11,2021-05-12,14908989,Weak Positive,    1358,       0.00,    2716.54,NA,    1358.27,   1920.89,NA, 17.30,NA,  5679449,    0.93,SEPA
3342,Forth Valley,Dunblane,2021-05-14,2021-05-17,14914144,Positive (DNQ),    1699,    1150.40,    2248.95,NA,    1699.67,    776.79,NA, 18.31,NA,  5496912,    1.13,SEPA
3343,Forth Valley,Dunblane,2021-05-18,2021-05-19,14946776,Positive (DNQ),    3697,    3932.42,    3462.10,NA,    3697.26,    332.56,NA, 34.60,NA,  3810596,    1.71,SEPA
3344,Forth Valley,Dunblane,2021-05-20,2021-05-21,14952312,Weak Positive,     485,     970.57,       0.00,NA,     485.29,    686.30,NA, 39.78,NA,  3516494,    0.21,SEPA
3345,Forth Valley,Dunblane,2021-05-25,2021-05-26,14969632,Positive,   94685,   90910.21,   98461.54,NA,   94685.88,   5339.60,NA, 13.80,NA,  6468808,   74.22,SEPA
3346,Forth Valley,Dunblane,2021-05-28,2021-05-31,14974476,Positive,   12087,   11349.47,   12825.64,NA,   12087.56,   1043.81,NA, 13.11,NA,  6662689,    9.76,SEPA
3347,Forth Valley,Dunblane,2021-05-31,2021-06-01,14990259,Positive,   11373,   11373.38,NA,NA,   11373.38,NA,NA, 19.50,NA,  5301205,    7.31,SEPA
3348,Forth Valley,Dunblane,2021-06-02,2021-06-03,14995300,Positive (DNQ),    2915,    3668.97,    2161.86,NA,    2915.42,   1065.69,NA, 19.89,NA,  5241109,    1.85,SEPA
3349,Forth Valley,Dunblane,2021-06-07,2021-06-08,15017641,Positive,   39711,   38493.31,   40928.86,NA,   39711.08,   1722.19,NA, 21.43,NA,  5020843,   24.16,SEPA
3350,Forth Valley,Dunblane,2021-06-09,2021-06-10,15022927,Positive,   14586,   14586.31,NA,NA,   14586.31,NA,NA, 22.03,NA,  4941653,    8.73,SEPA
3351,Forth Valley,Dunblane,2021-06-14,2021-06-15,15032222,Positive (DNQ),    8102,    6839.07,    9365.35,NA,    8102.21,   1786.35,NA, 24.38,NA,  4661534,    4.58,SEPA
3352,Forth Valley,Dunblane,2021-06-17,2021-06-21,15038241,Positive,31661912,31609652.58,31714171.81,NA,31661912.20,  73906.25,NA, 18.61,NA,  5445719,20892.02,SEPA
3353,Forth Valley,Dunblane,2021-06-21,2021-06-22,15065509,Positive,  168645,  170100.55,  167191.02,NA,  168645.79,   2057.35,NA, 24.50,NA,  4648376,   94.99,SEPA
3354,Forth Valley,Dunblane,2021-06-24,2021-06-25,15057387,Positive,   37969,   42908.02,   33030.26,NA,   37969.14,   6984.64,NA, 25.04,NA,  4590395,   21.12,SEPA
3355,Forth Valley,Dunblane,2021-06-30,2021-07-01,15080419,Positive,  157310,  155070.30,  159550.17,NA,  157310.23,   3167.74,NA, 24.54,NA,  4644012,   88.52,SEPA
3356,Forth Valley,Dunblane,2021-07-02,2021-07-05,15090339,Positive,  347198,  335186.89,  359209.64,NA,  347198.27,  16986.65,NA, 25.45,NA,  4547672,  191.32,SEPA - Low Volume
3357,Forth Valley,Dunblane,2021-07-06,2021-07-07,15106319,Positive,   35510,   39866.52,   31155.10,NA,   35510.81,   6159.90,NA, 14.59,NA,  6264771,   26.96,SEPA - Low Volume
3358,Forth Valley,Dunblane,2021-07-08,2021-07-09,15120908,Positive,  335419,  380520.78,  290317.28,NA,  335419.03,  63783.50,NA, 18.34,NA,  5491733,  223.20,SEPA - Low Volume
3359,Forth Valley,Dunblane,2021-07-12,2021-07-14,15135608,Positive,   72818,   66483.44,   79152.98,NA,   72818.21,   8958.72,NA, 25.00,NA,  4594622,   40.54,SEPA - Low Volume
3360,Forth Valley,Dunblane,2021-07-19,2021-07-20,15164601,Positive,   50609,   49455.06,   51764.90,NA,   50609.98,   1633.31,NA, 25.53,NA,  4539462,   27.84,SEPA - Low Volume
3361,Forth Valley,Dunblane,2021-07-26,2021-07-28,15188385,Positive,   94404,  101103.27,   87705.32,NA,   94404.29,   9473.78,NA, 25.49,NA,  4543562,   51.97,SEPA - Low Volume
3362,Forth Valley,Dunblane,2021-08-05,2021-08-06,15217943,Positive,   49484,   40639.03,   58329.28,NA,   49484.15,  12508.89,NA, 31.52,NA,  4020724,   24.11,SEPA - Low Volume
3363,Forth Valley,Dunblane,2021-08-18,2021-08-19,15265244,Positive,  158322,  175413.00,  141232.58,NA,  158322.79,  24169.21,NA, 24.16,NA,  4685926,   89.89,SEPA - Low Volume
3364,Forth Valley,Dunblane,2021-08-23,2021-08-24,15277451,Positive,   59956,   60550.73,   59361.69,NA,   59956.21,    840.78,NA, 15.01,NA,  6163240,   44.77,SEPA - Low Volume
3365,Forth Valley,Dunblane,2021-08-30,2021-08-31,15298094,Positive,  133970,  133687.19,  134253.36,NA,  133970.28,    400.34,NA, 24.96,NA,  4598860,   74.65,SEPA - Low Volume
3366,Forth Valley,Dunblane,2021-09-01,2021-09-02,15309736,Positive,  191626,  206857.73,  176394.57,NA,  191626.15,  21540.71,NA, 26.51,NA,  4442076,  103.14,SEPA - Low Volume
3367,Forth Valley,Dunblane,2021-09-06,2021-09-07,15335028,Positive,  240959,  243432.05,  238487.67,NA,  240959.86,   3496.20,NA, 24.50,NA,  4648376,  135.72,SEPA - Low Volume
3368,Forth Valley,Dunblane,2021-09-08,2021-09-09,15339936,Positive,  106837,  101927.98,  111747.79,NA,  106837.88,   6943.66,NA, 26.04,NA,  4488061,   58.10,SEPA - Low Volume
3369,Forth Valley,Dunblane,2021-09-14,2021-09-15,15351833,Positive,  219956,  199285.88,  240627.59,NA,  219956.74,  29233.01,NA, 25.58,NA,  4534351,  120.85,SEPA - Low Volume
3370,Forth Valley,Dunblane,2021-09-16,2021-09-17,15357831,Positive,  168313,  165984.65,  170642.44,NA,  168313.54,   3293.56,NA, 13.44,NA,  6568007,  133.95,SEPA - Low Volume
3371,Forth Valley,Dunblane,2021-09-20,2021-09-21,15380838,Positive,  124579,  124443.87,  124715.86,NA,  124579.87,    192.32,NA, 17.28,NA,  5683232,   85.79,SEPA - Low Volume
3372,Forth Valley,Dunblane,2021-09-22,2021-09-23,15387174,Positive,  175646,  176026.00,  175267.59,NA,  175646.79,    536.28,NA, 20.91,NA,  5092355,  108.38,SEPA - Low Volume
3373,Forth Valley,Dunblane,2021-09-29,2021-09-30,15410780,Positive,  160135,  165241.01,  155030.44,NA,  160135.73,   7219.96,NA, 10.70,NA,  7489283,  145.32,SEPA - Low Volume
3374,Forth Valley,Dunblane,2021-10-05,2021-10-06,15439153,Positive,  185607,  192227.25,  178988.55,NA,  185607.90,   9361.18,NA, 11.96,NA,  7024331,  157.98,SEPA - Low Volume
3375,Forth Valley,Dunblane,2021-10-18,2021-10-19,15477036,Positive,  212257,  233695.78,  190818.79,NA,  212257.28,  30318.61,NA, 10.55,NA,  7550405,  194.19,SEPA - Low Volume
3376,Forth Valley,Dunblane,2021-10-20,2021-10-22,15487384,Positive,  113277,  112875.56,  113679.11,NA,  113277.33,    568.19,NA,  7.68,NA,  9064815,  124.42,SEPA - Low Volume
3377,Forth Valley,Dunblane,2021-10-25,2021-10-26,15505631,Positive,   78634,   75405.57,   81863.16,NA,   78634.36,   4566.21,NA, 13.51,NA,  6548393,   62.39,SEPA - Low Volume
3378,Forth Valley,Dunblane,2021-10-27,2021-10-28,15516570,Positive,  366570,  329220.44,  403920.86,NA,  366570.65,  52821.17,NA, 11.17,NA,  7306201,  324.52,SEPA - Low Volume
3379,Forth Valley,Dunblane,2021-11-02,2021-11-03,15538427,Positive,   31986,   38067.65,   25906.33,NA,   31986.99,   8599.35,NA,  7.78,NA,  8997550,   34.87,SEPA - Low Volume
3380,Forth Valley,Dunblane,2021-11-04,2021-11-08,15543566,Positive,   81445,   75484.46,   87406.59,NA,   81445.53,   8430.22,NA, 12.27,NA,  6921602,   68.31,SEPA - Low Volume
3381,Forth Valley,Dunblane,2021-11-09,2021-11-10,15557755,Positive,   25145,   23324.00,   26966.52,NA,   25145.26,   2575.65,NA,  6.60,NA,  9891274,   30.14,SEPA - Low Volume
3382,Forth Valley,Dunblane,2021-11-11,2021-11-12,15564598,Positive,   76395,   75206.48,   77585.41,NA,   76395.94,   1682.16,NA, 16.46,NA,  5844554,   54.10,SEPA - Low Volume
3383,Forth Valley,Dunblane,2021-11-16,2021-11-17,15576217,Positive,  206148,  189936.00,  222361.00,NA,  206148.50,  22927.94,NA, 14.71,NA,  6235296,  155.75,SEPA - Low Volume
3384,Forth Valley,Dunblane,2021-11-18,2021-11-19,15587267,Positive,  253521,  229554.72,  277488.08,NA,  253521.40,  33894.01,NA, 14.75,NA,  6225556,  191.24,SEPA - Low Volume
3385,Forth Valley,Dunblane,2021-11-23,2021-11-24,15600524,Positive,  190754,  179182.94,  202325.75,NA,  190754.35,  16364.43,NA, 18.69,NA,  5432287,  125.56,SEPA - Low Volume
3386,Forth Valley,Dunblane,2021-11-25,2021-11-26,15611591,Positive,  427621,  387181.83,  468061.24,NA,  427621.53,  57190.38,NA, 18.29,NA,  5500372,  285.00,SEPA - Low Volume
3387,Forth Valley,Dunblane,2021-12-07,2021-12-08,15651961,Positive,   25193,   36485.57,   13901.26,NA,   25193.42,  15969.52,NA,  9.49,NA,  8025019,   24.50,SEPA - Low Volume
3388,Forth Valley,Dunblane,2021-12-14,2021-12-15,15670378,Positive,  199696,  222119.48,  177272.94,NA,  199696.21,  31711.29,NA, 12.85,NA,  6739974,  163.09,SEPA - Low Volume
3389,Forth Valley,Dunblane,2021-12-16,2021-12-17,15681581,Positive,   73924,   81185.40,   66663.73,NA,   73924.57,  10268.37,NA, 13.68,NA,  6501417,   58.24,SEPA - Low Volume
3390,Forth Valley,Dunblane,2022-01-05,2022-01-06,15757635,Positive,  363767,  436786.01,  290749.34,NA,  363767.68, 103263.52,NA, 10.17,NA,  7711565,  339.90,SEPA - Low Volume
3391,Forth Valley,Dunblane,2022-01-06,2022-01-07,15760381,Positive,  103664,   95896.94,  111431.31,NA,  103664.12,  10984.46,NA, 12.45,NA,  6863809,   86.21,SEPA - Low Volume
3392,Forth Valley,Dunblane,2022-01-13,2022-01-14,15768173,Positive,   69789,   72699.21,   66880.68,NA,   69789.94,   4114.32,NA, 14.15,NA,  6376198,   53.92,SEPA - Low Volume
3393,Forth Valley,Dunblane,2022-02-02,2022-02-03,15820667,Positive,   25340,   27131.00,   23550.99,NA,   25341.00,   2531.45,NA, 16.32,NA,  5873368,   18.03,SEPA - Low Volume
3394,Forth Valley,Dunblane,2022-02-08,2022-02-09,NA,Positive,   97138,   94502.98,   99773.83,NA,   97138.41,   3727.06,NA,NA,NA,NA,   68.43,SEPA - Low Volume
3395,Forth Valley,Falkirk,2020-06-03,NA,NA,Negative,       0,NA,NA,    669.36,     669.36,NA,NA,NA,NA,NA,    0.00,SEPA
3396,Forth Valley,Falkirk,2020-06-09,NA,13953025,Negative,       0,NA,NA,NA,NA,NA, 33756480,NA,NA,NA,    0.00,SEPA
3397,Forth Valley,Falkirk,2020-08-22,NA,14128742,Negative,       0,    1563.36,NA,NA,    1563.36,NA, 73024416,  9.07,NA, 73507712,    0.00,SEPA
3398,Forth Valley,Falkirk,2020-08-24,NA,14133772,Negative,       0,     634.72,NA,NA,     634.72,NA, 46582560,  9.19,7.2, 73089680,    0.00,SEPA
3399,Forth Valley,Falkirk,2020-09-03,NA,14163044,Positive (DNQ),    1903,     949.49,    2255.81,   2504.30,    1903.20,    835.23, 85710528, 11.83,NA, 65504281,    2.30,SEPA
3400,Forth Valley,Falkirk,2020-09-08,NA,14175538,Positive (DNQ),    2085,    2374.52,    1333.38,   2548.51,    2085.47,    657.12, 63210240, 13.04,7.2, 62794046,    1.86,SEPA
3401,Forth Valley,Falkirk,2020-09-25,NA,14233773,Positive (DNQ),    6494,    7147.12,    6815.81,   5519.31,    6494.08,    860.28, 36310464, 16.73,7.2, 56358787,    3.32,SEPA
3402,Forth Valley,Falkirk,2020-10-07,NA,14264369,Positive,   41042,   42739.20,   40438.08,  39949.79,   41042.36,   1489.65, 59612544, 17.84,7.2, 54809529,   34.48,SEPA
3403,Forth Valley,Falkirk,2020-10-13,NA,14292979,Positive,   30605,   26000.00,   30904.45,  34911.26,   30605.24,   4463.16, 61478784, 19.41,NA, 52839867,   26.51,SEPA
3404,Forth Valley,Falkirk,2020-10-23,NA,14320667,Positive,   32240,   34227.98,   31850.60,  30641.54,   32240.04,   1824.66, 45805824, 13.06,7.1, 62752303,   20.81,SEPA
3405,Forth Valley,Falkirk,2020-10-30,NA,14342637,Positive (DNQ),    2506,    2364.61,    4110.90,   1043.36,    2506.29,   1538.67,129194784,  8.80,NA, 74477962,    4.56,SEPA
3406,Forth Valley,Falkirk,2020-11-16,NA,14396769,Positive,   11608,   10194.43,   13575.45,  11055.75,   11608.54,   1756.99, 95977440,  8.53,7.2, 75491863,   15.70,SEPA
3407,Forth Valley,Falkirk,2020-12-04,NA,14446609,Positive,   25709,   26158.32,   27233.08,  23737.91,   25709.77,   1790.24,132292224,  7.84,7.3, 78306081,   47.93,SEPA
3408,Forth Valley,Falkirk,2020-12-07,NA,14459231,Positive (DNQ),    2889,    2239.78,    3867.30,   2561.16,    2889.41,    861.98, 89321184,  3.21,7.2,115363885,    3.64,SEPA
3409,Forth Valley,Falkirk,2020-12-14,NA,14525077,Positive,   17292,   17071.66,   19243.78,  15563.46,   17292.96,   1850.11,106360128,  7.28,7.1, 80865018,   25.92,SEPA
3410,Forth Valley,Falkirk,2021-01-05,2021-01-06,14562592,Positive,   47482,   48133.21,   45709.90,  48603.03,   47482.05,   1552.60, 47253024, 22.34,7.3, 49712810,   31.62,SEPA
3411,Forth Valley,Falkirk,2021-01-11,2021-01-13,14571945,Positive,  130261,  123444.09,  137078.83,NA,  130261.46,   9641.21, 52319520, 17.63,7.2, 55091864,   96.03,SEPA
3412,Forth Valley,Falkirk,2021-01-22,2021-01-25,14592309,Positive,   16060,   17002.74,   15119.10,NA,   16060.92,   1331.94, 95636160,  7.62,NA, 79279165,   21.64,SEPA
3413,Forth Valley,Falkirk,2021-01-27,2021-01-28,14601859,Positive,   29710,   15238.96,   38601.70,  35291.94,   29710.87,  12641.82,NA,  9.57,NA, 71815936,   30.07,Roslin
