,Health_Board,Site,Latitude_dd,Longitude_dd,Population,2020-05-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-32,2020-08-33,2020-08-34,2020-08-35,2020-08-36,2020-09-36,2020-09-37,2020-09-38,2020-09-39,2020-09-40,2020-10-40,2020-10-41,2020-10-42,2020-10-43,2020-10-44,2020-11-45,2020-11-46,2020-11-47,2020-11-48,2020-11-49,2020-12-49,2020-12-50,2020-12-51,2020-12-52,2020-12-53,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-31,2021-08-32,2021-08-33,2021-08-34,2021-08-35,2021-09-35,2021-09-36,2021-09-37,2021-09-38,2021-09-39,2021-10-39,2021-10-40,2021-10-41,2021-10-42,2021-10-43,2021-11-44,2021-11-45,2021-11-46,2021-11-47,2021-11-48,2021-12-48,2021-12-49,2021-12-50,2021-12-51,2021-12-52,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-02-05,2022-02-06
11,Grampian,Banchory,57.0534720125036,-2.47835189581178,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,1380.5,1755.5,0,496.5,0,NA,491,1450,7755.5,1022.5,9979,12901,26714,26586,67907,13473,11086.5,28148,15506,247314,77486,202202,616747.5,87542,NA,NA,191309,121617,NA,99733.5,NA,44657,381608,92211,87131,63127,NA,29963.5,118184,NA,NA,155533,NA,74842,NA,NA,239706,NA
12,Grampian,Banff,57.6724518394431,-2.4767415672225,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,0,597.333333333333,1005.66666666667,377.666666666667,628.333333333333,300.333333333333,430,6326,3509.66666666667,232.666666666667,3083.66666666667,35081,82690,71200.3333333333,77679,105722,66583,21459,NA,NA,375741,871845,1191274,862369,271561,445335,NA,NA,392882,160309,69370,322335,NA,58962.3333333333,114351.5,105241,39005,86204,10955,90976,190860,NA,116272,NA,141015,NA,NA,123349,55136
13,Lothian,Bathgate,55.9145399675497,-3.66326011601052,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38394,NA,NA,12293,13479,0,61048,72119,61679.5,43472,39242,44143,7367,13700.5,7804.5,NA,38065,NA,2367.5,NA,4059.5,4640,18425,6906,5542,0,33808,5091,599,109897.5,362803,558525,166324,93447,314239,53191.5,NA,NA,161264,NA,203006,194213,205206,233655,NA,NA,89090,168380,NA,91198,41717,60491.5,161624,120845,191942,NA,NA,41578,91251.5,282818,NA,42000,26622,88486,47297,NA,139059.5,80217
14,Lanarkshire,Biggar,55.6165331135886,-3.51200515026948,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24495,0,0,20087,20530,1277,760,641,1513,64461,700,930,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Lothian,Blackburn,55.8714923946422,-3.59337690544305,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4447,NA,NA,40228.6666666667,21683,14462,2450,22147,43062,56749,49144,13662.5,10017.5,12538.5,26624.5,23351,8877,18002,9532,35621,27195.5,7697,2376.5,16288,17192,55582,27283,60334,38499.5,36486.5,139077,172561,219151.5,174816.5,98734,108830,NA,42617,NA,NA,1239318,230443,351256.333333333,NA,94060.5,NA,4363,38787,135724.5,37980,344623,75945,92594,94541,53918,115515,NA,128640.5,88529,236362,NA,71588,NA,111935.5,187180,NA,93510,57506
16,Lothian,Blackridge,55.8906233929929,-3.74391972184647,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065,999,NA,2365,3979,6648,43456,97715,52270,71844,112067.5,9671,612.5,3156,7548.5,NA,24313,125867,405827,NA,9319.5,12477.5,33396.5,24890.5,28015,NA,16923,17948.5,23050.5,37410.5,74899,66281,1200259,5007354,103366,282768,NA,NA,NA,NA,134875,174238,439697,1165431,NA,NA,NA,NA,NA,37892,47967,21668.5,1749,73294,87429,87358,NA,89667,123721,NA,NA,14070,34327.5,9495,25290,NA,139909.5,68581
17,Lanarkshire,Blackwood,55.6670357239981,-3.90104927445479,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120248,406621,NA,25518,98253,9784,55129,93444,4736,633,1988,8858,NA,6116,0,NA,NA,591,NA,0,NA,17432,NA,36023,59357,38819,18537,17746,NA,710422,1222774,644470,269243,NA,NA,232701,NA,557769,NA,NA,93197,NA,NA,NA,30680,NA,49997,NA,22253,64848,51225,NA,NA,NA,13138,227841,NA,NA,40460,NA,NA,NA,NA,NA,219183
18,Tayside,Blairgowrie,56.5857913564765,-3.31431140876479,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130,8067,2614,NA,127712,82158,30109,NA,16660,NA,NA,1133,0,5717,2470,NA,NA,13043,4231,19224,17855,26308,NA,85490,275281,38453,121448,81673,57652,111647,102601,155956,NA,NA,149057,277884,NA,NA,31463,NA,1130147,452409,181488,117032,NA,613077,NA,NA,31615,41212,NA,NA,106647,NA,227332,NA,NA,NA,NA
19,Forth Valley,Boness,56.01450696083,-3.57027980177721,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33645,98199.5,2680.5,2841.5,16764,8157.5,3458,NA,9930,4693,NA,734.5,359.5,1874,1983.5,1409.5,NA,5957.5,4450,155,37804.5,22167,170294,91907,336147,63317.5,70719,90181,NA,NA,NA,273959,372499,622443.5,42662,29819,NA,35057,20156,NA,29443,266724,30857.5,31171,54865.5,60194.5,NA,NA,145200.5,169957,NA,NA,215601,67022,51399,NA,NA,54322,100631
20,Forth Valley,Bonnybridge,56.0081751722771,-3.86871922340951,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64587,46934.5,71198,12095,18135,32442,41311,NA,8842,3347,NA,1518.5,3434,15895,4014,26916,NA,26921,13068.5,8529,24122.5,113882,241480,193309.5,46302,113820,76161,119024,NA,NA,183711,110970,231872,483756,287630,NA,293844,NA,191680.5,NA,96999.5,89144.5,48195,70376,64271,439752.5,378204,NA,108920,144762,NA,NA,NA,111253,80559,51952,NA,165262,NA
21,Lanarkshire,Bothwellbank,55.797311573478,-4.07920740982194,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50564,67947,31869,52351,2885,20710,46224,25492,24338,10933,15112,8447,7377,NA,8169,8236,NA,2303,4731,NA,3117,7115,11258,NA,10441,17020,14392,25530,NA,158116,479350,66028,196492,NA,NA,NA,NA,904681,NA,1298700,658297,311387,NA,NA,129797,NA,119477,161250,70341,94872,68928,101074,NA,NA,44827,259310,750128,NA,380537,NA,NA,NA,NA,NA,112338
22,Fife,Bowhouse,56.2698632651294,-3.17173238442625,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32051,10342,10247.5,882.5,532,2724,3903,824.5,605.5,608,753,0,NA,NA,169,0,NA,550.5,432,1548,923,5463,19738,59703.5,31723,NA,20424.5,73177,NA,NA,NA,NA,NA,219176,826366,111089,409775,314952,54751,133036,NA,190533,NA,96822,190429,177652.5,153457,74342,76947,NA,91000,39471.5,106796,NA,NA,134210,110903,53063,81463,NA,NA,144843
23,Grampian,Buckie,57.6770343807126,-2.94377998251036,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8102,NA,37956.5,11383,117335,204135,155606.5,83979.5,50516.5,NA,NA,NA,77262,25202,NA,99632,87214,NA,NA,NA,86226,312356,NA,487915.5,123642,94492.5,NA,124322,NA,NA,38556,28464,NA,NA,50414,NA,NA,NA,NA,NA,224849
24,Lanarkshire,Carbarns,55.7629414846252,-3.95649973476045,10k - 100k,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5175.75,NA,9226.33333333333,2629.5,16886.25,63994.5,52757.6666666667,55566,82566.6666666667,66630.5,98427.6666666667,127370,80014.6666666667,98262.25,52230.3333333333,37498.3333333333,137712,25404,88571.75,57628,NA,NA,98845,106825,34941,101195,168393,72778,23692,48323,21873,39913.5,46324,32631.5,57107,19625,28661.5,49908.5,NA,12130,6407,5766,6237,5025,13315,11479,27286.5,23752,44494,NA,174552,149112,336637,265335.5,267198.5,409996.5,199829,89445,387008.5,1018394,275439,3353197,735955.5,326293,389370,NA,250183.5,163135,175804,260723,164172,160341.666666667,129182.5,182047,NA,210989,110398.333333333,321003.666666667,723058,776790,155126,228658,190412.666666667,178952,173182,269239,218277
25,Borders,Coldstream,55.6642711806276,-2.226717751225,2k - 4k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23085.5,5684.5,38093,53298,3459,897.5,576.5,0,0,0,0,NA,363.5,0,730,0,482.5,NA,799,0,2471.5,2535.5,151097.5,NA,39721.5,48909,83823.5,93771.5,165615,160692,NA,150142,603839,674858,269381,76026,NA,10415,93153,28456,NA,41118,37660.5,4999,133659,407491,96537,NA,NA,8435,547424,NA,NA,NA,NA,18310,NA,17720,NA,22183
26,Ayrshire and Arran,Cumnock,55.4562191934189,-4.28140354095588,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85619,75691,42624,12468,13535,30013,9513,NA,7508,2989,NA,902,842,1580,0,1377,NA,43794,24304,17045,22342,145126,NA,440415,107927,75879,161820,NA,NA,NA,NA,254938,NA,143341,446588,NA,94953,NA,NA,NA,71331,200253,781473,NA,199297,NA,42678,NA,117505,30909,NA,NA,226703,NA,NA,66512,NA,64678,NA
27,Ayrshire and Arran,Cumnock - Netherwood,55.4562191934189,-4.28140354095588,10k - 100k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5405.2,15364,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Fife,Cupar,56.3219911050423,-2.99134251948563,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,5851.5,827.5,313,10437.5,8011,7834,31219,1132.5,1393,1031,1089,3962,NA,0,0,3562,164.5,0,3830,0,562.5,14174.5,59234,118531,NA,NA,57767.5,12456,34196,NA,82022,229309,NA,144724,96862,285446,130009,31081,95338,NA,66647,NA,66524.5,103674.5,65976.5,92662,148157,125869,NA,131622,32120,103515.5,NA,287829,210151,NA,97391,47978,NA,NA,164181.5
29,Dumfries and Galloway,Dalbeattie,54.9223049683906,-3.82172736207723,4k - 10k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,2270,20441,NA,7650,12905,2498,610,NA,4541,NA,0,NA,582,0,0,NA,NA,944,1535,NA,NA,NA,2918,NA,3081,40128,1365,2931,45707,540,NA,0,0,NA,0,NA,0,0,0,NA,0,0,5281,NA,2340,NA,6697,9748,63969,NA,48651,32342,773950,657226,NA,315605,NA,73584,33876,150482,NA,75700,151822,137231,50837,NA,128074,39954,146533,72653,NA,NA,82204,444036,NA,NA,NA,342847,NA,NA,100502,115261
30,Greater Glasgow and Clyde,Daldowie,55.8325433151428,-4.12657320490419,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189362,541165,46938,NA,50893,46759,64724,24883,68140,30529,26113,30486,15443,NA,9870,39118,NA,7386,10344,4384,14780,19115,NA,10724,10230,50757,41747,39220,NA,248915,NA,290884,163726,215042,66182,94982,162266,196525,NA,NA,397203,157944,170721,NA,49419,83430.6666666667,70849,58342,37301,19655.5,NA,NA,NA,NA,NA,NA,NA,NA,255290.333333333,138935.5,78098,103972.5,117387,157419,159509.5
31,Greater Glasgow and Clyde,Dalmarnock,55.8373762013829,-4.21934344578944,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21582,NA,NA,94128,52411,72450,22874,45941,27003,NA,NA,8788,23115,NA,14420,7421,34154,NA,NA,NA,NA,56732,42970.5,82536.5,137303,287728,216418,329167,174583,222315,NA,46509,303438.5,264205,824444,NA,784106.5,238238,290834,199017,135776,148774.5,87845,65916.5,126806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128622.75,24418,NA,NA,23392.5,12533
32,Greater Glasgow and Clyde,Dalmuir,55.9083136749758,-4.43868090515167,100k +,569,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1738,10913,NA,9130,14977,1863,24505,59329,NA,73533,39797,73624,3418,16141,53355,37429,37630,NA,50580,35463,16017,NA,77744,93163.5,134663.333333333,41061.3333333333,77830,59552.5,70175.3333333333,31496.3333333333,36602,18261,22562,30710.6666666667,24489,13684,NA,22331.5,22321,NA,8447,5454.5,34630.5,16667,23371,NA,58757,57962,28595.5,116101.5,NA,NA,215875.5,261204,135855,99703.5,107500,55818,292142.5,227325.5,778454,535886,1449988.5,191488,262890,181661,NA,150133,142661.5,60934.5,99416.5,70115,137713.333333333,186996.5,197367,210940,132734,133572.333333333,201722,551863,282404.5,187109,123831.75,137144.75,126428.5,66753,61843,79738.6666666667
33,Greater Glasgow and Clyde,Dalmuir - Auchinairn (6298),55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1333.25,2251,524,340,194,852,NA,NA,NA,24781,39685.5,973,19929,44256,434960,115721,230662,16316,33677.5,62512.5,6384.5,266375,265238.5,184992,781654,55533,108898,88916,NA,NA,NA,NA,143309,115764.5,150432.5,123146,68776.5,20280,NA,NA,78173,114947,NA,NA,360521,367425,NA,NA,NA,NA,NA
34,Greater Glasgow and Clyde,Dalmuir - Auchinairn (6330),55.9083136749758,-4.43868090515167,100k +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5548.5,7777.5,6142,866.5,2170.5,1809,NA,NA,NA,11109,38931,46764,37054.5,37776,148920,107116,154929,77708.5,57530,16319.5,15467,439936.5,347715,366933,301971,153206,863129,NA,NA,NA,164342,NA,NA,156283,28753.5,116811,35971.5,75360,NA,NA,5452,122806,NA,NA,72120.5,NA,NA,NA,NA,NA,NA
